          10  66% - ...
          10  66%  - pel-profile-dir
          10  66%   - pel-profile-indent
          10  66%    - pel-profile-indentation-test-of
          10  66%     - call-interactively
          10  66%      - apply
          10  66%       - call-interactively@ido-cr+-record-current-command
          10  66%        - #<primitive-function call-interactively>
          10  66%         - funcall-interactively
          10  66%          - seed7-complete-statement-or-indent
          10  66%           - seed7-indent-region
          10  66%            - seed7--indent-one-line
          10  66%             - seed7-calc-indent
           4  26%              - seed7-line-inside-parens-pair-column
           4  26%               - seed7-line-inside-parens-pair
           3  20%                - seed7-re-search-backward
           2  13%                 - run-with-timer
           2  13%                  - run-at-time
           2  13%                   - timer-activate
           2  13%                    - timer--activate
           2  13%                       timer--time-less-p
           1   6%                 - seed7-inside-comment-p
           1   6%                  - syntax-ppss
           1   6%                     parse-partial-sexp
           1   6%                - forward-sexp
           1   6%                   seed7--forward-sexp-function
           2  13%              - seed7--indent-search-boundary
           2  13%               - seed7--indent-search-boundary-uncached
           2  13%                - syntax-ppss
           2  13%                   parse-partial-sexp
           2  13%              - seed7-line-inside-a-block-cached
           2  13%               - seed7-line-inside-a-block
           1   6%                - seed7-re-search-backward
           1   6%                 - run-with-timer
           1   6%                  - run-at-time
           1   6%                   - timer-activate
           1   6%                    - timer--activate
           1   6%                       timer--time-less-p
           1   6%                - seed7--safe-enclosing-block-bounds
           1   6%                 - seed7--block-end-pos-for
           1   6%                  - seed7-to-block-forward
           1   6%                   - seed7-re-search-forward
           1   6%                    - seed7-inside-string-p
           1   6%                     - syntax-ppss
           1   6%                        parse-partial-sexp
           1   6%              - seed7-comment-column
           1   6%               - seed7-calc-indent
           1   6%                - seed7-line-at-endof-set-definition-block
           1   6%                 - seed7-move-to-line
           1   6%                  - seed7-to-previous-non-empty-line
           1   6%                   - seed7-inside-comment-p
           1   6%                    - syntax-ppss
           1   6%                       parse-partial-sexp
           1   6%              - seed7-line-inside-logic-check-expression
           1   6%               - seed7-to-previous-line-starts-with
           1   6%                - seed7-re-search-backward
           1   6%                 - run-with-timer
           1   6%                  - run-at-time
           1   6%                   - timer-activate
           1   6%                    - timer--activate
           1   6%                       timer--time-less-p
           5  33%   Automatic GC
