     12,835,564  99% - ...
     12,835,564  99%  - #<primitive-function call-interactively>
     12,835,564  99%   - funcall-interactively
     12,835,564  99%    - smex
     12,835,564  99%     - smex-read-and-run
     12,835,564  99%      - execute-extended-command
     12,835,564  99%       - command-execute
     12,835,564  99%        - call-interactively
     12,835,564  99%         - apply
     12,835,564  99%          - call-interactively@ido-cr+-record-current-command
     12,835,564  99%           - #<primitive-function call-interactively>
     12,835,564  99%            - funcall-interactively
     12,835,564  99%             - pel-profile-all
     12,835,564  99%              - pel-profile-dir
     12,835,564  99%               - pel-profile-indent
     12,835,564  99%                - pel-profile-indentation-test-of
     11,271,664  87%                 - call-interactively
     11,271,664  87%                  - apply
     11,271,664  87%                   - call-interactively@ido-cr+-record-current-command
     11,271,664  87%                    - #<primitive-function call-interactively>
     11,271,664  87%                     - funcall-interactively
     11,271,648  87%                      - seed7-complete-statement-or-indent
     11,271,648  87%                       - seed7-indent-region
     11,271,648  87%                        - seed7--indent-one-line
     11,271,648  87%                         - seed7-calc-indent
      1,954,942  15%                          - seed7-line-inside-a-block-cached
      1,954,942  15%                           - seed7-line-inside-a-block
      1,005,600   7%                            - seed7--safe-enclosing-block-bounds
      1,005,600   7%                             - seed7--block-end-pos-for
        925,536   7%                              - seed7-to-block-forward
        343,868   2%                               - seed7-re-search-forward
         32,407   0%                                - seed7-inside-comment-p
         32,407   0%                                 - syntax-ppss
         32,407   0%                                  - syntax-propertize
         32,407   0%                                     seed7-mode-syntax-propertize
        288,908   2%                               - seed7-end-of-defun
        214,887   1%                                - seed7-top-block-name
        203,672   1%                                 - seed7--to-top
        176,568   1%                                  - seed7-re-search-backward
        169,400   1%                                   - run-with-timer
        169,400   1%                                    - run-at-time
         82,600   0%                                     - timer-activate
         82,600   0%                                      - timer--activate
         82,600   0%                                         timer--time-less-p
         53,200   0%                                       timer-relative-time
         33,600   0%                                     - timer-set-time
         33,600   0%                                        timer--time-setter
          7,168   0%                                     re-search-backward
         27,104   0%                                  - run-with-timer
         27,104   0%                                   - run-at-time
         13,216   0%                                    - timer-activate
         13,216   0%                                     - timer--activate
         13,216   0%                                        timer--time-less-p
          8,512   0%                                      timer-relative-time
          5,376   0%                                    - timer-set-time
          5,376   0%                                       timer--time-setter
         11,215   0%                                 - seed7--block-name
         11,215   0%                                    seed7-re-search-forward
         36,926   0%                                - seed7-re-search-forward
         12,358   0%                                 - seed7-inside-comment-p
         12,358   0%                                  - syntax-ppss
         12,358   0%                                   - syntax-propertize
         12,358   0%                                      seed7-mode-syntax-propertize
         27,104   0%                                - seed7-re-search-backward
         27,104   0%                                 - run-with-timer
         27,104   0%                                  - run-at-time
         13,216   0%                                   - timer-activate
         13,216   0%                                    - timer--activate
         13,216   0%                                       timer--time-less-p
          8,512   0%                                     timer-relative-time
          5,376   0%                                   - timer-set-time
          5,376   0%                                      timer--time-setter
        178,176   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        106,400   0%                               - seed7--current-line-nth-word
        106,400   0%                                - thing-at-point
         90,032   0%                                 - bounds-of-thing-at-point
         65,472   0%                                  - #<byte-code-function 60F>
         65,472   0%                                   - forward-thing
         65,472   0%                                      format
         16,368   0%                                  - #<byte-code-function 4CC>
         16,368   0%                                   - forward-thing
         16,368   0%                                      format
          8,192   0%                                    re-search-forward
          8,184   0%                                 seed7--end-regexp-for
         44,224   0%                              - seed7--line-ends-a-statement-p
         33,984   0%                                 looking-at
         10,240   0%                               - forward-sexp
         10,240   0%                                  seed7--forward-sexp-function
         31,744   0%                              - seed7-to-next-line-starts-with
         31,744   0%                                 seed7-re-search-forward
        672,438   5%                            - seed7-re-search-backward
        403,656   3%                             - run-with-timer
        403,656   3%                              - run-at-time
        196,824   1%                               - timer-activate
        196,824   1%                                - timer--activate
        196,824   1%                                   timer--time-less-p
        126,768   0%                                 timer-relative-time
         80,064   0%                               - timer-set-time
         80,064   0%                                  timer--time-setter
        268,782   2%                               re-search-backward
        215,016   1%                            - replace-regexp-in-string
          8,184   0%                               concat
         24,576   0%                              seed7--indent-offset-for
         20,944   0%                            - seed7-calc-indent
          2,960   0%                             - seed7-line-at-endof-array-definition-block
          2,960   0%                              - seed7-line-code-ends-with
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,048   0%                               seed7-line-after-short-func-end
          1,992   0%                             - seed7-line-inside-array-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-set-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-assign-statement-continuation
          1,992   0%                              - seed7-assign-op-pos
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,992   0%                             - seed7-line-inside-parens-pair-column
          1,992   0%                              - seed7-line-inside-parens-pair
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,936   0%                             - seed7-line-inside-a-block-cached
          1,936   0%                              - seed7-line-inside-a-block
          1,936   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,936   0%                             - seed7-line-at-endof-set-definition-block
          1,936   0%                              - seed7-line-code-ends-with
          1,936   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-starts-with
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-indent-step
      1,778,504  13%                          - seed7-line-is-defun-end
        590,672   4%                             looking-back
        553,208   4%                           - seed7-line-starts-with-any
        553,208   4%                              seed7-line-starts-with
        297,872   2%                           - seed7-beg-of-defun
        116,569   0%                            - seed7-re-search-backward
         73,568   0%                             - run-with-timer
         73,568   0%                              - run-at-time
         35,872   0%                               - timer-activate
         35,872   0%                                - timer--activate
         35,872   0%                                   timer--time-less-p
         23,104   0%                                 timer-relative-time
         14,592   0%                               - timer-set-time
         14,592   0%                                  timer--time-setter
         43,001   0%                               re-search-backward
         89,367   0%                            - seed7-re-search-backward-closest
         89,367   0%                             - seed7-re-search-backward
         58,391   0%                                re-search-backward
         30,976   0%                              - run-with-timer
         30,976   0%                               - run-at-time
         15,104   0%                                - timer-activate
         15,104   0%                                 - timer--activate
         15,104   0%                                    timer--time-less-p
          9,728   0%                                  timer-relative-time
          6,144   0%                                - timer-set-time
          6,144   0%                                   timer--time-setter
          8,184   0%                              match-string-no-properties
          7,968   0%                            - seed7-top-block-name
          5,920   0%                             - seed7--to-top
          3,984   0%                              - seed7-re-search-backward
          2,048   0%                                 re-search-backward
          1,936   0%                               - run-with-timer
          1,936   0%                                - run-at-time
            944   0%                                 - timer-activate
            944   0%                                  - timer--activate
            944   0%                                     timer--time-less-p
            608   0%                                   timer-relative-time
            384   0%                                 - timer-set-time
            384   0%                                    timer--time-setter
          1,936   0%                              - run-with-timer
          1,936   0%                               - run-at-time
            944   0%                                - timer-activate
            944   0%                                 - timer--activate
            944   0%                                    timer--time-less-p
            608   0%                                  timer-relative-time
            384   0%                                - timer-set-time
            384   0%                                   timer--time-setter
          2,048   0%                             - seed7--block-name
          2,048   0%                                seed7-re-search-forward
        189,432   1%                           - seed7-move-to-line
        189,432   1%                              seed7-to-previous-non-empty-line
         76,176   0%                           - seed7-end-of-defun
         56,144   0%                            - seed7-top-block-name
         56,144   0%                             - seed7--to-top
         48,400   0%                              - seed7-re-search-backward
         48,400   0%                               - run-with-timer
         48,400   0%                                - run-at-time
         23,600   0%                                 - timer-activate
         23,600   0%                                  - timer--activate
         23,600   0%                                     timer--time-less-p
         15,200   0%                                   timer-relative-time
          9,600   0%                                 - timer-set-time
          9,600   0%                                    timer--time-setter
          7,744   0%                              - run-with-timer
          7,744   0%                               - run-at-time
          3,776   0%                                - timer-activate
          3,776   0%                                 - timer--activate
          3,776   0%                                    timer--time-less-p
          2,432   0%                                  timer-relative-time
          1,536   0%                                - timer-set-time
          1,536   0%                                   timer--time-setter
          8,192   0%                            - seed7-re-search-forward
          4,096   0%                             - seed7-inside-comment-p
          4,096   0%                              - syntax-ppss
          4,096   0%                               - syntax-propertize
          4,096   0%                                  seed7-mode-syntax-propertize
          7,744   0%                            - seed7-re-search-backward
          7,744   0%                             - run-with-timer
          7,744   0%                              - run-at-time
          3,776   0%                               - timer-activate
          3,776   0%                                - timer--activate
          3,776   0%                                   timer--time-less-p
          2,432   0%                                 timer-relative-time
          1,536   0%                               - timer-set-time
          1,536   0%                                  timer--time-setter
         41,944   0%                           - seed7--current-line-nth-word
         41,944   0%                            - thing-at-point
         41,944   0%                             - bounds-of-thing-at-point
         24,552   0%                              - #<byte-code-function 786>
         24,552   0%                               - forward-thing
         24,552   0%                                  format
         16,368   0%                              - #<byte-code-function 003>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
          1,024   0%                                re-search-forward
         29,200   0%                           - seed7--safe-current-line-defun-start-indent
         29,200   0%                            - seed7-to-block-backward
         29,200   0%                             - seed7-re-search-backward
         16,616   0%                                re-search-backward
         12,584   0%                              - run-with-timer
         12,584   0%                               - run-at-time
          6,136   0%                                - timer-activate
          6,136   0%                                 - timer--activate
          6,136   0%                                    timer--time-less-p
          3,952   0%                                  timer-relative-time
          2,496   0%                                - timer-set-time
          2,496   0%                                   timer--time-setter
      1,424,056  11%                          - seed7-comment-column
      1,339,000  10%                           - seed7-calc-indent
        446,116   3%                            - seed7-line-after-short-func-end
        443,460   3%                             - seed7-move-to-line
        443,460   3%                              - seed7-to-previous-non-empty-line
        443,460   3%                               - seed7-inside-comment-p
        443,460   3%                                - syntax-ppss
        443,460   3%                                   #<byte-code-function 40F>
        160,152   1%                            - seed7-line-inside-parens-pair-column
