      9,675,747  99% - ...
      9,675,747  99%  - #<primitive-function call-interactively>
      9,675,747  99%   - funcall-interactively
      9,675,747  99%    - smex
      9,675,747  99%     - smex-read-and-run
      9,675,747  99%      - execute-extended-command
      9,675,747  99%       - command-execute
      9,675,747  99%        - call-interactively
      9,675,747  99%         - apply
      9,675,747  99%          - call-interactively@ido-cr+-record-current-command
      9,675,747  99%           - #<primitive-function call-interactively>
      9,675,747  99%            - funcall-interactively
      9,675,747  99%             - pel-profile-all
      9,675,747  99%              - pel-profile-dir
      9,675,747  99%               - pel-profile-indent
      9,675,747  99%                - pel-profile-indentation-test-of
      8,114,663  83%                 - call-interactively
      8,114,663  83%                  - apply
      8,114,663  83%                   - call-interactively@ido-cr+-record-current-command
      8,114,663  83%                    - #<primitive-function call-interactively>
      8,114,663  83%                     - funcall-interactively
      8,114,647  83%                      - seed7-complete-statement-or-indent
      8,114,647  83%                       - seed7-indent-region
      8,114,647  83%                        - seed7--indent-one-line
      8,114,647  83%                         - seed7-calc-indent
      2,173,560  22%                          - seed7-line-inside-parens-pair-column
      2,173,560  22%                           - seed7-line-inside-parens-pair
      1,981,048  20%                            - seed7-re-search-backward
      1,849,848  19%                             - run-with-timer
      1,849,848  19%                              - run-at-time
        901,992   9%                               - timer-activate
        901,992   9%                                - timer--activate
        901,992   9%                                   timer--time-less-p
        580,944   5%                                 timer-relative-time
        366,912   3%                               - timer-set-time
        366,912   3%                                  timer--time-setter
        131,200   1%                               re-search-backward
        188,416   1%                            - forward-sexp
        188,416   1%                               seed7--forward-sexp-function
          4,096   0%                            - seed7-line-inside-syntax-parens-pair
          4,096   0%                             - forward-sexp
          4,096   0%                                seed7--forward-sexp-function
      1,416,053  14%                          - seed7-line-inside-a-block-cached
      1,416,053  14%                           - seed7-line-inside-a-block
        842,123   8%                            - seed7--safe-enclosing-block-bounds
        842,123   8%                             - seed7--block-end-pos-for
        798,795   8%                              - seed7-to-block-forward
        390,317   4%                               - seed7-re-search-forward
         16,366   0%                                - seed7-inside-comment-p
         16,366   0%                                 - syntax-ppss
         16,366   0%                                  - syntax-propertize
         16,366   0%                                     seed7-mode-syntax-propertize
        245,686   2%                               - seed7-end-of-defun
        175,654   1%                                - seed7-top-block-name
        157,152   1%                                 - seed7--to-top
        133,920   1%                                  - seed7-re-search-backward
        127,776   1%                                   - run-with-timer
        127,776   1%                                    - run-at-time
         62,304   0%                                     - timer-activate
         62,304   0%                                      - timer--activate
         62,304   0%                                         timer--time-less-p
         40,128   0%                                       timer-relative-time
         25,344   0%                                     - timer-set-time
         25,344   0%                                        timer--time-setter
          6,144   0%                                     re-search-backward
         23,232   0%                                  - run-with-timer
         23,232   0%                                   - run-at-time
         11,328   0%                                    - timer-activate
         11,328   0%                                     - timer--activate
         11,328   0%                                        timer--time-less-p
          7,296   0%                                      timer-relative-time
          4,608   0%                                    - timer-set-time
          4,608   0%                                       timer--time-setter
         18,502   0%                                 - seed7--block-name
         10,318   0%                                    seed7-re-search-forward
          8,184   0%                                    match-string
         23,232   0%                                - seed7-re-search-backward
         23,232   0%                                 - run-with-timer
         23,232   0%                                  - run-at-time
         11,328   0%                                   - timer-activate
         11,328   0%                                    - timer--activate
         11,328   0%                                       timer--time-less-p
          7,296   0%                                     timer-relative-time
          4,608   0%                                   - timer-set-time
          4,608   0%                                      timer--time-setter
         21,216   0%                                - seed7-re-search-forward
          5,208   0%                                 - seed7-inside-comment-p
          5,208   0%                                  - syntax-ppss
          5,208   0%                                   - syntax-propertize
          5,208   0%                                      seed7-mode-syntax-propertize
          8,184   0%                                  match-string
        132,096   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         30,696   0%                               - seed7--current-line-nth-word
         30,696   0%                                - thing-at-point
         30,696   0%                                 - bounds-of-thing-at-point
         16,368   0%                                  - #<byte-code-function 8EE>
         16,368   0%                                   - forward-thing
         16,368   0%                                      format
          8,184   0%                                  - #<byte-code-function 215>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
          6,144   0%                                    re-search-forward
         41,280   0%                              - seed7--line-ends-a-statement-p
         31,040   0%                                 looking-at
         10,240   0%                               - forward-sexp
         10,240   0%                                  seed7--forward-sexp-function
        331,320   3%                            - seed7-re-search-backward
        168,432   1%                             - run-with-timer
        168,432   1%                              - run-at-time
         82,128   0%                               - timer-activate
         82,128   0%                                - timer--activate
         82,128   0%                                   timer--time-less-p
         52,896   0%                                 timer-relative-time
         33,408   0%                               - timer-set-time
         33,408   0%                                  timer--time-setter
        162,888   1%                               re-search-backward
        141,304   1%                              replace-regexp-in-string
         95,162   0%                            - seed7-calc-indent
         33,353   0%                             - seed7-line-is-defun-end
         13,361   0%                              - seed7-beg-of-defun
          4,524   0%                               - seed7-re-search-backward
          3,556   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          3,984   0%                               - seed7-re-search-backward-closest
          3,984   0%                                - seed7-re-search-backward
          2,048   0%                                   re-search-backward
          1,936   0%                                 - run-with-timer
          1,936   0%                                  - run-at-time
            944   0%                                   - timer-activate
            944   0%                                    - timer--activate
            944   0%                                       timer--time-less-p
            608   0%                                     timer-relative-time
            384   0%                                   - timer-set-time
            384   0%                                      timer--time-setter
         12,824   0%                              - seed7-line-starts-with-any
         12,824   0%                                 seed7-line-starts-with
          6,144   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
         12,064   0%                             - seed7-line-inside-a-block-cached
         12,064   0%                              - seed7-line-inside-a-block
          5,920   0%                               - seed7-re-search-backward
          3,872   0%                                - run-with-timer
          3,872   0%                                 - run-at-time
          1,888   0%                                  - timer-activate
          1,888   0%                                   - timer--activate
          1,888   0%                                      timer--time-less-p
          1,216   0%                                    timer-relative-time
            768   0%                                  - timer-set-time
            768   0%                                     timer--time-setter
          2,048   0%                                  re-search-backward
          5,120   0%                               - seed7--safe-enclosing-block-bounds
          5,120   0%                                - seed7--block-end-pos-for
          5,120   0%                                 - seed7--line-ends-a-statement-p
          3,072   0%                                    looking-at
          2,048   0%                                  - forward-sexp
          2,048   0%                                     seed7--forward-sexp-function
          1,024   0%                                 replace-regexp-in-string
         10,232   0%                               seed7-line-starts-with
          5,920   0%                             - seed7-line-at-endof-array-definition-block
          5,920   0%                              - seed7-line-code-ends-with
