        1420  83% - ...
        1420  83%  - pel-profile-indent
        1420  83%   - pel-profile-indentation-test-of
        1420  83%    - call-interactively
        1420  83%     - apply
        1420  83%      - call-interactively@ido-cr+-record-current-command
        1420  83%       - #<primitive-function call-interactively>
        1420  83%        - funcall-interactively
        1369  80%         - pel-profile-all
        1369  80%          - pel-profile-dir
        1369  80%           - pel-profile-indent
        1369  80%            - pel-profile-indentation-test-of
        1369  80%             - call-interactively
        1369  80%              - apply
        1369  80%               - call-interactively@ido-cr+-record-current-command
        1369  80%                - #<primitive-function call-interactively>
        1369  80%                 - funcall-interactively
        1369  80%                  - seed7-complete-statement-or-indent
        1369  80%                   - seed7-indent-region
        1368  80%                    - seed7--indent-one-line
        1366  80%                     - seed7-calc-indent
         564  33%                      - seed7--indent-search-boundary
         564  33%                       - seed7--indent-search-boundary-uncached
         545  32%                        - syntax-ppss
         536  31%                           parse-partial-sexp
           4   0%                         - #<byte-code-function 08A>
           2   0%                            set-syntax-table
           3   0%                           syntax-ppss--update-stats
           1   0%                           syntax-table
           2   0%                          seed7-to-indent
         383  22%                      - seed7-line-is-defun-end
         348  20%                       - seed7-end-of-defun
         341  20%                        - seed7-top-block-name
         327  19%                         - seed7--to-top
         326  19%                          - seed7-re-search-backward
         277  16%                           - seed7-inside-comment-p
         277  16%                            - syntax-ppss
         277  16%                               parse-partial-sexp
          37   2%                           - run-with-timer
          37   2%                            - run-at-time
          18   1%                             - timer-activate
          18   1%                              - timer--activate
          17   1%                                 timer--time-less-p
          13   0%                             - timer-set-time
          13   0%                                timer--time-setter
           6   0%                               timer-relative-time
          11   0%                             re-search-backward
           1   0%                             seed7-inside-string-p
          14   0%                         - seed7--block-name
          14   0%                          - seed7-re-search-forward
           6   0%                           - seed7-inside-comment-p
           6   0%                            - syntax-ppss
           6   0%                               parse-partial-sexp
           6   0%                          seed7-re-search-forward
          28   1%                       - seed7-beg-of-defun
          19   1%                        - seed7-re-search-backward-closest
          19   1%                         - seed7-re-search-backward
