          18  69% - ...
          18  69%  - pel-profile-indentation-test-of
          18  69%   - call-interactively
          18  69%    - apply
          18  69%     - call-interactively@ido-cr+-record-current-command
          18  69%      - #<primitive-function call-interactively>
          18  69%       - funcall-interactively
           9  34%        - pel-profile-all
           9  34%         - pel-profile-dir
           9  34%          - pel-profile-indent
           9  34%           - pel-profile-indentation-test-of
           9  34%            - call-interactively
           9  34%             - apply
           9  34%              - call-interactively@ido-cr+-record-current-command
           9  34%               - #<primitive-function call-interactively>
           9  34%                - funcall-interactively
           9  34%                 - seed7-complete-statement-or-indent
           9  34%                  - seed7-indent-region
           9  34%                   - seed7--indent-one-line
           9  34%                    - seed7-calc-indent
           5  19%                     - seed7-comment-column
           4  15%                      - seed7-calc-indent
           1   3%                       - seed7-line-inside-assign-statement-continuation
           1   3%                        - seed7-assign-op-pos
           1   3%                         - seed7-re-search-backward
           1   3%                            re-search-backward
           1   3%                       - seed7-line-after-func-return-logic-operator-column
           1   3%                        - seed7-move-to-line
           1   3%                         - seed7-to-previous-non-empty-line
           1   3%                          - seed7-inside-comment-p
           1   3%                           - syntax-ppss
           1   3%                              parse-partial-sexp
           1   3%                       - seed7-line-is-defun-end
           1   3%                        - seed7-move-to-line
           1   3%                         - seed7-to-previous-non-empty-line
           1   3%                          - seed7-inside-comment-p
           1   3%                           - syntax-ppss
           1   3%                              parse-partial-sexp
           1   3%                       - seed7-line-after-short-func-end
           1   3%                        - seed7-move-to-line
           1   3%                         - seed7-to-previous-non-empty-line
           1   3%                          - seed7-inside-comment-p
           1   3%                           - syntax-ppss
           1   3%                              parse-partial-sexp
           1   3%                      - seed7-line-code-ends-with
           1   3%                       - seed7-move-to-line
           1   3%                        - seed7-to-previous-non-empty-line
           1   3%                         - seed7-inside-comment-p
           1   3%                          - syntax-ppss
           1   3%                             parse-partial-sexp
           1   3%                     - seed7-line-inside-a-block-cached
           1   3%                      - seed7-line-inside-a-block
           1   3%                       - seed7-re-search-backward
           1   3%                        - seed7-inside-comment-p
           1   3%                         - syntax-ppss
           1   3%                            parse-partial-sexp
           1   3%                     - seed7-line-inside-logic-check-expression
           1   3%                        seed7-re-search-forward
           1   3%                     - seed7-current-line-start-inside-comment-p
           1   3%                      - seed7-inside-comment-p
           1   3%                       - syntax-ppss
           1   3%                          parse-partial-sexp
           1   3%                     - seed7--indent-search-boundary
           1   3%                      - seed7--indent-search-boundary-uncached
           1   3%                       - syntax-ppss
           1   3%                          parse-partial-sexp
           9  34%        - seed7-complete-statement-or-indent
           9  34%         - seed7-indent-region
           9  34%          - seed7--indent-one-line
           9  34%           - seed7-calc-indent
           5  19%            - seed7-line-inside-a-block-cached
           5  19%             - seed7-line-inside-a-block
           4  15%              - seed7--safe-enclosing-block-bounds
           4  15%               - seed7--block-end-pos-for
           4  15%                - seed7-to-block-forward
           3  11%                 - seed7-re-search-forward
           2   7%                  - seed7-inside-string-p
           2   7%                   - syntax-ppss
           2   7%                      parse-partial-sexp
           1   3%                 - seed7-inside-comment-p
           1   3%                  - syntax-ppss
           1   3%                     parse-partial-sexp
           1   3%              - seed7-calc-indent
           1   3%               - seed7-line-after-short-func-end
           1   3%                - seed7-move-to-line
           1   3%                 - seed7-to-previous-non-empty-line
           1   3%                  - seed7-inside-comment-p
           1   3%                   - syntax-ppss
           1   3%                      parse-partial-sexp
           1   3%            - seed7-line-inside-array-definition-block
           1   3%             - seed7-re-search-backward
           1   3%              - run-with-timer
           1   3%               - run-at-time
           1   3%                - timer-activate
           1   3%                 - timer--activate
           1   3%                    timer--time-less-p
           1   3%            - seed7-line-inside-until-logic-expression
           1   3%             - seed7-re-search-backward
           1   3%              - run-with-timer
           1   3%               - run-at-time
           1   3%                - timer-activate
           1   3%                 - timer--activate
           1   3%                    timer--time-less-p
           1   3%            - seed7-line-inside-func-return-statement
           1   3%             - seed7-re-search-backward
           1   3%              - run-with-timer
           1   3%               - run-at-time
           1   3%                - timer-activate
           1   3%                 - timer--activate
           1   3%                    timer--time-less-p
           1   3%            - seed7-line-inside-assign-statement-continuation
           1   3%             - seed7-assign-op-pos
           1   3%              - seed7-re-search-backward
           1   3%               - run-with-timer
           1   3%                - run-at-time
           1   3%                 - timer-activate
           1   3%                  - timer--activate
           1   3%                     timer--time-less-p
           8  30%   Automatic GC
