  2,170,186,132  99% - ...
  2,170,186,132  99%  - #<primitive-function call-interactively>
  2,170,186,132  99%   - funcall-interactively
  2,170,186,132  99%    - smex
  2,170,186,132  99%     - smex-read-and-run
  2,170,186,132  99%      - execute-extended-command
  2,170,186,132  99%       - command-execute
  2,170,186,132  99%        - call-interactively
  2,170,186,132  99%         - apply
  2,170,186,132  99%          - call-interactively@ido-cr+-record-current-command
  2,170,186,132  99%           - #<primitive-function call-interactively>
  2,170,186,132  99%            - funcall-interactively
  2,170,186,132  99%             - pel-profile-all
  2,170,186,132  99%              - pel-profile-dir
  2,170,186,132  99%               - pel-profile-indent
  2,170,186,132  99%                - pel-profile-indentation-test-of
  2,168,605,336  99%                 - call-interactively
  2,168,605,336  99%                  - apply
  2,168,605,336  99%                   - call-interactively@ido-cr+-record-current-command
  2,168,605,336  99%                    - #<primitive-function call-interactively>
  2,168,605,336  99%                     - funcall-interactively
  2,168,605,320  99%                      - seed7-complete-statement-or-indent
  2,168,605,320  99%                       - seed7-indent-region
  2,168,605,320  99%                        - seed7--indent-one-line
  2,168,601,176  99%                         - seed7-calc-indent
  1,907,630,113  87%                          - seed7-line-inside-parens-pair-column
  1,907,630,113  87%                           - seed7-line-inside-parens-pair
  1,902,287,999  87%                            - seed7-re-search-backward
  1,896,127,482  87%                             - run-with-timer
  1,896,127,482  87%                              - run-at-time
  1,062,376,640  48%                               - timer-activate
  1,062,376,640  48%                                - timer--activate
  1,062,376,640  48%                                 - timer--time-less-p
         21,785   0%                                    timer--time
    510,371,066  23%                                 timer-relative-time
    322,550,093  14%                               - timer-set-time
    322,543,728  14%                                  timer--time-setter
        820,512   0%                                 timer-create
          9,171   0%                                 timer-set-function
      2,248,803   0%                               re-search-backward
      2,208,054   0%                             - seed7-inside-string-p
        550,454   0%                              - syntax-ppss
        505,568   0%                                 make-closure
         14,707   0%                                 #<byte-code-function FE3>
          3,986   0%                                 syntax-table
      1,282,805   0%                             - seed7-inside-comment-p
        590,757   0%                              - syntax-ppss
        551,152   0%                                 make-closure
         19,416   0%                                 #<byte-code-function C23>
          8,281   0%                                 syntax-table
        420,855   0%                               make-closure
      5,333,480   0%                            - forward-sexp
      5,319,976   0%                               seed7--forward-sexp-function
          4,490   0%                            - seed7-line-inside-syntax-parens-pair
          4,490   0%                             - syntax-ppss
          4,144   0%                                make-closure
    165,350,549   7%                          - seed7-line-inside-a-block-cached
    165,350,549   7%                           - seed7-line-inside-a-block
    152,768,552   7%                            - seed7--safe-enclosing-block-bounds
    152,660,808   7%                             - seed7--block-end-pos-for
    152,574,088   7%                              - seed7-to-block-forward
    142,367,669   6%                               - seed7-re-search-forward
     71,401,589   3%                                - seed7-inside-string-p
        377,573   0%                                 - syntax-ppss
        368,816   0%                                    make-closure
            993   0%                                    syntax-table
     67,511,010   3%                                - seed7-inside-comment-p
     13,551,986   0%                                 - syntax-ppss
     13,167,652   0%                                  - syntax-propertize
     12,408,352   0%                                     seed7-mode-syntax-propertize
            948   0%                                     #<byte-code-function 32B>
        372,960   0%                                    make-closure
          4,953   0%                                    syntax-table
          3,535   0%                                    #<byte-code-function A84>
      2,947,864   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        169,904   0%                                - seed7-inside-line-indent-before-comment-p
          8,288   0%                                   seed7-inside-comment-p
      2,874,736   0%                               - user-error
      2,874,736   0%                                  format-message
      2,166,280   0%                               - seed7--current-line-nth-word
      1,950,792   0%                                - thing-at-point
      1,568,000   0%                                 - bounds-of-thing-at-point
        883,872   0%                                  - #<byte-code-function 75D>
        883,872   0%                                   - forward-thing
        883,872   0%                                      format
        523,776   0%                                  - #<byte-code-function 449>
        523,776   0%                                   - forward-thing
        523,776   0%                                      format
         19,456   0%                                    re-search-forward
      1,849,536   0%                               - seed7-end-of-defun
      1,730,344   0%                                - seed7-top-block-name
      1,727,296   0%                                 - seed7--to-top
      1,628,032   0%                                  - seed7-re-search-backward
      1,628,032   0%                                   - run-with-timer
      1,628,032   0%                                    - run-at-time
      1,001,088   0%                                     - timer-activate
      1,001,088   0%                                      - timer--activate
      1,001,088   0%                                         timer--time-less-p
        384,256   0%                                       timer-relative-time
        242,688   0%                                     - timer-set-time
        242,688   0%                                        timer--time-setter
         99,264   0%                                  - run-with-timer
         99,264   0%                                   - run-at-time
         55,616   0%                                    - timer-activate
         55,616   0%                                     - timer--activate
         55,616   0%                                        timer--time-less-p
         26,752   0%                                      timer-relative-time
         16,896   0%                                    - timer-set-time
         16,896   0%                                       timer--time-setter
          3,048   0%                                 - seed7--block-name
          3,048   0%                                    match-string
         99,264   0%                                - seed7-re-search-backward
         99,264   0%                                 - run-with-timer
         99,264   0%                                  - run-at-time
         55,616   0%                                   - timer-activate
         55,616   0%                                    - timer--activate
         55,616   0%                                       timer--time-less-p
         26,752   0%                                     timer-relative-time
         16,896   0%                                   - timer-set-time
         16,896   0%                                      timer--time-setter
          8,128   0%                                  match-string
        169,904   0%                               - seed7-current-line-number
         91,168   0%                                  count-lines
        122,760   0%                                 seed7--end-regexp-for
          8,288   0%                               - seed7-inside-line-indent-before-comment-p
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
            747   0%                               - seed7-inside-comment-p
            747   0%                                - syntax-ppss
            747   0%                                   #<byte-code-function 9E0>
         25,920   0%                              - seed7--line-ends-a-statement-p
         25,920   0%                                 looking-at
          5,120   0%                              - seed7-to-next-line-starts-with
          5,120   0%                                 seed7-re-search-forward
          2,048   0%                              - seed7-re-search-forward-closest
          2,048   0%                                 seed7-re-search-forward
      9,111,259   0%                            - seed7-re-search-backward
      5,183,160   0%                             - run-with-timer
      5,183,160   0%                              - run-at-time
      2,904,040   0%                               - timer-activate
      2,904,040   0%                                - timer--activate
      2,904,040   0%                                   timer--time-less-p
      1,396,880   0%                                 timer-relative-time
        882,240   0%                               - timer-set-time
        882,240   0%                                  timer--time-setter
      3,832,787   0%                               re-search-backward
         95,312   0%                               seed7-inside-string-p
      3,114,010   0%                            - replace-regexp-in-string
         16,522   0%                               concat
        200,440   0%                            - seed7-calc-indent
         53,000   0%                             - seed7-line-at-endof-array-definition-block
         22,560   0%                              - backward-sexp
         22,560   0%                               - forward-sexp
         22,560   0%                                - seed7--forward-sexp-function
         11,280   0%                                 - seed7--at-array-definition-end-line-p
         11,280   0%                                  - seed7-line-code-ends-with
         11,280   0%                                   - seed7-re-search-backward
         11,280   0%                                    - run-with-timer
         11,280   0%                                     - run-at-time
          6,320   0%                                      - timer-activate
          6,320   0%                                       - timer--activate
          6,320   0%                                          timer--time-less-p
          3,040   0%                                        timer-relative-time
          1,920   0%                                      - timer-set-time
          1,920   0%                                         timer--time-setter
         11,280   0%                                 - seed7--at-set-definition-end-line-p
         11,280   0%                                  - seed7-line-code-ends-with
         11,280   0%                                   - seed7-re-search-backward
         11,280   0%                                    - run-with-timer
         11,280   0%                                     - run-at-time
          6,320   0%                                      - timer-activate
          6,320   0%                                       - timer--activate
          6,320   0%                                          timer--time-less-p
          3,040   0%                                        timer-relative-time
          1,920   0%                                      - timer-set-time
          1,920   0%                                         timer--time-setter
         19,680   0%                              - seed7-line-code-ends-with
         19,680   0%                               - seed7-re-search-backward
         13,536   0%                                - run-with-timer
         13,536   0%                                 - run-at-time
          7,584   0%                                  - timer-activate
          7,584   0%                                   - timer--activate
          7,584   0%                                      timer--time-less-p
          3,648   0%                                    timer-relative-time
          2,304   0%                                  - timer-set-time
          2,304   0%                                     timer--time-setter
          6,144   0%                                  re-search-backward
          5,640   0%                              - seed7-re-search-backward
          5,640   0%                               - run-with-timer
          5,640   0%                                - run-at-time
          3,160   0%                                 - timer-activate
          3,160   0%                                  - timer--activate
          3,160   0%                                     timer--time-less-p
          1,520   0%                                   timer-relative-time
            960   0%                                 - timer-set-time
            960   0%                                    timer--time-setter
          5,120   0%                                looking-at
         31,968   0%                             - seed7-line-inside-a-block-cached
         31,968   0%                              - seed7-line-inside-a-block
         16,608   0%                               - seed7-re-search-backward
         13,536   0%                                - run-with-timer
         13,536   0%                                 - run-at-time
          7,584   0%                                  - timer-activate
          7,584   0%                                   - timer--activate
          7,584   0%                                      timer--time-less-p
          3,648   0%                                    timer-relative-time
          2,304   0%                                  - timer-set-time
          2,304   0%                                     timer--time-setter
          3,072   0%                                  re-search-backward
         12,288   0%                               - seed7--safe-enclosing-block-bounds
         12,288   0%                                - seed7--block-end-pos-for
          3,072   0%                                 - seed7-re-search-forward-closest
          3,072   0%                                    seed7-re-search-forward
          3,072   0%                                 replace-regexp-in-string
         26,112   0%                             - seed7-line-after-short-func-end
         18,944   0%                              - seed7-to-block-backward
         10,760   0%                               - seed7-re-search-backward
          5,640   0%                                - run-with-timer
          5,640   0%                                 - run-at-time
          3,160   0%                                  - timer-activate
          3,160   0%                                   - timer--activate
          3,160   0%                                      timer--time-less-p
          1,520   0%                                    timer-relative-time
            960   0%                                  - timer-set-time
            960   0%                                     timer--time-setter
          5,120   0%                                  re-search-backward
          8,184   0%                               - seed7--current-line-nth-word
          8,184   0%                                - thing-at-point
          8,184   0%                                 - bounds-of-thing-at-point
          8,184   0%                                  - #<byte-code-function 605>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
         13,536   0%                             - seed7-line-at-endof-set-definition-block
         13,536   0%                              - seed7-line-code-ends-with
         13,536   0%                               - seed7-re-search-backward
         13,536   0%                                - run-with-timer
         13,536   0%                                 - run-at-time
          7,584   0%                                  - timer-activate
          7,584   0%                                   - timer--activate
          7,584   0%                                      timer--time-less-p
          3,648   0%                                    timer-relative-time
          2,304   0%                                  - timer-set-time
          2,304   0%                                     timer--time-setter
         13,424   0%                             - seed7-line-inside-array-definition-block
         13,424   0%                              - seed7-re-search-backward
          6,768   0%                               - run-with-timer
