    228,447,431  99% - ...
    228,447,431  99%  - #<primitive-function call-interactively>
    228,447,431  99%   - funcall-interactively
    228,447,431  99%    - smex
    228,447,431  99%     - smex-read-and-run
    228,447,431  99%      - execute-extended-command
    228,447,431  99%       - command-execute
    228,447,431  99%        - call-interactively
    228,447,431  99%         - apply
    228,447,431  99%          - call-interactively@ido-cr+-record-current-command
    228,447,431  99%           - #<primitive-function call-interactively>
    228,447,431  99%            - funcall-interactively
    228,447,431  99%             - pel-profile-all
    228,447,431  99%              - pel-profile-dir
    228,447,431  99%               - pel-profile-indent
    228,447,431  99%                - pel-profile-indentation-test-of
    226,866,635  98%                 - call-interactively
    226,866,635  98%                  - apply
    226,866,635  98%                   - call-interactively@ido-cr+-record-current-command
    226,866,635  98%                    - #<primitive-function call-interactively>
    226,866,635  98%                     - funcall-interactively
    226,866,619  98%                      - seed7-complete-statement-or-indent
    226,866,619  98%                       - seed7-indent-region
    226,866,619  98%                        - seed7--indent-one-line
    226,866,619  98%                         - seed7-calc-indent
     82,594,790  35%                          - seed7-line-is-defun-end
     47,791,616  20%                           - seed7-end-of-defun
     43,540,288  18%                            - seed7-top-block-name
     43,499,536  18%                             - seed7--to-top
     42,897,184  18%                              - seed7-re-search-backward
     42,876,464  18%                               - run-with-timer
     42,876,464  18%                                - run-at-time
     26,366,656  11%                                 - timer-activate
     26,366,656  11%                                  - timer--activate
     26,366,656  11%                                     timer--time-less-p
     10,118,896   4%                                   timer-relative-time
      6,390,912   2%                                 - timer-set-time
      6,390,912   2%                                    timer--time-setter
         12,432   0%                               - seed7-inside-string-p
         12,432   0%                                - syntax-ppss
         12,432   0%                                   make-closure
          8,288   0%                                 seed7-inside-comment-p
        602,352   0%                              - run-with-timer
        602,352   0%                               - run-at-time
        337,488   0%                                - timer-activate
        337,488   0%                                 - timer--activate
        337,488   0%                                    timer--time-less-p
        162,336   0%                                  timer-relative-time
        102,528   0%                                - timer-set-time
        102,528   0%                                   timer--time-setter
         40,752   0%                             - seed7--block-name
         32,568   0%                                match-string
      1,129,208   0%                              match-string
      1,113,024   0%                              match-string-no-properties
        912,662   0%                            - seed7-re-search-forward
        527,062   0%                             - seed7-inside-comment-p
        518,774   0%                              - syntax-ppss
        518,514   0%                               - syntax-propertize
        518,514   0%                                  seed7-mode-syntax-propertize
         16,576   0%                             - seed7-inside-string-p
          4,144   0%                              - syntax-ppss
          4,144   0%                                 make-closure
        602,352   0%                            - seed7-re-search-backward
        602,352   0%                             - run-with-timer
        602,352   0%                              - run-at-time
        337,488   0%                               - timer-activate
        337,488   0%                                - timer--activate
        337,488   0%                                   timer--time-less-p
        162,336   0%                                 timer-relative-time
        102,528   0%                               - timer-set-time
        102,528   0%                                  timer--time-setter
     21,695,732   9%                           - seed7-beg-of-defun
     17,034,472   7%                            - seed7-re-search-backward
     16,534,208   7%                             - run-with-timer
     16,534,208   7%                              - run-at-time
