           4  50% - ...
           4  50%  - pel-profile-dir
           4  50%   - pel-profile-indent
           4  50%    - pel-profile-indentation-test-of
           4  50%     - call-interactively
           4  50%      - apply
           4  50%       - call-interactively@ido-cr+-record-current-command
           4  50%        - #<primitive-function call-interactively>
           4  50%         - funcall-interactively
           4  50%          - seed7-complete-statement-or-indent
           4  50%           - seed7-indent-region
           4  50%            - seed7--indent-one-line
           4  50%             - seed7-calc-indent
           2  25%              - seed7-comment-column
           2  25%               - seed7-calc-indent
           2  25%                - seed7-line-is-defun-end
           2  25%                 - seed7-move-to-line
           2  25%                  - seed7-to-previous-non-empty-line
           2  25%                   - seed7-inside-comment-p
           2  25%                    - syntax-ppss
           2  25%                       parse-partial-sexp
           1  12%              - seed7-line-inside-assign-statement-continuation
           1  12%               - seed7-assign-op-pos
           1  12%                - seed7-re-search-backward
           1  12%                   re-search-backward
           1  12%              - seed7--indent-search-boundary
           1  12%               - seed7--indent-search-boundary-uncached
           1  12%                - syntax-ppss
           1  12%                   parse-partial-sexp
           4  50%   Automatic GC
