    168,547,250  99% - ...
    168,547,250  99%  - #<primitive-function call-interactively>
    168,547,250  99%   - funcall-interactively
    168,547,250  99%    - smex
    168,547,250  99%     - smex-read-and-run
    168,547,250  99%      - execute-extended-command
    168,547,250  99%       - command-execute
    168,547,250  99%        - call-interactively
    168,547,250  99%         - apply
    168,547,250  99%          - call-interactively@ido-cr+-record-current-command
    168,547,250  99%           - #<primitive-function call-interactively>
    168,547,250  99%            - funcall-interactively
    168,547,250  99%             - pel-profile-all
    168,547,250  99%              - pel-profile-dir
    168,547,250  99%               - pel-profile-indent
    168,547,250  99%                - pel-profile-indentation-test-of
    166,983,350  98%                 - call-interactively
    166,983,350  98%                  - apply
    166,983,350  98%                   - call-interactively@ido-cr+-record-current-command
    166,983,350  98%                    - #<primitive-function call-interactively>
    166,983,350  98%                     - funcall-interactively
    166,983,334  98%                      - seed7-complete-statement-or-indent
    166,983,334  98%                       - seed7-indent-region
    166,983,334  98%                        - seed7--indent-one-line
    166,983,334  98%                         - seed7-calc-indent
    133,260,729  78%                          - seed7-line-inside-parens-pair-column
    133,260,729  78%                           - seed7-line-inside-parens-pair
    131,404,542  77%                            - seed7-re-search-backward
    131,147,220  77%                             - run-with-timer
    131,147,220  77%                              - run-at-time
     63,948,747  37%                               - timer-activate
     63,948,747  37%                                - timer--activate
     63,948,747  37%                                 - timer--time-less-p
            864   0%                                    timer--time
     41,186,121  24%                                 timer-relative-time
     26,012,352  15%                               - timer-set-time
     26,012,352  15%                                  timer--time-setter
        256,880   0%                               re-search-backward
            383   0%                             - seed7-inside-string-p
            383   0%                              - syntax-ppss
            383   0%                                 #<byte-code-function 323>
             59   0%                             - seed7-inside-comment-p
             59   0%                                syntax-ppss
      1,458,816   0%                            - seed7-line-inside-syntax-parens-pair
      1,458,816   0%                             - forward-sexp
      1,458,816   0%                                seed7--forward-sexp-function
        397,371   0%                            - forward-sexp
        397,176   0%                               seed7--forward-sexp-function
     11,128,574   6%                          - seed7-line-inside-a-block-cached
     11,128,574   6%                           - seed7-line-inside-a-block
      7,527,995   4%                            - seed7--safe-enclosing-block-bounds
      7,527,995   4%                             - seed7--block-end-pos-for
      7,523,899   4%                              - seed7-to-block-forward
      6,364,719   3%                               - seed7-re-search-forward
      4,023,830   2%                                - seed7-inside-comment-p
      4,023,830   2%                                 - syntax-ppss
      4,023,830   2%                                  - syntax-propertize
      4,023,830   2%                                     seed7-mode-syntax-propertize
        934,912   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        140,152   0%                               - seed7--current-line-nth-word
        140,152   0%                                - thing-at-point
        140,152   0%                                 - bounds-of-thing-at-point
         73,656   0%                                  - #<byte-code-function 72B>
         73,656   0%                                   - forward-thing
         73,656   0%                                      format
         65,472   0%                                  - #<byte-code-function F57>
         65,472   0%                                   - forward-thing
         65,472   0%                                      format
          1,024   0%                                    re-search-forward
         84,116   0%                               - seed7-end-of-defun
         56,417   0%                                - seed7-top-block-name
         49,305   0%                                 - seed7--to-top
         41,561   0%                                  - seed7-re-search-backward
         39,513   0%                                   - run-with-timer
         39,513   0%                                    - run-at-time
         32,569   0%                                     - timer-activate
         32,569   0%                                      - timer--activate
         32,569   0%                                       - timer--time-less-p
         25,961   0%                                          timer--time
          4,256   0%                                       timer-relative-time
          2,688   0%                                     - timer-set-time
          2,688   0%                                        timer--time-setter
          2,048   0%                                     re-search-backward
          7,744   0%                                  - run-with-timer
          7,744   0%                                   - run-at-time
          3,776   0%                                    - timer-activate
          3,776   0%                                     - timer--activate
          3,776   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
          7,112   0%                                 - seed7--block-name
          7,112   0%                                    seed7-re-search-forward
         15,351   0%                                - seed7-re-search-forward
          8,671   0%                                 - seed7-inside-comment-p
          8,671   0%                                  - syntax-ppss
          8,671   0%                                   - syntax-propertize
          8,671   0%                                      seed7-mode-syntax-propertize
          7,744   0%                                - seed7-re-search-backward
          7,744   0%                                 - run-with-timer
          7,744   0%                                  - run-at-time
          3,776   0%                                   - timer-activate
          3,776   0%                                    - timer--activate
          3,776   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
      2,502,402   1%                            - seed7-re-search-backward
      1,587,642   0%                               re-search-backward
        914,760   0%                             - run-with-timer
        914,760   0%                              - run-at-time
        446,040   0%                               - timer-activate
        446,040   0%                                - timer--activate
        446,040   0%                                   timer--time-less-p
        287,280   0%                                 timer-relative-time
        181,440   0%                               - timer-set-time
        181,440   0%                                  timer--time-setter
        953,456   0%                              replace-regexp-in-string
         49,104   0%                              match-string
         29,121   0%                            - seed7-calc-indent
          4,608   0%                             - seed7-line-is-defun-end
          3,456   0%                                looking-back
          1,152   0%                              - seed7-move-to-line
          1,152   0%                                 seed7-to-previous-non-empty-line
          2,960   0%                             - seed7-line-inside-a-block-cached
          2,960   0%                              - seed7-line-inside-a-block
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
