          22  55% - ...
          22  55%  - pel-profile-dir
          22  55%   - pel-profile-indent
          22  55%    - pel-profile-indentation-test-of
          22  55%     - call-interactively
          22  55%      - apply
          22  55%       - call-interactively@ido-cr+-record-current-command
          22  55%        - #<primitive-function call-interactively>
          22  55%         - funcall-interactively
          22  55%          - seed7-complete-statement-or-indent
          22  55%           - seed7-indent-region
          22  55%            - seed7--indent-one-line
          22  55%             - seed7-calc-indent
          16  40%              - seed7-comment-column
          13  32%               - seed7-calc-indent
           4  10%                - seed7-line-inside-parens-pair-column
           4  10%                 - seed7-line-inside-parens-pair
           4  10%                  - seed7-re-search-backward
           4  10%                   - seed7-inside-comment-p
           4  10%                    - syntax-ppss
           4  10%                       parse-partial-sexp
           2   5%                - seed7-line-after-func-return-logic-operator-column
           2   5%                 - seed7-move-to-line
           2   5%                  - seed7-to-previous-non-empty-line
           2   5%                   - seed7-inside-comment-p
           2   5%                    - syntax-ppss
           2   5%                       parse-partial-sexp
           2   5%                - seed7-line-at-endof-array-definition-block
           2   5%                 - seed7-move-to-line
           2   5%                  - seed7-to-previous-non-empty-line
           2   5%                   - seed7-inside-comment-p
           2   5%                    - syntax-ppss
           2   5%                       parse-partial-sexp
           2   5%                - seed7-line-is-defun-end
           2   5%                 - seed7-move-to-line
           2   5%                  - seed7-to-previous-non-empty-line
           2   5%                   - seed7-inside-comment-p
           2   5%                    - syntax-ppss
           2   5%                       parse-partial-sexp
           1   2%                - seed7-line-inside-array-definition-block
           1   2%                 - seed7-re-search-backward
           1   2%                  - run-with-timer
           1   2%                   - run-at-time
           1   2%                    - timer-set-time
           1   2%                       timer--time-setter
           1   2%                - seed7-line-at-endof-set-definition-block
           1   2%                 - seed7-move-to-line
           1   2%                  - seed7-to-previous-non-empty-line
           1   2%                   - seed7-inside-comment-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           1   2%                - seed7-line-starts-with-open-paren-after-logic-operator
           1   2%                 - seed7-move-to-line
           1   2%                  - seed7-to-previous-non-empty-line
           1   2%                   - seed7-inside-comment-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           2   5%               - seed7-line-code-ends-with
           2   5%                - seed7-move-to-line
           2   5%                 - seed7-to-previous-non-empty-line
           2   5%                  - seed7-inside-comment-p
           2   5%                   - syntax-ppss
           2   5%                      parse-partial-sexp
           1   2%               - seed7-inside-comment-p
           1   2%                - syntax-ppss
           1   2%                   parse-partial-sexp
           2   5%              - seed7-line-inside-a-block-cached
           2   5%               - seed7-line-inside-a-block
           1   2%                - seed7--safe-enclosing-block-bounds
           1   2%                   seed7--block-end-pos-for
           1   2%                - seed7-calc-indent
           1   2%                 - seed7-line-inside-parens-pair-column
           1   2%                  - seed7-line-inside-parens-pair
           1   2%                   - seed7-line-inside-syntax-parens-pair
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           1   2%              - seed7-current-line-start-inside-comment-p
           1   2%               - seed7-inside-comment-p
           1   2%                - syntax-ppss
           1   2%                   parse-partial-sexp
           1   2%              - seed7-line-after-short-func-end
           1   2%               - seed7-move-to-line
           1   2%                - seed7-to-previous-non-empty-line
           1   2%                 - seed7-inside-comment-p
           1   2%                  - syntax-ppss
           1   2%                     parse-partial-sexp
           1   2%              - seed7-line-is-defun-end
           1   2%               - seed7-beg-of-defun
           1   2%                - seed7-re-search-backward
           1   2%                   re-search-backward
           1   2%              - seed7-line-inside-set-definition-block
           1   2%               - seed7-re-search-backward
           1   2%                - run-with-timer
           1   2%                 - run-at-time
           1   2%                  - timer-set-time
           1   2%                     timer--time-setter
          18  45%   Automatic GC
