        1138  91% - ...
        1138  91%  - apply
        1138  91%   - call-interactively@ido-cr+-record-current-command
        1138  91%    - #<primitive-function call-interactively>
        1138  91%     - funcall-interactively
        1137  91%      - pel-profile-all
        1137  91%       - pel-profile-dir
        1137  91%        - pel-profile-indent
        1137  91%         - pel-profile-indentation-test-of
        1137  91%          - call-interactively
        1137  91%           - apply
        1137  91%            - call-interactively@ido-cr+-record-current-command
        1137  91%             - #<primitive-function call-interactively>
        1137  91%              - funcall-interactively
        1137  91%               - seed7-complete-statement-or-indent
        1137  91%                - seed7-indent-region
        1137  91%                 - seed7--indent-one-line
        1137  91%                  - seed7-calc-indent
         613  49%                   - seed7--indent-search-boundary
         613  49%                    - seed7--indent-search-boundary-uncached
         609  48%                     - syntax-ppss
         608  48%                        parse-partial-sexp
           1   0%                        syntax-propertize
         169  13%                   - seed7-line-inside-a-block-cached
         169  13%                    - seed7-line-inside-a-block
         110   8%                     - seed7--safe-enclosing-block-bounds
         110   8%                      - seed7--block-end-pos-for
         109   8%                       - seed7-to-block-forward
          92   7%                        - seed7-end-of-defun
          84   6%                         - seed7-top-block-name
          83   6%                          - seed7--to-top
          83   6%                           - seed7-re-search-backward
          70   5%                            - seed7-inside-comment-p
          70   5%                             - syntax-ppss
          69   5%                                parse-partial-sexp
           1   0%                              - syntax-propertize
           1   0%                                 seed7-mode-syntax-propertize
           8   0%                            - run-with-timer
           8   0%                             - run-at-time
           3   0%                                timer-relative-time
           3   0%                              - timer-activate
           3   0%                               - timer--activate
           3   0%                                  timer--time-less-p
           2   0%                              - timer-set-time
           2   0%                                 timer--time-setter
           3   0%                              re-search-backward
           1   0%                            - seed7-inside-string-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           1   0%                          - seed7--block-name
           1   0%                           - seed7-re-search-forward
           1   0%                            - seed7-inside-string-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           5   0%                         - seed7-re-search-backward
           5   0%                          - seed7-inside-comment-p
           5   0%                           - syntax-ppss
           5   0%                              parse-partial-sexp
           3   0%                         - seed7-re-search-forward
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           1   0%                          - seed7-inside-string-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
          13   1%                        - seed7-re-search-forward
           5   0%                         - seed7-inside-string-p
           5   0%                          - syntax-ppss
           5   0%                             parse-partial-sexp
           5   0%                         - seed7-inside-comment-p
           5   0%                          - syntax-ppss
           4   0%                             parse-partial-sexp
           1   0%                             make-closure
           2   0%                        - seed7--current-line-nth-word
           2   0%                         - thing-at-point
           2   0%                          - bounds-of-thing-at-point
           1   0%                           - #<byte-code-function 7C1>
           1   0%                            - forward-thing
           1   0%                               intern-soft
           1   0%                        - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             syntax-propertize
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                       - seed7--line-ends-a-statement-p
           1   0%                          looking-at
          33   2%                     - seed7-calc-indent
          22   1%                      - seed7-line-inside-parens-pair-column
          22   1%                       - seed7-line-inside-parens-pair
          22   1%                        - seed7-re-search-backward
          18   1%                         - seed7-inside-comment-p
          18   1%                          - syntax-ppss
          18   1%                             parse-partial-sexp
           4   0%                         - run-with-timer
           4   0%                          - run-at-time
           4   0%                           - timer-activate
           4   0%                            - timer--activate
           4   0%                               timer--time-less-p
           5   0%                      - seed7-line-is-defun-end
           2   0%                       - seed7-beg-of-defun
           2   0%                        - seed7-re-search-backward
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
           2   0%                       - seed7-end-of-defun
           2   0%                        - seed7-top-block-name
           2   0%                         - seed7--to-top
           2   0%                          - seed7-re-search-backward
           2   0%                           - seed7-inside-comment-p
           2   0%                            - syntax-ppss
           2   0%                               parse-partial-sexp
           1   0%                       - seed7-move-to-line
           1   0%                        - seed7-to-previous-non-empty-line
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           3   0%                      - seed7-line-inside-a-block-cached
           3   0%                       - seed7-line-inside-a-block
           3   0%                        - seed7--safe-enclosing-block-bounds
           3   0%                         - seed7--block-end-pos-for
           3   0%                          - seed7-to-block-forward
           3   0%                           - seed7-end-of-defun
           3   0%                            - seed7-top-block-name
           3   0%                             - seed7--to-top
           2   0%                              - seed7-re-search-backward
           2   0%                               - seed7-inside-comment-p
           2   0%                                - syntax-ppss
           2   0%                                   parse-partial-sexp
           1   0%                              - run-with-timer
           1   0%                               - run-at-time
           1   0%                                - timer-activate
           1   0%                                 - timer--activate
           1   0%                                    timer--time-less-p
           2   0%                      - seed7-line-inside-assign-statement-continuation
           2   0%                       - seed7-assign-op-pos
           2   0%                        - seed7-re-search-backward
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           1   0%                      - seed7-line-inside-array-definition-block
           1   0%                       - seed7-re-search-backward
           1   0%                          re-search-backward
          25   2%                     - seed7-re-search-backward
          17   1%                      - seed7-inside-comment-p
          17   1%                       - syntax-ppss
          17   1%                          parse-partial-sexp
           6   0%                      - run-with-timer
           6   0%                       - run-at-time
           3   0%                          timer-relative-time
           2   0%                        - timer-set-time
           2   0%                           timer--time-setter
           1   0%                        - timer-activate
           1   0%                         - timer--activate
           1   0%                            timer--time-less-p
           2   0%                        re-search-backward
         136  10%                   - seed7-comment-column
         136  10%                    - seed7-calc-indent
          79   6%                     - seed7--indent-search-boundary
          79   6%                      - seed7--indent-search-boundary-uncached
          78   6%                       - syntax-ppss
          78   6%                          parse-partial-sexp
          25   2%                     - seed7-line-inside-parens-pair-column
          25   2%                      - seed7-line-inside-parens-pair
          23   1%                       - seed7-re-search-backward
          22   1%                        - seed7-inside-comment-p
          22   1%                         - syntax-ppss
          22   1%                            parse-partial-sexp
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           2   0%                       - seed7-line-inside-syntax-parens-pair
           2   0%                        - syntax-ppss
           1   0%                           make-closure
           1   0%                           parse-partial-sexp
           9   0%                     - seed7-line-is-defun-end
           5   0%                      - seed7-end-of-defun
           4   0%                       - seed7-top-block-name
           4   0%                        - seed7--to-top
           4   0%                         - seed7-re-search-backward
           4   0%                          - seed7-inside-comment-p
           4   0%                           - syntax-ppss
           4   0%                              parse-partial-sexp
           1   0%                         seed7-re-search-forward
           3   0%                      - seed7-move-to-line
           3   0%                       - seed7-to-previous-non-empty-line
           3   0%                        - seed7-inside-comment-p
           3   0%                         - syntax-ppss
           3   0%                            parse-partial-sexp
           1   0%                      - seed7-beg-of-defun
           1   0%                       - seed7-re-search-backward
           1   0%                          re-search-backward
           8   0%                     - seed7-line-inside-a-block-cached
           8   0%                      - seed7-line-inside-a-block
           7   0%                       - seed7--safe-enclosing-block-bounds
           7   0%                        - seed7--block-end-pos-for
           7   0%                         - seed7-to-block-forward
           6   0%                          - seed7-end-of-defun
           5   0%                           - seed7-top-block-name
           5   0%                            - seed7--to-top
           4   0%                             - seed7-re-search-backward
           4   0%                              - seed7-inside-comment-p
           4   0%                               - syntax-ppss
           4   0%                                  parse-partial-sexp
           1   0%                           - seed7-re-search-backward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           1   0%                          - seed7-re-search-forward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                       - seed7-re-search-backward
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           5   0%                     - seed7-line-starts-with-open-paren-after-logic-operator
           5   0%                      - seed7-move-to-line
           5   0%                       - seed7-to-previous-non-empty-line
           4   0%                        - seed7-inside-comment-p
           3   0%                         - syntax-ppss
           3   0%                            parse-partial-sexp
           4   0%                     - seed7-line-after-func-return-logic-operator-column
           4   0%                      - seed7-move-to-line
           4   0%                       - seed7-to-previous-non-empty-line
           2   0%                        - seed7-inside-comment-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
           2   0%                     - seed7-line-at-endof-set-definition-block
           2   0%                      - seed7-move-to-line
           2   0%                       - seed7-to-previous-non-empty-line
           2   0%                        - seed7-inside-comment-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
           2   0%                     - seed7-line-at-endof-array-definition-block
           2   0%                      - seed7-move-to-line
           2   0%                       - seed7-to-previous-non-empty-line
           2   0%                        - seed7-inside-comment-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
           1   0%                     - seed7--current-line-nth-word
           1   0%                      - thing-at-point
           1   0%                       - bounds-of-thing-at-point
           1   0%                        - #<byte-code-function 78A>
           1   0%                         - forward-thing
           1   0%                            forward-word
           1   0%                     - seed7-line-after-short-func-end
           1   0%                      - seed7-move-to-line
           1   0%                       - seed7-to-previous-non-empty-line
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
         134  10%                   - seed7-line-is-defun-end
         100   8%                    - seed7-end-of-defun
          84   6%                     - seed7-top-block-name
          84   6%                      - seed7--to-top
          84   6%                       - seed7-re-search-backward
          71   5%                        - seed7-inside-comment-p
          71   5%                         - syntax-ppss
          71   5%                            parse-partial-sexp
          10   0%                        - run-with-timer
          10   0%                         - run-at-time
           6   0%                          - timer-activate
           6   0%                           - timer--activate
           6   0%                              timer--time-less-p
           2   0%                          - timer-set-time
           2   0%                             timer--time-setter
           2   0%                            timer-relative-time
           3   0%                          re-search-backward
           8   0%                     - seed7-re-search-backward
           8   0%                      - seed7-inside-comment-p
           8   0%                       - syntax-ppss
           8   0%                          parse-partial-sexp
           8   0%                     - seed7-re-search-forward
           7   0%                      - seed7-inside-comment-p
           7   0%                       - syntax-ppss
           7   0%                          parse-partial-sexp
           1   0%                      - seed7-inside-string-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
          20   1%                    - seed7-beg-of-defun
          16   1%                     - seed7-re-search-backward
          11   0%                      - seed7-inside-comment-p
          11   0%                       - syntax-ppss
          11   0%                          parse-partial-sexp
           3   0%                      - run-with-timer
           3   0%                       - run-at-time
           2   0%                        - timer-activate
           2   0%                         - timer--activate
           2   0%                            timer--time-less-p
           1   0%                          timer-relative-time
           1   0%                        re-search-backward
           3   0%                     - seed7-re-search-backward-closest
           3   0%                      - seed7-re-search-backward
           3   0%                         re-search-backward
           5   0%                    - seed7-move-to-line
           5   0%                     - seed7-to-previous-non-empty-line
           5   0%                      - seed7-inside-comment-p
           5   0%                       - syntax-ppss
           4   0%                          parse-partial-sexp
           1   0%                          syntax-table
           4   0%                    - seed7--safe-current-line-defun-start-indent
           4   0%                     - seed7-to-block-backward
           4   0%                      - seed7-re-search-backward
           3   0%                       - seed7-inside-comment-p
           3   0%                        - syntax-ppss
           3   0%                           parse-partial-sexp
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                           timer-relative-time
           3   0%                    - seed7-line-starts-with-any
           3   0%                       seed7-line-starts-with
