         397  90% - ...
         397  90%  - funcall-interactively
         397  90%   - pel-profile-all
         397  90%    - pel-profile-dir
         397  90%     - pel-profile-indent
         397  90%      - pel-profile-indentation-test-of
         397  90%       - call-interactively
         397  90%        - apply
         397  90%         - call-interactively@ido-cr+-record-current-command
         397  90%          - #<primitive-function call-interactively>
         397  90%           - funcall-interactively
         238  54%            - pel-profile-all
         238  54%             - pel-profile-dir
         238  54%              - pel-profile-indent
         238  54%               - pel-profile-indentation-test-of
         238  54%                - call-interactively
         238  54%                 - apply
         238  54%                  - call-interactively@ido-cr+-record-current-command
         238  54%                   - #<primitive-function call-interactively>
         238  54%                    - funcall-interactively
         238  54%                     - seed7-complete-statement-or-indent
         238  54%                      - seed7-indent-region
         238  54%                       - seed7--indent-one-line
         238  54%                        - seed7-calc-indent
         234  53%                         - seed7--indent-search-boundary
         234  53%                          - seed7--indent-search-boundary-uncached
         233  53%                           - syntax-ppss
         231  52%                              parse-partial-sexp
           1   0%                              #<byte-code-function D50>
           4   0%                         - seed7-line-inside-parens-pair-column
           4   0%                          - seed7-line-inside-parens-pair
           3   0%                           - seed7-re-search-backward
           2   0%                            - run-with-timer
           2   0%                             - run-at-time
           1   0%                                timer-relative-time
           1   0%                              - timer-activate
           1   0%                               - timer--activate
           1   0%                                  timer--time-less-p
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
         159  36%            - seed7-complete-statement-or-indent
         159  36%             - seed7-indent-region
         159  36%              - seed7--indent-one-line
         159  36%               - seed7-calc-indent
          66  15%                - seed7-line-inside-a-block-cached
          66  15%                 - seed7-line-inside-a-block
          39   8%                  - seed7-calc-indent
          26   5%                   - seed7-line-inside-parens-pair-column
          26   5%                    - seed7-line-inside-parens-pair
          25   5%                     - seed7-re-search-backward
          17   3%                      - seed7-inside-comment-p
          17   3%                       - syntax-ppss
          17   3%                          parse-partial-sexp
           8   1%                      - run-with-timer
           8   1%                       - run-at-time
           6   1%                        - timer-activate
           6   1%                         - timer--activate
           6   1%                            timer--time-less-p
           2   0%                        - timer-set-time
           2   0%                           timer--time-setter
           6   1%                   - seed7-line-inside-a-block-cached
           6   1%                    - seed7-line-inside-a-block
           6   1%                     - seed7--safe-enclosing-block-bounds
           6   1%                      - seed7--block-end-pos-for
           6   1%                       - seed7-to-block-forward
           6   1%                        - seed7-end-of-defun
           6   1%                         - seed7-top-block-name
           6   1%                          - seed7--to-top
           6   1%                           - seed7-re-search-backward
           4   0%                            - seed7-inside-comment-p
           4   0%                             - syntax-ppss
           4   0%                                parse-partial-sexp
           2   0%                            - run-with-timer
           2   0%                             - run-at-time
           2   0%                              - timer-activate
           2   0%                               - timer--activate
           2   0%                                  timer--time-less-p
           3   0%                   - seed7--indent-search-boundary
           3   0%                    - seed7--indent-search-boundary-uncached
           3   0%                     - syntax-ppss
           3   0%                        parse-partial-sexp
           2   0%                   - seed7-line-at-endof-array-definition-block
           1   0%                    - backward-sexp
           1   0%                     - forward-sexp
           1   0%                      - seed7--forward-sexp-function
           1   0%                       - syntax-ppss
