         570  85% - ...
         570  85%  - call-interactively
         570  85%   - apply
         570  85%    - call-interactively@ido-cr+-record-current-command
         570  85%     - #<primitive-function call-interactively>
         570  85%      - funcall-interactively
         569  85%       - pel-profile-all
         569  85%        - pel-profile-dir
         569  85%         - pel-profile-indent
         569  85%          - pel-profile-indentation-test-of
         569  85%           - call-interactively
         569  85%            - apply
         569  85%             - call-interactively@ido-cr+-record-current-command
         569  85%              - #<primitive-function call-interactively>
         569  85%               - funcall-interactively
         569  85%                - seed7-complete-statement-or-indent
         569  85%                 - seed7-indent-region
         569  85%                  - seed7--indent-one-line
         569  85%                   - seed7-calc-indent
         350  52%                    - seed7--indent-search-boundary
         349  52%                     - seed7--indent-search-boundary-uncached
         343  51%                      - syntax-ppss
         341  51%                         parse-partial-sexp
           1   0%                         set-syntax-table
           2   0%                        seed7-to-indent
          78  11%                    - seed7-line-inside-a-block-cached
          78  11%                     - seed7-line-inside-a-block
          58   8%                      - seed7--safe-enclosing-block-bounds
          58   8%                       - seed7--block-end-pos-for
          57   8%                        - seed7-to-block-forward
          42   6%                         - seed7-end-of-defun
          33   4%                          - seed7-top-block-name
          31   4%                           - seed7--to-top
          31   4%                            - seed7-re-search-backward
          25   3%                             - seed7-inside-comment-p
          25   3%                              - syntax-ppss
          24   3%                                 parse-partial-sexp
           1   0%                               - syntax-propertize
           1   0%                                  seed7-mode-syntax-propertize
           4   0%                             - run-with-timer
           4   0%                              - run-at-time
           2   0%                               - timer-activate
           2   0%                                - timer--activate
           2   0%                                   timer--time-less-p
           1   0%                                 timer-relative-time
           1   0%                               - timer-set-time
           1   0%                                  timer--time-setter
           2   0%                               re-search-backward
           2   0%                           - seed7--block-name
           2   0%                            - seed7-re-search-forward
           1   0%                             - seed7-inside-string-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           6   0%                          - seed7-re-search-backward
           6   0%                           - seed7-inside-comment-p
           6   0%                            - syntax-ppss
           6   0%                               parse-partial-sexp
           2   0%                          - seed7-re-search-forward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                             - syntax-propertize
           1   0%                                seed7-mode-syntax-propertize
           1   0%                            match-string
          11   1%                         - seed7-re-search-forward
           4   0%                          - seed7-inside-comment-p
           4   0%                           - syntax-ppss
           4   0%                              parse-partial-sexp
           4   0%                          - seed7-inside-string-p
           3   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           1   0%                              syntax-table
           1   0%                           - #<byte-code-function 994>
           1   0%                              set-match-data
           2   0%                         - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                          - seed7-inside-line-indent-before-comment-p
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              #<byte-code-function BE3>
           1   0%                         - seed7--current-line-nth-word
           1   0%                          - thing-at-point
           1   0%                           - bounds-of-thing-at-point
           1   0%                            - #<byte-code-function 0C1>
           1   0%                             - forward-thing
           1   0%                                format
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                        - seed7--line-ends-a-statement-p
           1   0%                           looking-at
          18   2%                      - seed7-re-search-backward
          15   2%                       - seed7-inside-comment-p
          15   2%                        - syntax-ppss
          15   2%                           parse-partial-sexp
           3   0%                       - run-with-timer
           3   0%                        - run-at-time
           2   0%                         - timer-activate
           2   0%                          - timer--activate
           2   0%                             timer--time-less-p
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
           2   0%                      - seed7-calc-indent
           1   0%                       - seed7-line-at-endof-set-definition-block
           1   0%                        - seed7-line-code-ends-with
           1   0%                         - seed7-re-search-backward
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                       - seed7-line-indent-step
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
          45   6%                    - seed7-position-of-end-of-statement
          45   6%                     - seed7-line-code-ends-with
          45   6%                      - seed7-re-search-backward
          24   3%                       - seed7-inside-string-p
          24   3%                        - syntax-ppss
          24   3%                           parse-partial-sexp
          20   3%                       - seed7-inside-comment-p
          20   3%                        - syntax-ppss
          20   3%                           parse-partial-sexp
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
          27   4%                    - seed7-comment-column
          23   3%                     - seed7-calc-indent
           5   0%                      - seed7-line-at-endof-set-definition-block
           5   0%                       - seed7-move-to-line
           5   0%                        - seed7-to-previous-non-empty-line
           4   0%                         - seed7-inside-comment-p
           4   0%                          - syntax-ppss
           4   0%                             parse-partial-sexp
           4   0%                      - seed7-line-inside-parens-pair-column
