     15,109,854  99% - ...
     15,109,854  99%  - #<primitive-function call-interactively>
     15,109,854  99%   - funcall-interactively
     15,109,854  99%    - smex
     15,109,854  99%     - smex-read-and-run
     15,109,854  99%      - execute-extended-command
     15,109,854  99%       - command-execute
     15,109,854  99%        - call-interactively
     15,109,854  99%         - apply
     15,109,854  99%          - call-interactively@ido-cr+-record-current-command
     15,109,854  99%           - #<primitive-function call-interactively>
     15,109,854  99%            - funcall-interactively
     15,109,854  99%             - pel-profile-all
     15,109,854  99%              - pel-profile-dir
     15,109,854  99%               - pel-profile-indent
     15,109,854  99%                - pel-profile-indentation-test-of
     13,545,954  89%                 - call-interactively
     13,545,954  89%                  - apply
     13,545,954  89%                   - call-interactively@ido-cr+-record-current-command
     13,545,954  89%                    - #<primitive-function call-interactively>
     13,545,954  89%                     - funcall-interactively
     13,545,938  89%                      - seed7-complete-statement-or-indent
     13,545,938  89%                       - seed7-indent-region
     13,545,938  89%                        - seed7--indent-one-line
     13,545,938  89%                         - seed7-calc-indent
      2,954,081  19%                          - seed7-line-is-defun-end
        747,439   4%                           - seed7-end-of-defun
        557,568   3%                            - seed7-top-block-name
        557,568   3%                             - seed7--to-top
        511,104   3%                              - seed7-re-search-backward
        511,104   3%                               - run-with-timer
        511,104   3%                                - run-at-time
        249,216   1%                                 - timer-activate
        249,216   1%                                  - timer--activate
        249,216   1%                                     timer--time-less-p
        160,512   1%                                   timer-relative-time
        101,376   0%                                 - timer-set-time
        101,376   0%                                    timer--time-setter
         46,464   0%                              - run-with-timer
         46,464   0%                               - run-at-time
         22,656   0%                                - timer-activate
         22,656   0%                                 - timer--activate
         22,656   0%                                    timer--time-less-p
         14,592   0%                                  timer-relative-time
          9,216   0%                                - timer-set-time
          9,216   0%                                   timer--time-setter
         68,807   0%                            - seed7-re-search-forward
         35,783   0%                             - seed7-inside-comment-p
         35,783   0%                              - syntax-ppss
         35,783   0%                               - syntax-propertize
         35,783   0%                                  seed7-mode-syntax-propertize
         46,464   0%                            - seed7-re-search-backward
         46,464   0%                             - run-with-timer
         46,464   0%                              - run-at-time
         22,656   0%                               - timer-activate
         22,656   0%                                - timer--activate
         22,656   0%                                   timer--time-less-p
         14,592   0%                                 timer-relative-time
          9,216   0%                               - timer-set-time
          9,216   0%                                  timer--time-setter
         32,736   0%                              match-string-no-properties
        743,796   4%                           - seed7-line-starts-with-any
        743,796   4%                              seed7-line-starts-with
        604,256   3%                             looking-back
        560,218   3%                           - seed7-beg-of-defun
        199,285   1%                            - seed7-re-search-backward
        152,944   1%                             - run-with-timer
        152,944   1%                              - run-at-time
         74,576   0%                               - timer-activate
         74,576   0%                                - timer--activate
         74,576   0%                                   timer--time-less-p
         48,032   0%                                 timer-relative-time
         30,336   0%                               - timer-set-time
         30,336   0%                                  timer--time-setter
         46,341   0%                               re-search-backward
        132,823   0%                            - seed7-re-search-backward-closest
