         220  85% - ...
         220  85%  - pel-profile-indentation-test-of
         220  85%   - call-interactively
         220  85%    - apply
         220  85%     - call-interactively@ido-cr+-record-current-command
         220  85%      - #<primitive-function call-interactively>
         220  85%       - funcall-interactively
         209  81%        - pel-profile-all
         209  81%         - pel-profile-dir
         209  81%          - pel-profile-indent
         209  81%           - pel-profile-indentation-test-of
         209  81%            - call-interactively
         209  81%             - apply
         209  81%              - call-interactively@ido-cr+-record-current-command
         209  81%               - #<primitive-function call-interactively>
         209  81%                - funcall-interactively
         209  81%                 - seed7-complete-statement-or-indent
         209  81%                  - seed7-indent-region
         209  81%                   - seed7--indent-one-line
         208  80%                    - seed7-calc-indent
          61  23%                     - seed7-comment-column
          56  21%                      - seed7-calc-indent
          22   8%                       - seed7--indent-search-boundary
          22   8%                        - seed7--indent-search-boundary-uncached
          21   8%                         - syntax-ppss
          21   8%                            parse-partial-sexp
           1   0%                           seed7-to-indent
           7   2%                       - seed7-line-is-defun-end
           4   1%                        - seed7-move-to-line
           4   1%                         - seed7-to-previous-non-empty-line
           4   1%                          - seed7-inside-comment-p
           4   1%                           - syntax-ppss
           4   1%                              parse-partial-sexp
           3   1%                        - seed7-end-of-defun
           3   1%                         - seed7-re-search-forward
           2   0%                          - seed7-inside-string-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           6   2%                       - seed7-line-inside-assign-statement-continuation
           6   2%                        - seed7-assign-op-pos
           6   2%                         - seed7-re-search-backward
           5   1%                          - seed7-inside-comment-p
           5   1%                           - syntax-ppss
           5   1%                              parse-partial-sexp
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           5   1%                       - seed7-line-inside-parens-pair-column
           5   1%                        - seed7-line-inside-parens-pair
           5   1%                         - seed7-re-search-backward
           5   1%                          - seed7-inside-comment-p
           5   1%                           - syntax-ppss
           5   1%                              parse-partial-sexp
           5   1%                       - seed7-line-at-endof-array-definition-block
           4   1%                        - seed7-move-to-line
           4   1%                         - seed7-to-previous-non-empty-line
           4   1%                          - seed7-inside-comment-p
           4   1%                           - syntax-ppss
           4   1%                              parse-partial-sexp
           1   0%                        - seed7-re-search-backward
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
           3   1%                       - seed7-line-starts-with-open-paren-after-logic-operator
           3   1%                        - seed7-move-to-line
           3   1%                         - seed7-to-previous-non-empty-line
           3   1%                          - seed7-inside-comment-p
           3   1%                           - syntax-ppss
           3   1%                              parse-partial-sexp
           2   0%                       - seed7-line-at-endof-set-definition-block
           2   0%                        - seed7-move-to-line
           2   0%                         - seed7-to-previous-non-empty-line
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           2   0%                       - seed7-line-inside-set-definition-block
           2   0%                        - seed7-re-search-backward
           2   0%                           re-search-backward
           2   0%                       - seed7-line-inside-array-definition-block
           2   0%                        - seed7-re-search-backward
           1   0%                           re-search-backward
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-activate
           1   0%                            - timer--activate
           1   0%                               timer--time-less-p
           1   0%                       - seed7-line-after-func-return-logic-operator-column
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                       - seed7-line-after-short-func-end
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           3   1%                      - seed7-inside-comment-p
           3   1%                       - syntax-ppss
           3   1%                          parse-partial-sexp
           1   0%                      - seed7-line-code-ends-with
           1   0%                       - seed7-move-to-line
           1   0%                        - seed7-to-previous-non-empty-line
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             make-closure
           1   0%                        seed7-line-starts-with
          50  19%                     - seed7-line-is-defun-end
          30  11%                      - seed7-end-of-defun
          17   6%                       - seed7-top-block-name
          17   6%                        - seed7--to-top
          16   6%                         - seed7-re-search-backward
          14   5%                          - seed7-inside-comment-p
          14   5%                           - syntax-ppss
          14   5%                              parse-partial-sexp
           2   0%                          - run-with-timer
           2   0%                           - run-at-time
           1   0%                              timer-relative-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-activate
           1   0%                            - timer--activate
           1   0%                               timer--time-less-p
          12   4%                       - seed7-re-search-forward
           6   2%                        - seed7-inside-comment-p
           6   2%                         - syntax-ppss
           4   1%                            parse-partial-sexp
           2   0%                          - syntax-propertize
           2   0%                             seed7-mode-syntax-propertize
           2   0%                        - seed7-inside-string-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
           1   0%                       - seed7-re-search-backward
           1   0%                          re-search-backward
          10   3%                      - seed7-beg-of-defun
           9   3%                       - seed7-re-search-backward
           8   3%                        - seed7-inside-comment-p
           8   3%                         - syntax-ppss
           8   3%                            parse-partial-sexp
           1   0%                          re-search-backward
           1   0%                       - seed7-re-search-backward-closest
           1   0%                        - seed7-re-search-backward
           1   0%                           re-search-backward
           9   3%                      - seed7-move-to-line
           9   3%                       - seed7-to-previous-non-empty-line
           8   3%                        - seed7-inside-comment-p
           8   3%                         - syntax-ppss
           8   3%                            parse-partial-sexp
           1   0%                      - seed7-line-starts-with-any
           1   0%                         seed7-line-starts-with
          43  16%                     - seed7--indent-search-boundary
          43  16%                      - seed7--indent-search-boundary-uncached
          41  15%                       - syntax-ppss
          40  15%                          parse-partial-sexp
           1   0%                          #<byte-code-function 54A>
          21   8%                     - seed7-line-inside-a-block-cached
          21   8%                      - seed7-line-inside-a-block
          12   4%                       - seed7--safe-enclosing-block-bounds
          12   4%                        - seed7--block-end-pos-for
          11   4%                         - seed7-to-block-forward
          11   4%                          - seed7-end-of-defun
          11   4%                           - seed7-top-block-name
          11   4%                            - seed7--to-top
          11   4%                             - seed7-re-search-backward
          10   3%                              - seed7-inside-comment-p
          10   3%                               - syntax-ppss
          10   3%                                  parse-partial-sexp
           1   0%                                re-search-backward
           1   0%                         - seed7-re-search-forward-closest
           1   0%                          - seed7-re-search-forward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               #<byte-code-function 0AD>
           9   3%                       - seed7-calc-indent
           4   1%                        - seed7-line-is-defun-end
           3   1%                         - seed7-end-of-defun
           3   1%                          - seed7-re-search-forward
           2   0%                           - seed7-inside-comment-p
           2   0%                            - syntax-ppss
           2   0%                               parse-partial-sexp
           1   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                         - seed7-move-to-line
           1   0%                          - seed7-to-previous-non-empty-line
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-line-inside-parens-pair-column
           1   0%                         - seed7-line-inside-parens-pair
           1   0%                          - seed7-re-search-backward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-line-inside-array-definition-block
           1   0%                         - seed7-re-search-backward
           1   0%                            re-search-backward
           1   0%                        - seed7-line-at-endof-array-definition-block
           1   0%                         - seed7-line-code-ends-with
           1   0%                          - seed7-re-search-backward
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                               timer-relative-time
           1   0%                        - seed7-line-inside-set-definition-block
           1   0%                         - seed7-re-search-backward
           1   0%                            re-search-backward
           1   0%                        - seed7-line-inside-assign-statement-continuation
           1   0%                         - seed7-assign-op-pos
           1   0%                          - seed7-re-search-backward
           1   0%                             re-search-backward
          15   5%                     - seed7--current-line-nth-word
          15   5%                      - thing-at-point
          15   5%                       - bounds-of-thing-at-point
          15   5%                        - #<byte-code-function 2B3>
          15   5%                         - forward-thing
          14   5%                          - forward-word
          14   5%                           - internal--syntax-propertize
          14   5%                            - syntax-propertize
