    124,353,210  99% - ...
    124,353,210  99%  - #<primitive-function call-interactively>
    124,353,210  99%   - funcall-interactively
    124,353,210  99%    - smex
    124,353,210  99%     - smex-read-and-run
    124,353,210  99%      - execute-extended-command
    124,353,210  99%       - command-execute
    124,353,210  99%        - call-interactively
    124,353,210  99%         - apply
    124,353,210  99%          - call-interactively@ido-cr+-record-current-command
    124,353,210  99%           - #<primitive-function call-interactively>
    124,353,210  99%            - funcall-interactively
    124,353,210  99%             - pel-profile-all
    124,353,210  99%              - pel-profile-dir
    124,353,210  99%               - pel-profile-indent
    124,353,210  99%                - pel-profile-indentation-test-of
    122,772,414  98%                 - call-interactively
    122,772,414  98%                  - apply
    122,772,414  98%                   - call-interactively@ido-cr+-record-current-command
    122,772,414  98%                    - #<primitive-function call-interactively>
    122,772,414  98%                     - funcall-interactively
    122,772,398  98%                      - seed7-complete-statement-or-indent
    122,772,398  98%                       - seed7-indent-region
    122,772,398  98%                        - seed7--indent-one-line
    122,772,398  98%                         - seed7-calc-indent
     57,128,463  45%                          - seed7-line-is-defun-end
     27,074,034  21%                           - seed7-beg-of-defun
     17,105,783  13%                            - seed7-re-search-backward
     15,608,339  12%                             - run-with-timer
     15,608,339  12%                              - run-at-time
      7,610,867   6%                               - timer-activate
      7,610,867   6%                                - timer--activate
      7,610,867   6%                                   timer--time-less-p
      4,901,664   3%                                 timer-relative-time
      3,095,808   2%                               - timer-set-time
      3,095,808   2%                                  timer--time-setter
      1,493,694   1%                               re-search-backward
          2,022   0%                             - seed7-inside-comment-p
          2,022   0%                              - syntax-ppss
          2,022   0%                                 #<byte-code-function 34A>
          1,728   0%                               make-closure
      3,124,832   2%                            - seed7-top-block-name
      1,595,009   1%                             - seed7--to-top
      1,081,969   0%                              - seed7-re-search-backward
        568,945   0%                                 re-search-backward
        513,024   0%                               - run-with-timer
        513,024   0%                                - run-at-time
        250,160   0%                                 - timer-activate
        250,160   0%                                  - timer--activate
        250,160   0%                                     timer--time-less-p
        161,104   0%                                   timer-relative-time
        101,760   0%                                 - timer-set-time
