     77,828,220  99% - ...
     77,828,220  99%  - #<primitive-function call-interactively>
     77,828,220  99%   - funcall-interactively
     77,828,220  99%    - smex
     77,828,220  99%     - smex-read-and-run
     77,828,220  99%      - execute-extended-command
     77,828,220  99%       - command-execute
     77,828,220  99%        - call-interactively
     77,828,220  99%         - apply
     77,828,220  99%          - call-interactively@ido-cr+-record-current-command
     77,828,220  99%           - #<primitive-function call-interactively>
     77,828,220  99%            - funcall-interactively
     77,828,220  99%             - pel-profile-all
     77,828,220  99%              - pel-profile-dir
     77,828,220  99%               - pel-profile-indent
     77,828,220  99%                - pel-profile-indentation-test-of
     76,258,688  97%                 - call-interactively
     76,258,688  97%                  - apply
     76,258,688  97%                   - call-interactively@ido-cr+-record-current-command
     76,258,688  97%                    - #<primitive-function call-interactively>
     76,258,688  97%                     - funcall-interactively
     76,258,672  97%                      - seed7-complete-statement-or-indent
     76,258,672  97%                       - seed7-indent-region
     76,258,672  97%                        - seed7--indent-one-line
     76,258,672  97%                         - seed7-calc-indent
     30,866,920  39%                          - seed7-line-is-defun-end
     18,061,316  23%                           - seed7-end-of-defun
     16,183,253  20%                            - seed7-top-block-name
     16,150,517  20%                             - seed7--to-top
     15,726,533  20%                              - seed7-re-search-backward
     15,710,608  20%                               - run-with-timer
     15,710,608  20%                                - run-at-time
      7,660,560   9%                                 - timer-activate
      7,660,560   9%                                  - timer--activate
      7,660,560   9%                                     timer--time-less-p
      4,933,888   6%                                   timer-relative-time
      3,116,160   3%                                 - timer-set-time
      3,116,160   3%                                    timer--time-setter
         15,925   0%                               - seed7-inside-comment-p
         15,925   0%                                - syntax-ppss
         15,925   0%                                 - syntax-propertize
         15,925   0%                                    seed7-mode-syntax-propertize
        423,984   0%                              - run-with-timer
        423,984   0%                               - run-at-time
        206,736   0%                                - timer-activate
        206,736   0%                                 - timer--activate
        206,736   0%                                    timer--time-less-p
        133,152   0%                                  timer-relative-time
         84,096   0%                                - timer-set-time
         84,096   0%                                   timer--time-setter
         32,736   0%                             - seed7--block-name
         16,368   0%                                match-string
        501,350   0%                            - seed7-re-search-forward
