     74,405,896  99% - ...
     74,405,896  99%  - #<primitive-function call-interactively>
     74,405,896  99%   - funcall-interactively
     74,405,896  99%    - smex
     74,405,896  99%     - smex-read-and-run
     74,405,896  99%      - execute-extended-command
     74,405,896  99%       - command-execute
     74,405,896  99%        - call-interactively
     74,405,896  99%         - apply
     74,405,896  99%          - call-interactively@ido-cr+-record-current-command
     74,405,896  99%           - #<primitive-function call-interactively>
     74,405,896  99%            - funcall-interactively
     74,405,896  99%             - pel-profile-all
     74,405,896  99%              - pel-profile-dir
     74,405,896  99%               - pel-profile-indent
     74,405,896  99%                - pel-profile-indentation-test-of
     72,836,364  97%                 - call-interactively
     72,836,364  97%                  - apply
     72,836,364  97%                   - call-interactively@ido-cr+-record-current-command
     72,836,364  97%                    - #<primitive-function call-interactively>
     72,836,364  97%                     - funcall-interactively
     72,836,348  97%                      - seed7-complete-statement-or-indent
     72,836,348  97%                       - seed7-indent-region
     72,836,348  97%                        - seed7--indent-one-line
     72,836,348  97%                         - seed7-calc-indent
     18,997,420  25%                          - seed7-line-is-defun-end
      5,771,512   7%                           - seed7-end-of-defun
      4,545,504   6%                            - seed7-top-block-name
      4,530,208   6%                             - seed7--to-top
      4,321,120   5%                              - seed7-re-search-backward
      4,321,120   5%                               - run-with-timer
      4,321,120   5%                                - run-at-time
      2,107,008   2%                                 - timer-activate
      2,107,008   2%                                  - timer--activate
      2,107,008   2%                                     timer--time-less-p
      1,357,024   1%                                   timer-relative-time
        857,088   1%                                 - timer-set-time
        857,088   1%                                    timer--time-setter
        209,088   0%                              - run-with-timer
        209,088   0%                               - run-at-time
        101,952   0%                                - timer-activate
        101,952   0%                                 - timer--activate
        101,952   0%                                    timer--time-less-p
         65,664   0%                                  timer-relative-time
         41,472   0%                                - timer-set-time
         41,472   0%                                   timer--time-setter
         15,296   0%                             - seed7--block-name
          7,112   0%                                match-string
        341,066   0%                            - seed7-re-search-forward
        192,970   0%                             - seed7-inside-comment-p
        192,970   0%                              - syntax-ppss
        192,970   0%                               - syntax-propertize
        192,970   0%                                  seed7-mode-syntax-propertize
        253,704   0%                              match-string-no-properties
        209,088   0%                            - seed7-re-search-backward
        209,088   0%                             - run-with-timer
        209,088   0%                              - run-at-time
        101,952   0%                               - timer-activate
        101,952   0%                                - timer--activate
        101,952   0%                                   timer--time-less-p
         65,664   0%                                 timer-relative-time
         41,472   0%                               - timer-set-time
         41,472   0%                                  timer--time-setter
        195,744   0%                              match-string
      5,413,905   7%                           - seed7-beg-of-defun
      3,727,888   5%                            - seed7-re-search-backward
      3,531,264   4%                             - run-with-timer
      3,531,264   4%                              - run-at-time
      1,721,856   2%                               - timer-activate
      1,721,856   2%                                - timer--activate
      1,721,856   2%                                   timer--time-less-p
      1,108,992   1%                                 timer-relative-time
        700,416   0%                               - timer-set-time
        700,416   0%                                  timer--time-setter
        196,624   0%                               re-search-backward
        470,587   0%                            - seed7-re-search-backward-closest
        470,587   0%                             - seed7-re-search-backward
        273,115   0%                                re-search-backward
        197,472   0%                              - run-with-timer
        197,472   0%                               - run-at-time
         96,288   0%                                - timer-activate
         96,288   0%                                 - timer--activate
         96,288   0%                                    timer--time-less-p
         62,016   0%                                  timer-relative-time
         39,168   0%                                - timer-set-time
         39,168   0%                                   timer--time-setter
        424,722   0%                            - seed7-top-block-name
        216,199   0%                             - seed7--to-top
        146,503   0%                              - seed7-re-search-backward
         76,807   0%                                 re-search-backward
         69,696   0%                               - run-with-timer
         69,696   0%                                - run-at-time
         33,984   0%                                 - timer-activate
         33,984   0%                                  - timer--activate
         33,984   0%                                     timer--time-less-p
         21,888   0%                                   timer-relative-time
         13,824   0%                                 - timer-set-time
         13,824   0%                                    timer--time-setter
         69,696   0%                              - run-with-timer
         69,696   0%                               - run-at-time
         33,984   0%                                - timer-activate
         33,984   0%                                 - timer--activate
         33,984   0%                                    timer--time-less-p
         21,888   0%                                  timer-relative-time
         13,824   0%                                - timer-set-time
         13,824   0%                                   timer--time-setter
        208,523   0%                             - seed7--block-name
        206,491   0%                                seed7-re-search-forward
          2,032   0%                                match-string
        220,968   0%                              match-string-no-properties
         93,752   0%                              match-string
         16,368   0%                            - user-error
         16,368   0%                               format-message
      3,455,524   4%                             looking-back
      2,915,431   3%                           - seed7-line-starts-with-any
      2,915,431   3%                              seed7-line-starts-with
      1,097,720   1%                           - seed7-move-to-line
      1,097,720   1%                              seed7-to-previous-non-empty-line
        172,808   0%                           - seed7--safe-current-line-defun-start-indent
        172,808   0%                            - seed7-to-block-backward
