     10,481,348  99% - ...
     10,481,348  99%  - #<primitive-function call-interactively>
     10,481,348  99%   - funcall-interactively
     10,481,348  99%    - smex
     10,481,348  99%     - smex-read-and-run
     10,481,348  99%      - execute-extended-command
     10,481,348  99%       - command-execute
     10,481,348  99%        - call-interactively
     10,481,348  99%         - apply
     10,481,348  99%          - call-interactively@ido-cr+-record-current-command
     10,481,348  99%           - #<primitive-function call-interactively>
     10,481,348  99%            - funcall-interactively
     10,481,348  99%             - pel-profile-all
     10,481,348  99%              - pel-profile-dir
     10,481,348  99%               - pel-profile-indent
     10,481,348  99%                - pel-profile-indentation-test-of
      8,917,448  84%                 - call-interactively
      8,917,448  84%                  - apply
      8,917,448  84%                   - call-interactively@ido-cr+-record-current-command
      8,917,448  84%                    - #<primitive-function call-interactively>
      8,917,448  84%                     - funcall-interactively
      8,917,432  84%                      - seed7-complete-statement-or-indent
      8,917,432  84%                       - seed7-indent-region
      8,917,432  84%                        - seed7--indent-one-line
      8,917,432  84%                         - seed7-calc-indent
      5,247,086  49%                          - seed7-line-is-defun-end
      3,360,352  32%                           - seed7-end-of-defun
      2,765,770  26%                            - seed7-top-block-name
      2,757,586  26%                             - seed7--to-top
      2,618,194  24%                              - seed7-re-search-backward
      2,462,576  23%                               - run-with-timer
      2,462,576  23%                                - run-at-time
      1,200,768  11%                                 - timer-activate
      1,200,768  11%                                  - timer--activate
      1,200,768  11%                                     timer--time-less-p
        773,360   7%                                   timer-relative-time
        488,448   4%                                 - timer-set-time
        488,448   4%                                    timer--time-setter
        155,618   1%                               - seed7-inside-string-p
        155,618   1%                                - syntax-ppss
        155,618   1%                                   #<byte-code-function 7D7>
        139,392   1%                              - run-with-timer
        139,392   1%                               - run-at-time
         67,968   0%                                - timer-activate
         67,968   0%                                 - timer--activate
         67,968   0%                                    timer--time-less-p
         43,776   0%                                  timer-relative-time
         27,648   0%                                - timer-set-time
         27,648   0%                                   timer--time-setter
          8,184   0%                               seed7--block-name
        190,080   1%                            - seed7-re-search-forward
         91,392   0%                             - seed7-inside-comment-p
         91,392   0%                              - syntax-ppss
         91,392   0%                               - syntax-propertize
         91,392   0%                                  seed7-mode-syntax-propertize
        139,392   1%                            - seed7-re-search-backward
        139,392   1%                             - run-with-timer
        139,392   1%                              - run-at-time
         67,968   0%                               - timer-activate
         67,968   0%                                - timer--activate
         67,968   0%                                   timer--time-less-p
         43,776   0%                                 timer-relative-time
         27,648   0%                               - timer-set-time
         27,648   0%                                  timer--time-setter
         46,000   0%                              match-string
         40,920   0%                              match-string-no-properties
        993,846   9%                           - seed7-beg-of-defun
        245,970   2%                            - seed7-top-block-name
        143,050   1%                             - seed7--to-top
         96,586   0%                              - seed7-re-search-backward
         50,122   0%                                 re-search-backward
         46,464   0%                               - run-with-timer
         46,464   0%                                - run-at-time
         22,656   0%                                 - timer-activate
         22,656   0%                                  - timer--activate
         22,656   0%                                     timer--time-less-p
         14,592   0%                                   timer-relative-time
          9,216   0%                                 - timer-set-time
          9,216   0%                                    timer--time-setter
         46,464   0%                              - run-with-timer
         46,464   0%                               - run-at-time
         22,656   0%                                - timer-activate
         22,656   0%                                 - timer--activate
         22,656   0%                                    timer--time-less-p
         14,592   0%                                  timer-relative-time
          9,216   0%                                - timer-set-time
          9,216   0%                                   timer--time-setter
        102,920   0%                             - seed7--block-name
        102,920   0%                                seed7-re-search-forward
        240,417   2%                            - seed7-re-search-backward-closest
        240,417   2%                             - seed7-re-search-backward
        143,617   1%                                re-search-backward
         96,800   0%                              - run-with-timer
         96,800   0%                               - run-at-time
         47,200   0%                                - timer-activate
         47,200   0%                                 - timer--activate
         47,200   0%                                    timer--time-less-p
         30,400   0%                                  timer-relative-time
         19,200   0%                                - timer-set-time
         19,200   0%                                   timer--time-setter
        192,534   1%                            - seed7-re-search-backward
         97,670   0%                               re-search-backward
         94,864   0%                             - run-with-timer
         94,864   0%                              - run-at-time
         46,256   0%                               - timer-activate
         46,256   0%                                - timer--activate
         46,256   0%                                   timer--time-less-p
         29,792   0%                                 timer-relative-time
         18,816   0%                               - timer-set-time
         18,816   0%                                  timer--time-setter
          1,016   0%                              match-string
        647,176   6%                           - seed7-line-starts-with-any
        647,176   6%                              seed7-line-starts-with
        161,784   1%                             looking-back
         50,144   0%                           - seed7--current-line-nth-word
         50,144   0%                            - thing-at-point
         49,128   0%                             - bounds-of-thing-at-point
         32,760   0%                                re-search-forward
          8,184   0%                              - #<byte-code-function 92A>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
          8,184   0%                              - #<byte-code-function 258>
