     20,367,883  99% - ...
     20,367,883  99%  - #<primitive-function call-interactively>
     20,367,883  99%   - funcall-interactively
     20,367,883  99%    - smex
     20,367,883  99%     - smex-read-and-run
     20,367,883  99%      - execute-extended-command
     20,367,883  99%       - command-execute
     20,367,883  99%        - call-interactively
     20,367,883  99%         - apply
     20,367,883  99%          - call-interactively@ido-cr+-record-current-command
     20,367,883  99%           - #<primitive-function call-interactively>
     20,367,883  99%            - funcall-interactively
     20,367,883  99%             - pel-profile-all
     20,367,883  99%              - pel-profile-dir
     20,367,883  99%               - pel-profile-indent
     20,367,883  99%                - pel-profile-indentation-test-of
     18,798,351  92%                 - call-interactively
     18,798,351  92%                  - apply
     18,798,351  92%                   - call-interactively@ido-cr+-record-current-command
     18,798,351  92%                    - #<primitive-function call-interactively>
     18,798,351  92%                     - funcall-interactively
     18,798,335  92%                      - seed7-complete-statement-or-indent
     18,798,335  92%                       - seed7-indent-region
     18,798,335  92%                        - seed7--indent-one-line
     18,798,335  92%                         - seed7-calc-indent
      6,052,233  29%                          - seed7-line-is-defun-end
      2,429,046  11%                           - seed7-end-of-defun
      1,900,080   9%                            - seed7-top-block-name
      1,883,712   9%                             - seed7--to-top
      1,755,936   8%                              - seed7-re-search-backward
      1,755,936   8%                               - run-with-timer
      1,755,936   8%                                - run-at-time
        856,208   4%                                 - timer-activate
        856,208   4%                                  - timer--activate
        856,208   4%                                     timer--time-less-p
        551,440   2%                                   timer-relative-time
        348,288   1%                                 - timer-set-time
        348,288   1%                                    timer--time-setter
        127,776   0%                              - run-with-timer
        127,776   0%                               - run-at-time
         62,304   0%                                - timer-activate
         62,304   0%                                 - timer--activate
         62,304   0%                                    timer--time-less-p
         40,128   0%                                  timer-relative-time
         25,344   0%                                - timer-set-time
         25,344   0%                                   timer--time-setter
         16,368   0%                             - seed7--block-name
         16,368   0%                                match-string
        184,721   0%                            - seed7-re-search-forward
         77,857   0%                             - seed7-inside-comment-p
         77,857   0%                              - syntax-ppss
         77,857   0%                               - syntax-propertize
         77,857   0%                                  seed7-mode-syntax-propertize
        127,776   0%                            - seed7-re-search-backward
        127,776   0%                             - run-with-timer
        127,776   0%                              - run-at-time
         62,304   0%                               - timer-activate
         62,304   0%                                - timer--activate
         62,304   0%                                   timer--time-less-p
         40,128   0%                                 timer-relative-time
         25,344   0%                               - timer-set-time
         25,344   0%                                  timer--time-setter
         73,656   0%                              match-string-no-properties
         24,552   0%                              match-string
      1,534,582   7%                           - seed7-beg-of-defun
        696,463   3%                            - seed7-re-search-backward
        596,288   2%                             - run-with-timer
        596,288   2%                              - run-at-time
        290,752   1%                               - timer-activate
        290,752   1%                                - timer--activate
