        8541  95% - ...
        8541  95%  - pel-profile-dir
        8541  95%   - pel-profile-indent
        8541  95%    - pel-profile-indentation-test-of
        8541  95%     - call-interactively
        8541  95%      - apply
        8541  95%       - call-interactively@ido-cr+-record-current-command
        8541  95%        - #<primitive-function call-interactively>
        8541  95%         - funcall-interactively
        8483  94%          - pel-profile-all
        8483  94%           - pel-profile-dir
        8483  94%            - pel-profile-indent
        8483  94%             - pel-profile-indentation-test-of
        8483  94%              - call-interactively
        8483  94%               - apply
        8483  94%                - call-interactively@ido-cr+-record-current-command
        8483  94%                 - #<primitive-function call-interactively>
        8483  94%                  - funcall-interactively
        8483  94%                   - seed7-complete-statement-or-indent
        8483  94%                    - seed7-indent-region
        8482  94%                     - seed7--indent-one-line
        8482  94%                      - seed7-calc-indent
        7506  83%                       - seed7--indent-search-boundary
        7506  83%                        - seed7--indent-search-boundary-uncached
        7414  82%                         - syntax-ppss
        7400  82%                            parse-partial-sexp
           3   0%                            syntax-ppss-toplevel-pos
           2   0%                            syntax-propertize
           1   0%                            #<byte-code-function 53F>
           1   0%                            syntax-ppss--update-stats
          12   0%                           seed7-to-indent
         403   4%                       - seed7-line-inside-a-block-cached
         403   4%                        - seed7-line-inside-a-block
         319   3%                         - seed7--safe-enclosing-block-bounds
         319   3%                          - seed7--block-end-pos-for
         319   3%                           - seed7-to-block-forward
         280   3%                            - seed7-end-of-defun
         274   3%                             - seed7-top-block-name
         273   3%                              - seed7--to-top
         271   3%                               - seed7-re-search-backward
         225   2%                                - seed7-inside-comment-p
         225   2%                                 - syntax-ppss
         218   2%                                    parse-partial-sexp
           7   0%                                  - syntax-propertize
           6   0%                                     seed7-mode-syntax-propertize
          38   0%                                - run-with-timer
          38   0%                                 - run-at-time
          25   0%                                  - timer-activate
          25   0%                                   - timer--activate
          25   0%                                      timer--time-less-p
           9   0%                                  - timer-set-time
           9   0%                                     timer--time-setter
           4   0%                                    timer-relative-time
           4   0%                                  re-search-backward
           2   0%                                - seed7-inside-string-p
           1   0%                                   #<byte-code-function E5D>
           1   0%                              - seed7--block-name
           1   0%                                 seed7-re-search-forward
           3   0%                             - seed7-re-search-forward
           1   0%                              - seed7-inside-comment-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
           3   0%                             - seed7-re-search-backward
           2   0%                              - seed7-inside-comment-p
           2   0%                               - syntax-ppss
           2   0%                                  parse-partial-sexp
           1   0%                              - run-with-timer
           1   0%                               - run-at-time
           1   0%                                - timer-activate
           1   0%                                 - timer--activate
           1   0%                                    timer--time-less-p
          28   0%                            - seed7-re-search-forward
          12   0%                             - seed7-inside-string-p
          12   0%                              - syntax-ppss
          12   0%                                 parse-partial-sexp
          11   0%                             - seed7-inside-comment-p
          11   0%                              - syntax-ppss
          10   0%                                 parse-partial-sexp
           1   0%                                 syntax-ppss--update-stats
           8   0%                            - seed7--current-line-nth-word
           7   0%                             - thing-at-point
           6   0%                              - bounds-of-thing-at-point
           3   0%                               - #<byte-code-function C0D>
           3   0%                                - forward-thing
           3   0%                                   forward-word
           3   0%                               - #<byte-code-function C3C>
           3   0%                                - forward-thing
           1   0%                                   forward-word
           1   0%                                   intern-soft
