     89,213,131  99% - ...
     89,213,131  99%  - #<primitive-function call-interactively>
     89,213,131  99%   - funcall-interactively
     89,213,131  99%    - smex
     89,213,131  99%     - smex-read-and-run
     89,213,131  99%      - execute-extended-command
     89,213,131  99%       - command-execute
     89,213,131  99%        - call-interactively
     89,213,131  99%         - apply
     89,213,131  99%          - call-interactively@ido-cr+-record-current-command
     89,213,131  99%           - #<primitive-function call-interactively>
     89,213,131  99%            - funcall-interactively
     89,213,131  99%             - pel-profile-all
     89,213,131  99%              - pel-profile-dir
     89,213,131  99%               - pel-profile-indent
     89,213,131  99%                - pel-profile-indentation-test-of
     87,643,599  97%                 - call-interactively
     87,643,599  97%                  - apply
     87,643,599  97%                   - call-interactively@ido-cr+-record-current-command
     87,643,599  97%                    - #<primitive-function call-interactively>
     87,643,599  97%                     - funcall-interactively
     87,643,583  97%                      - seed7-complete-statement-or-indent
     87,643,583  97%                       - seed7-indent-region
     87,643,583  97%                        - seed7--indent-one-line
     87,643,583  97%                         - seed7-calc-indent
     56,703,520  63%                          - seed7-line-inside-parens-pair-column
     56,703,520  63%                           - seed7-line-inside-parens-pair
     55,908,896  62%                            - seed7-re-search-backward
     55,692,832  62%                             - run-with-timer
     55,692,832  62%                              - run-at-time
     27,156,048  30%                               - timer-activate
     27,156,048  30%                                - timer--activate
     27,156,048  30%                                   timer--time-less-p
     17,490,256  19%                                 timer-relative-time
     11,046,528  12%                               - timer-set-time
     11,046,528  12%                                  timer--time-setter
        216,064   0%                               re-search-backward
        397,568   0%                            - seed7-line-inside-syntax-parens-pair
        397,568   0%                             - forward-sexp
        397,568   0%                                seed7--forward-sexp-function
        397,056   0%                            - forward-sexp
        397,056   0%                               seed7--forward-sexp-function
      5,771,049   6%                          - seed7-line-inside-a-block-cached
      5,771,049   6%                           - seed7-line-inside-a-block
      4,369,818   4%                            - seed7--safe-enclosing-block-bounds
      4,369,818   4%                             - seed7--block-end-pos-for
      4,365,722   4%                              - seed7-to-block-forward
      3,494,948   3%                               - seed7-re-search-forward
      2,546,856   2%                                - seed7-inside-comment-p
      2,546,856   2%                                 - syntax-ppss
      2,546,856   2%                                  - syntax-propertize
      2,546,856   2%                                     seed7-mode-syntax-propertize
        414,712   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        335,496   0%                               - seed7--current-line-nth-word
        335,496   0%                                - thing-at-point
        328,384   0%                                 - bounds-of-thing-at-point
        319,176   0%                                  - #<byte-code-function A16>
        319,176   0%                                   - forward-thing
        319,176   0%                                      format
          8,184   0%                                  - #<byte-code-function C27>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
          1,024   0%                                    re-search-forward
        120,566   0%                               - seed7-end-of-defun
         58,593   0%                                - seed7-re-search-forward
         51,913   0%                                 - seed7-inside-comment-p
         51,913   0%                                  - syntax-ppss
         51,913   0%                                   - syntax-propertize
         51,913   0%                                      seed7-mode-syntax-propertize
         39,485   0%                                - seed7-top-block-name
         23,344   0%                                 - seed7--to-top
         15,600   0%                                  - seed7-re-search-backward
         13,552   0%                                   - run-with-timer
         13,552   0%                                    - run-at-time
          6,608   0%                                     - timer-activate
          6,608   0%                                      - timer--activate
          6,608   0%                                         timer--time-less-p
          4,256   0%                                       timer-relative-time
          2,688   0%                                     - timer-set-time
          2,688   0%                                        timer--time-setter
          2,048   0%                                     re-search-backward
          7,744   0%                                  - run-with-timer
          7,744   0%                                   - run-at-time
          3,776   0%                                    - timer-activate
          3,776   0%                                     - timer--activate
          3,776   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
         16,141   0%                                 - seed7--block-name
