        1593  92% - ...
        1593  92%  - pel-profile-dir
        1593  92%   - pel-profile-indent
        1593  92%    - pel-profile-indentation-test-of
        1593  92%     - call-interactively
        1593  92%      - apply
        1593  92%       - call-interactively@ido-cr+-record-current-command
        1593  92%        - #<primitive-function call-interactively>
        1593  92%         - funcall-interactively
        1528  88%          - pel-profile-all
        1528  88%           - pel-profile-dir
        1528  88%            - pel-profile-indent
        1528  88%             - pel-profile-indentation-test-of
        1528  88%              - call-interactively
        1528  88%               - apply
        1528  88%                - call-interactively@ido-cr+-record-current-command
        1528  88%                 - #<primitive-function call-interactively>
        1528  88%                  - funcall-interactively
        1528  88%                   - seed7-complete-statement-or-indent
        1528  88%                    - seed7-indent-region
        1528  88%                     - seed7--indent-one-line
        1528  88%                      - seed7-calc-indent
        1059  61%                       - seed7--indent-search-boundary
        1059  61%                        - seed7--indent-search-boundary-uncached
        1050  60%                         - syntax-ppss
        1043  60%                            parse-partial-sexp
           3   0%                            make-closure
           2   0%                            syntax-ppss-toplevel-pos
           1   0%                            syntax-ppss--update-stats
         223  12%                       - seed7-line-is-defun-end
         152   8%                        - seed7-end-of-defun
         113   6%                         - seed7-top-block-name
         111   6%                          - seed7--to-top
         109   6%                           - seed7-re-search-backward
          82   4%                            - seed7-inside-comment-p
          82   4%                             - syntax-ppss
          82   4%                                parse-partial-sexp
          23   1%                            - run-with-timer
          23   1%                             - run-at-time
          15   0%                              - timer-activate
          15   0%                               - timer--activate
          15   0%                                  timer--time-less-p
           7   0%                                timer-relative-time
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
           4   0%                              re-search-backward
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                             - timer-activate
           1   0%                              - timer--activate
           1   0%                                 timer--time-less-p
           2   0%                          - seed7--block-name
           2   0%                           - seed7-re-search-forward
           2   0%                            - seed7-inside-string-p
           2   0%                             - syntax-ppss
           2   0%                                parse-partial-sexp
          35   2%                         - seed7-re-search-forward
          10   0%                          - seed7-inside-comment-p
          10   0%                           - syntax-ppss
          10   0%                              parse-partial-sexp
           6   0%                          - seed7-inside-string-p
           6   0%                           - syntax-ppss
           6   0%                              parse-partial-sexp
           2   0%                         - seed7-re-search-backward
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
          65   3%                        - seed7-beg-of-defun
          43   2%                         - seed7-re-search-backward
          36   2%                          - seed7-inside-comment-p
          36   2%                           - syntax-ppss
          36   2%                              parse-partial-sexp
           6   0%                          - run-with-timer
           6   0%                           - run-at-time
           4   0%                            - timer-activate
           4   0%                             - timer--activate
           4   0%                                timer--time-less-p
           2   0%                            - timer-set-time
           2   0%                               timer--time-setter
           1   0%                            re-search-backward
          18   1%                         - seed7-re-search-backward-closest
          18   1%                          - seed7-re-search-backward
          17   0%                             re-search-backward
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                               timer-relative-time
           2   0%                         - seed7-top-block-name
           1   0%                          - seed7--block-name
           1   0%                             seed7-re-search-forward
           1   0%                          - seed7--to-top
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           4   0%                        - seed7--safe-current-line-defun-start-indent
           4   0%                         - seed7-to-block-backward
           3   0%                          - seed7-re-search-backward
           2   0%                           - seed7-inside-comment-p
           2   0%                            - syntax-ppss
           2   0%                               parse-partial-sexp
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                             - timer-activate
           1   0%                              - timer--activate
           1   0%                                 timer--time-less-p
           1   0%                          - seed7--current-line-nth-word
           1   0%                           - thing-at-point
           1   0%                            - bounds-of-thing-at-point
           1   0%                             - #<byte-code-function A27>
           1   0%                              - forward-thing
           1   0%                                 forward-word
           1   0%                        - seed7-line-starts-with-any
           1   0%                           seed7-line-starts-with
           1   0%                          looking-back
         216  12%                       - seed7-line-inside-a-block-cached
         216  12%                        - seed7-line-inside-a-block
         195  11%                         - seed7--safe-enclosing-block-bounds
         195  11%                          - seed7--block-end-pos-for
         195  11%                           - seed7-to-block-forward
         192  11%                            - seed7-end-of-defun
         181  10%                             - seed7-top-block-name
         178  10%                              - seed7--to-top
         175  10%                               - seed7-re-search-backward
         152   8%                                - seed7-inside-comment-p
         152   8%                                 - syntax-ppss
         151   8%                                    parse-partial-sexp
           1   0%                                  - syntax-propertize
