         556  87% - ...
         556  87%  - pel-profile-indent
         556  87%   - pel-profile-indentation-test-of
         556  87%    - call-interactively
         556  87%     - apply
         556  87%      - call-interactively@ido-cr+-record-current-command
         556  87%       - #<primitive-function call-interactively>
         556  87%        - funcall-interactively
         531  83%         - pel-profile-all
         531  83%          - pel-profile-dir
         531  83%           - pel-profile-indent
         531  83%            - pel-profile-indentation-test-of
         531  83%             - call-interactively
         531  83%              - apply
         531  83%               - call-interactively@ido-cr+-record-current-command
         531  83%                - #<primitive-function call-interactively>
         531  83%                 - funcall-interactively
         531  83%                  - seed7-complete-statement-or-indent
         531  83%                   - seed7-indent-region
         530  83%                    - seed7--indent-one-line
         530  83%                     - seed7-calc-indent
         317  49%                      - seed7--indent-search-boundary
         317  49%                       - seed7--indent-search-boundary-uncached
         311  48%                        - syntax-ppss
         310  48%                           parse-partial-sexp
          72  11%                      - seed7-line-inside-a-block-cached
          72  11%                       - seed7-line-inside-a-block
          38   5%                        - seed7--safe-enclosing-block-bounds
          38   5%                         - seed7--block-end-pos-for
          37   5%                          - seed7-to-block-forward
          30   4%                           - seed7-end-of-defun
          23   3%                            - seed7-top-block-name
          23   3%                             - seed7--to-top
          23   3%                              - seed7-re-search-backward
          16   2%                               - seed7-inside-comment-p
          16   2%                                - syntax-ppss
          16   2%                                   parse-partial-sexp
           5   0%                               - run-with-timer
           5   0%                                - run-at-time
           3   0%                                   timer-relative-time
           1   0%                                 - timer-activate
           1   0%                                  - timer--activate
           1   0%                                     timer--time-less-p
           1   0%                                 - timer-set-time
           1   0%                                    timer--time-setter
           2   0%                                 re-search-backward
           4   0%                            - seed7-re-search-forward
           1   0%                             - seed7-inside-comment-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           1   0%                             - internal--syntax-propertize
           1   0%                              - syntax-propertize
           1   0%                                 seed7-mode-syntax-propertize
           2   0%                            - seed7-re-search-backward
           1   0%                             - seed7-inside-comment-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           1   0%                             - run-with-timer
           1   0%                              - run-at-time
           1   0%                               - timer-activate
           1   0%                                - timer--activate
           1   0%                                   timer--time-less-p
           1   0%                              match-string
           5   0%                           - seed7-re-search-forward
           3   0%                            - seed7-inside-comment-p
           3   0%                             - syntax-ppss
           3   0%                                parse-partial-sexp
           1   0%                            - seed7-inside-string-p
           1   0%                             - syntax-ppss
           1   0%                                make-closure
           2   0%                           - seed7-inside-line-indent-before-comment-p
           2   0%                            - seed7-inside-comment-p
           2   0%                             - syntax-ppss
           2   0%                                parse-partial-sexp
           1   0%                            seed7--line-ends-a-statement-p
          22   3%                        - seed7-calc-indent
          11   1%                         - seed7-line-inside-parens-pair-column
          11   1%                          - seed7-line-inside-parens-pair
          11   1%                           - seed7-re-search-backward
           7   1%                            - seed7-inside-comment-p
           7   1%                             - syntax-ppss
           7   1%                                parse-partial-sexp
           4   0%                            - run-with-timer
           4   0%                             - run-at-time
           3   0%                              - timer-activate
           3   0%                               - timer--activate
           3   0%                                  timer--time-less-p
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
           4   0%                         - seed7-line-is-defun-end
           3   0%                          - seed7-end-of-defun
           2   0%                           - seed7-top-block-name
           2   0%                            - seed7--to-top
           2   0%                             - seed7-re-search-backward
           2   0%                              - seed7-inside-comment-p
           2   0%                               - syntax-ppss
           2   0%                                  parse-partial-sexp
           1   0%                           - seed7-re-search-backward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           1   0%                          - seed7-beg-of-defun
           1   0%                           - seed7-re-search-backward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           4   0%                         - seed7-line-inside-a-block-cached
           4   0%                          - seed7-line-inside-a-block
           3   0%                           - seed7--safe-enclosing-block-bounds
           3   0%                            - seed7--block-end-pos-for
           3   0%                             - seed7-to-block-forward
           3   0%                              - seed7-end-of-defun
           3   0%                               - seed7-top-block-name
           3   0%                                - seed7--to-top
           3   0%                                 - seed7-re-search-backward
           3   0%                                  - seed7-inside-comment-p
           3   0%                                   - syntax-ppss
           3   0%                                      parse-partial-sexp
           1   0%                           - seed7-re-search-backward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           1   0%                         - seed7--indent-search-boundary
           1   0%                          - seed7--indent-search-boundary-uncached
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                         - seed7-current-line-start-inside-comment-p
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                         - seed7-line-at-endof-array-definition-block
           1   0%                          - seed7-move-to-line
           1   0%                           - seed7-to-previous-non-empty-line
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
          12   1%                        - seed7-re-search-backward
           8   1%                         - seed7-inside-comment-p
           8   1%                          - syntax-ppss
           8   1%                             parse-partial-sexp
           2   0%                         - seed7-inside-string-p
           2   0%                          - syntax-ppss
           1   0%                             make-closure
           1   0%                             parse-partial-sexp
           1   0%                           re-search-backward
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-activate
           1   0%                            - timer--activate
           1   0%                               timer--time-less-p
          68  10%                      - seed7-comment-column
          65  10%                       - seed7-calc-indent
          26   4%                        - seed7--indent-search-boundary
          26   4%                         - seed7--indent-search-boundary-uncached
          25   3%                          - syntax-ppss
          24   3%                             parse-partial-sexp
          16   2%                        - seed7-line-inside-parens-pair-column
          16   2%                         - seed7-line-inside-parens-pair
          16   2%                          - seed7-re-search-backward
          11   1%                           - seed7-inside-comment-p
          11   1%                            - syntax-ppss
          11   1%                               parse-partial-sexp
           4   0%                           - run-with-timer
           4   0%                            - run-at-time
           2   0%                               timer-relative-time
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           1   0%                             - timer-activate
           1   0%                              - timer--activate
           1   0%                                 timer--time-less-p
           1   0%                             re-search-backward
           6   0%                        - seed7-line-at-endof-array-definition-block
           6   0%                         - seed7-move-to-line
           6   0%                          - seed7-to-previous-non-empty-line
           6   0%                           - seed7-inside-comment-p
           6   0%                            - syntax-ppss
           6   0%                               parse-partial-sexp
           6   0%                        - seed7-line-inside-a-block-cached
           6   0%                         - seed7-line-inside-a-block
           4   0%                          - seed7--safe-enclosing-block-bounds
           4   0%                           - seed7--block-end-pos-for
           4   0%                            - seed7-to-block-forward
           3   0%                             - seed7-end-of-defun
           3   0%                              - seed7-top-block-name
           3   0%                               - seed7--to-top
           3   0%                                - seed7-re-search-backward
           3   0%                                 - seed7-inside-comment-p
           3   0%                                  - syntax-ppss
           3   0%                                     parse-partial-sexp
           1   0%                             - seed7-re-search-forward
           1   0%                              - seed7-inside-string-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
           1   0%                            match-string
           1   0%                          - seed7-re-search-backward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           4   0%                        - seed7-line-is-defun-end
           2   0%                         - seed7-end-of-defun
           2   0%                          - seed7-top-block-name
           2   0%                           - seed7--to-top
           2   0%                            - seed7-re-search-backward
           1   0%                               re-search-backward
           1   0%                             - seed7-inside-comment-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           1   0%                         - seed7-move-to-line
           1   0%                          - seed7-to-previous-non-empty-line
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                         - seed7-beg-of-defun
           1   0%                          - seed7-re-search-backward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           2   0%                        - seed7-line-starts-with-open-paren-after-logic-operator
           2   0%                         - seed7-move-to-line
           2   0%                          - seed7-to-previous-non-empty-line
           2   0%                           - seed7-inside-comment-p
           2   0%                            - syntax-ppss
           2   0%                               parse-partial-sexp
           1   0%                        - seed7-line-after-short-func-end
           1   0%                         - seed7-move-to-line
           1   0%                          - seed7-to-previous-non-empty-line
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-line-at-endof-set-definition-block
           1   0%                         - seed7-move-to-line
           1   0%                          - seed7-to-previous-non-empty-line
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-line-inside-assign-statement-continuation
           1   0%                         - seed7-assign-op-pos
           1   0%                          - seed7-re-search-backward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-line-inside-set-definition-block
           1   0%                         - seed7-re-search-backward
           1   0%                            re-search-backward
           1   0%                        - seed7-line-after-func-return-logic-operator-column
