       14858  95% - ...
       14858  95%  - call-interactively
       14858  95%   - apply
       14858  95%    - call-interactively@ido-cr+-record-current-command
       14858  95%     - #<primitive-function call-interactively>
       14858  95%      - funcall-interactively
       14848  95%       - pel-profile-all
       14848  95%        - pel-profile-dir
       14848  95%         - pel-profile-indent
       14848  95%          - pel-profile-indentation-test-of
       14848  95%           - call-interactively
       14848  95%            - apply
       14848  95%             - call-interactively@ido-cr+-record-current-command
       14848  95%              - #<primitive-function call-interactively>
       14848  95%               - funcall-interactively
       14848  95%                - seed7-complete-statement-or-indent
       14848  95%                 - seed7-indent-region
       14848  95%                  - seed7--indent-one-line
       14847  95%                   - seed7-calc-indent
       13158  84%                    - seed7--indent-search-boundary
       13157  84%                     - seed7--indent-search-boundary-uncached
       13026  83%                      - syntax-ppss
       12980  83%                         parse-partial-sexp
           7   0%                       - #<byte-code-function 303>
           1   0%                          set-syntax-table
           5   0%                         syntax-ppss--update-stats
           4   0%                         syntax-ppss-toplevel-pos
           3   0%                         syntax-propertize
           3   0%                         make-closure
           2   0%                         syntax-table
           2   0%                         set-syntax-table
           1   0%                         syntax-ppss--data
          23   0%                        seed7-to-indent
         503   3%                    - seed7-line-is-defun-end
         247   1%                     - seed7-end-of-defun
         128   0%                      - seed7-top-block-name
         126   0%                       - seed7--to-top
         123   0%                        - seed7-re-search-backward
          72   0%                         - seed7-inside-comment-p
          72   0%                          - syntax-ppss
          72   0%                             parse-partial-sexp
          48   0%                         - run-with-timer
          48   0%                          - run-at-time
          31   0%                           - timer-activate
          31   0%                            - timer--activate
          31   0%                               timer--time-less-p
          17   0%                           - timer-set-time
          17   0%                              timer--time-setter
           3   0%                           re-search-backward
           3   0%                        - run-with-timer
           3   0%                         - run-at-time
           2   0%                          - timer-activate
           2   0%                           - timer--activate
           2   0%                              timer--time-less-p
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           2   0%                       - seed7--block-name
           2   0%                        - seed7-re-search-forward
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
         114   0%                      - seed7-re-search-forward
          56   0%                       - seed7-inside-comment-p
          56   0%                        - syntax-ppss
          49   0%                           parse-partial-sexp
           6   0%                         - syntax-propertize
           6   0%                            seed7-mode-syntax-propertize
           1   0%                           set-syntax-table
          21   0%                       - seed7-inside-string-p
          21   0%                        - syntax-ppss
          21   0%                           parse-partial-sexp
           3   0%                      - seed7-re-search-backward
           1   0%                       - seed7-inside-comment-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
           1   0%                       - #<byte-code-function 428>
           1   0%                          cancel-timer
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
         229   1%                     - seed7-beg-of-defun
         158   1%                      - seed7-re-search-backward
         123   0%                       - seed7-inside-comment-p
         123   0%                        - syntax-ppss
         123   0%                           parse-partial-sexp
          22   0%                       - run-with-timer
          22   0%                        - run-at-time
          15   0%                         - timer-activate
          15   0%                          - timer--activate
          15   0%                             timer--time-less-p
           6   0%                         - timer-set-time
           6   0%                            timer--time-setter
           1   0%                           timer-relative-time
          12   0%                         re-search-backward
          66   0%                      - seed7-re-search-backward-closest
          66   0%                       - seed7-re-search-backward
          62   0%                          re-search-backward
           4   0%                        - run-with-timer
           4   0%                         - run-at-time
           2   0%                            timer-relative-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           3   0%                      - seed7-top-block-name
           3   0%                       - seed7--to-top
           3   0%                        - seed7-re-search-backward
           2   0%                         - seed7-inside-comment-p
           2   0%                          - syntax-ppss
           2   0%                             parse-partial-sexp
           1   0%                           re-search-backward
          13   0%                     - seed7-move-to-line
          13   0%                      - seed7-to-previous-non-empty-line
          13   0%                       - seed7-inside-comment-p
          13   0%                        - syntax-ppss
          13   0%                           parse-partial-sexp
           6   0%                     - seed7--safe-current-line-defun-start-indent
           6   0%                      - seed7-to-block-backward
           6   0%                       - seed7-re-search-backward
           5   0%                        - seed7-inside-comment-p
           5   0%                         - syntax-ppss
           5   0%                            parse-partial-sexp
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           4   0%                     - seed7--current-line-nth-word
           4   0%                      - thing-at-point
           4   0%                       - bounds-of-thing-at-point
           2   0%                        - #<byte-code-function 550>
           2   0%                         - forward-thing
           1   0%                            format
           1   0%                          re-search-forward
           1   0%                        - #<byte-code-function 930>
           1   0%                         - forward-thing
           1   0%                            forward-word
           2   0%                       looking-back
           1   0%                     - seed7-line-starts-with-any
           1   0%                        seed7-line-starts-with
           1   0%                       line-end-position
         362   2%                    - seed7-line-inside-a-block-cached
         362   2%                     - seed7-line-inside-a-block
         245   1%                      - seed7--safe-enclosing-block-bounds
         244   1%                       - seed7--block-end-pos-for
         243   1%                        - seed7-to-block-forward
         193   1%                         - seed7-end-of-defun
         131   0%                          - seed7-top-block-name
         130   0%                           - seed7--to-top
         130   0%                            - seed7-re-search-backward
          92   0%                             - seed7-inside-comment-p
          92   0%                              - syntax-ppss
          92   0%                                 parse-partial-sexp
          33   0%                             - run-with-timer
          33   0%                              - run-at-time
          21   0%                               - timer-activate
          21   0%                                - timer--activate
          21   0%                                   timer--time-less-p
          11   0%                               - timer-set-time
          11   0%                                  timer--time-setter
           1   0%                                 timer-relative-time
           5   0%                               re-search-backward
           1   0%                           - seed7--block-name
           1   0%                            - seed7-re-search-forward
           1   0%                             - seed7-inside-string-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
          57   0%                          - seed7-re-search-forward
          22   0%                           - seed7-inside-comment-p
          22   0%                            - syntax-ppss
          11   0%                             - syntax-propertize
          11   0%                                seed7-mode-syntax-propertize
          11   0%                               parse-partial-sexp
           4   0%                           - internal--syntax-propertize
           4   0%                            - syntax-propertize
           4   0%                               seed7-mode-syntax-propertize
           2   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           5   0%                          - seed7-re-search-backward
           2   0%                             re-search-backward
           2   0%                           - seed7-inside-comment-p
           2   0%                            - syntax-ppss
           1   0%                               syntax-table
           1   0%                               parse-partial-sexp
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                             - timer-activate
           1   0%                              - timer--activate
           1   0%                                 timer--time-less-p
          40   0%                         - seed7-re-search-forward
