        2072  90% - ...
        2072  90%  - pel-profile-dir
        2072  90%   - pel-profile-indent
        2072  90%    - pel-profile-indentation-test-of
        2072  90%     - call-interactively
        2072  90%      - apply
        2072  90%       - call-interactively@ido-cr+-record-current-command
        2072  90%        - #<primitive-function call-interactively>
        2072  90%         - funcall-interactively
        1849  80%          - pel-profile-all
        1849  80%           - pel-profile-dir
        1849  80%            - pel-profile-indent
        1849  80%             - pel-profile-indentation-test-of
        1849  80%              - call-interactively
        1849  80%               - apply
        1849  80%                - call-interactively@ido-cr+-record-current-command
        1849  80%                 - #<primitive-function call-interactively>
        1849  80%                  - funcall-interactively
        1849  80%                   - seed7-complete-statement-or-indent
        1849  80%                    - seed7-indent-region
        1849  80%                     - seed7--indent-one-line
        1847  80%                      - seed7-calc-indent
        1175  51%                       - seed7--indent-search-boundary
        1175  51%                        - seed7--indent-search-boundary-uncached
        1158  50%                         - syntax-ppss
        1150  50%                            parse-partial-sexp
           2   0%                            make-closure
           1   0%                            syntax-ppss-toplevel-pos
           1   0%                            syntax-propertize
           1   0%                          - #<byte-code-function 1FF>
           1   0%                             set-syntax-table
           2   0%                           seed7-to-indent
         452  19%                       - seed7-line-is-defun-end
         415  18%                        - seed7-end-of-defun
         348  15%                         - seed7-top-block-name
         347  15%                          - seed7--to-top
         342  14%                           - seed7-re-search-backward
         270  11%                            - seed7-inside-comment-p
         270  11%                             - syntax-ppss
         267  11%                                parse-partial-sexp
           1   0%                                #<byte-code-function 0EC>
           1   0%                                set-syntax-table
          63   2%                            - run-with-timer
          63   2%                             - run-at-time
          39   1%                              - timer-activate
          39   1%                               - timer--activate
          39   1%                                  timer--time-less-p
          17   0%                              - timer-set-time
          17   0%                                 timer--time-setter
           7   0%                                timer-relative-time
           8   0%                              re-search-backward
           1   0%                            - seed7-inside-string-p
           1   0%                             - #<byte-code-function B9F>
           1   0%                                set-match-data
           3   0%                           - run-with-timer
           3   0%                            - run-at-time
           2   0%                             - timer-activate
           2   0%                              - timer--activate
           2   0%                                 timer--time-less-p
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           1   0%                             seed7-to-indent
           1   0%                          - seed7--block-name
           1   0%                             seed7-re-search-forward
          61   2%                         - seed7-re-search-forward
          31   1%                          - seed7-inside-comment-p
          29   1%                           - syntax-ppss
          21   0%                              parse-partial-sexp
           8   0%                            - syntax-propertize
           5   0%                             - seed7-mode-syntax-propertize
           1   0%                                #<byte-code-function 29C>
           1   0%                             - #<byte-code-function 26C>
           1   0%                              - syntax-propertize-wholelines
           1   0%                                 syntax--lbp
          18   0%                          - seed7-inside-string-p
          18   0%                           - syntax-ppss
          17   0%                              parse-partial-sexp
           1   0%                              #<byte-code-function 3C4>
           3   0%                         - seed7-re-search-backward
           3   0%                          - seed7-inside-comment-p
           3   0%                           - syntax-ppss
           3   0%                              parse-partial-sexp
           1   0%                           match-string
          32   1%                        - seed7-beg-of-defun
          22   0%                         - seed7-re-search-backward
          11   0%                          - seed7-inside-comment-p
          11   0%                           - syntax-ppss
          11   0%                              parse-partial-sexp
           6   0%                          - run-with-timer
           6   0%                           - run-at-time
           4   0%                            - timer-activate
           4   0%                             - timer--activate
           4   0%                                timer--time-less-p
           2   0%                            - timer-set-time
           2   0%                               timer--time-setter
           5   0%                            re-search-backward
           8   0%                         - seed7-re-search-backward-closest
           8   0%                          - seed7-re-search-backward
           5   0%                             re-search-backward
           3   0%                           - run-with-timer
           3   0%                            - run-at-time
           2   0%                               timer-relative-time
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           2   0%                         - seed7-top-block-name
           2   0%                          - seed7--to-top
           1   0%                           - seed7-re-search-backward
           1   0%                            - run-with-timer
           1   0%                             - run-at-time
           1   0%                              - timer-activate
           1   0%                               - timer--activate
           1   0%                                  timer--time-less-p
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                             - timer-activate
           1   0%                              - timer--activate
           1   0%                                 timer--time-less-p
           3   0%                        - seed7-move-to-line
           3   0%                         - seed7-to-previous-non-empty-line
