         290  84% - ...
         290  84%  - apply
         290  84%   - call-interactively@ido-cr+-record-current-command
         290  84%    - #<primitive-function call-interactively>
         290  84%     - funcall-interactively
         289  84%      - pel-profile-all
         289  84%       - pel-profile-dir
         289  84%        - pel-profile-indent
         289  84%         - pel-profile-indentation-test-of
         289  84%          - call-interactively
         289  84%           - apply
         289  84%            - call-interactively@ido-cr+-record-current-command
         289  84%             - #<primitive-function call-interactively>
         289  84%              - funcall-interactively
         289  84%               - seed7-complete-statement-or-indent
         289  84%                - seed7-indent-region
         289  84%                 - seed7--indent-one-line
         289  84%                  - seed7-calc-indent
         181  52%                   - seed7--indent-search-boundary
         181  52%                    - seed7--indent-search-boundary-uncached
         177  51%                     - syntax-ppss
         173  50%                        parse-partial-sexp
           1   0%                        syntax-propertize
           1   0%                        syntax-ppss-toplevel-pos
           2   0%                       seed7-to-indent
          28   8%                   - seed7-line-inside-a-block-cached
          28   8%                    - seed7-line-inside-a-block
          14   4%                     - seed7--safe-enclosing-block-bounds
          14   4%                      - seed7--block-end-pos-for
          14   4%                       - seed7-to-block-forward
          10   2%                        - seed7-end-of-defun
           8   2%                         - seed7-top-block-name
           8   2%                          - seed7--to-top
           8   2%                           - seed7-re-search-backward
           7   2%                            - seed7-inside-comment-p
           7   2%                             - syntax-ppss
           6   1%                                parse-partial-sexp
           1   0%                              - syntax-propertize
           1   0%                                 seed7-mode-syntax-propertize
           1   0%                            - run-with-timer
           1   0%                             - run-at-time
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
           2   0%                         - seed7-re-search-backward
           2   0%                          - seed7-inside-comment-p
           2   0%                           - syntax-ppss
           2   0%                              parse-partial-sexp
           3   0%                        - seed7--current-line-nth-word
           2   0%                         - thing-at-point
           2   0%                          - bounds-of-thing-at-point
           1   0%                           - #<byte-code-function 32A>
           1   0%                            - forward-thing
           1   0%                               format
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            #<byte-code-function FDE>
          12   3%                     - seed7-re-search-backward
           6   1%                      - run-with-timer
           6   1%                       - run-at-time
           3   0%                        - timer-set-time
           3   0%                           timer--time-setter
           2   0%                        - timer-activate
           2   0%                         - timer--activate
           2   0%                            timer--time-less-p
           1   0%                          timer-relative-time
           5   1%                      - seed7-inside-comment-p
           5   1%                       - syntax-ppss
           5   1%                          parse-partial-sexp
           1   0%                       seed7-move-to-line
          16   4%                   - seed7-comment-column
          14   4%                    - seed7-calc-indent
           2   0%                     - seed7-line-at-endof-set-definition-block
           2   0%                      - seed7-move-to-line
           2   0%                       - seed7-to-previous-non-empty-line
           2   0%                        - seed7-inside-comment-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
           2   0%                     - seed7-line-inside-set-definition-block
           2   0%                      - seed7-re-search-backward
           2   0%                         re-search-backward
           2   0%                     - seed7-line-is-defun-end
           1   0%                      - seed7-move-to-line
           1   0%                       - seed7-to-previous-non-empty-line
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                      - seed7--safe-current-line-defun-start-indent
           1   0%                       - seed7-to-block-backward
           1   0%                        - seed7-re-search-backward
           1   0%                           re-search-backward
           1   0%                     - seed7-line-starts-with-open-paren-after-logic-operator
           1   0%                      - seed7-move-to-line
           1   0%                       - seed7-to-previous-non-empty-line
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                     - seed7-line-inside-parens-pair-column
           1   0%                      - seed7-line-inside-parens-pair
           1   0%                       - seed7-re-search-backward
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                     - seed7-line-after-short-func-end
           1   0%                      - seed7-move-to-line
           1   0%                       - seed7-to-previous-non-empty-line
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                     - seed7-line-after-func-return-logic-operator-column
           1   0%                      - seed7-move-to-line
           1   0%                       - seed7-to-previous-non-empty-line
           1   0%                        - seed7-inside-comment-p
           1   0%                           syntax-ppss
           1   0%                     - seed7-line-inside-func-return-statement
           1   0%                      - seed7-re-search-backward
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
           1   0%                     - seed7-line-inside-assign-statement-continuation
           1   0%                      - seed7-assign-op-pos
           1   0%                       - seed7-re-search-backward
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                     - seed7-line-inside-a-block-cached
           1   0%                      - seed7-line-inside-a-block
           1   0%                       - seed7--safe-enclosing-block-bounds
           1   0%                        - seed7--block-end-pos-for
           1   0%                         - seed7-to-block-forward
           1   0%                          - seed7-re-search-forward
           1   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                     - seed7-line-inside-argument-list-section
           1   0%                      - seed7-re-search-backward
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-activate
