     14,417,361  99% - ...
     14,417,361  99%  - #<primitive-function call-interactively>
     14,417,361  99%   - funcall-interactively
     14,417,361  99%    - smex
     14,417,361  99%     - smex-read-and-run
     14,417,361  99%      - execute-extended-command
     14,417,361  99%       - command-execute
     14,417,361  99%        - call-interactively
     14,417,361  99%         - apply
     14,417,361  99%          - call-interactively@ido-cr+-record-current-command
     14,417,361  99%           - #<primitive-function call-interactively>
     14,417,361  99%            - funcall-interactively
     14,417,361  99%             - pel-profile-all
     14,417,361  99%              - pel-profile-dir
     14,417,361  99%               - pel-profile-indent
     14,417,361  99%                - pel-profile-indentation-test-of
     12,853,461  88%                 - call-interactively
     12,853,461  88%                  - apply
     12,853,461  88%                   - call-interactively@ido-cr+-record-current-command
     12,853,461  88%                    - #<primitive-function call-interactively>
     12,853,461  88%                     - funcall-interactively
     12,853,445  88%                      - seed7-complete-statement-or-indent
     12,853,445  88%                       - seed7-indent-region
     12,853,445  88%                        - seed7--indent-one-line
     12,853,445  88%                         - seed7-calc-indent
      5,600,334  38%                          - seed7-line-is-defun-end
      2,727,948  18%                           - seed7-end-of-defun
      2,248,136  15%                            - seed7-top-block-name
      2,239,952  15%                             - seed7--to-top
      2,112,176  14%                              - seed7-re-search-backward
      2,112,176  14%                               - run-with-timer
      2,112,176  14%                                - run-at-time
      1,029,904   7%                                 - timer-activate
      1,029,904   7%                                  - timer--activate
      1,029,904   7%                                     timer--time-less-p
        663,328   4%                                   timer-relative-time
        418,944   2%                                 - timer-set-time
        418,944   2%                                    timer--time-setter
        127,776   0%                              - run-with-timer
        127,776   0%                               - run-at-time
         62,304   0%                                - timer-activate
         62,304   0%                                 - timer--activate
         62,304   0%                                    timer--time-less-p
         40,128   0%                                  timer-relative-time
         25,344   0%                                - timer-set-time
         25,344   0%                                   timer--time-setter
          8,184   0%                               seed7--block-name
        182,759   1%                            - seed7-re-search-forward
         92,391   0%                             - seed7-inside-comment-p
         92,391   0%                              - syntax-ppss
         92,391   0%                               - syntax-propertize
         92,391   0%                                  seed7-mode-syntax-propertize
        127,776   0%                            - seed7-re-search-backward
        127,776   0%                             - run-with-timer
        127,776   0%                              - run-at-time
         62,304   0%                               - timer-activate
         62,304   0%                                - timer--activate
         62,304   0%                                   timer--time-less-p
         40,128   0%                                 timer-relative-time
         25,344   0%                               - timer-set-time
         25,344   0%                                  timer--time-setter
         40,920   0%                              match-string
          8,184   0%                              match-string-no-properties
      1,303,091   9%                           - seed7-beg-of-defun
        455,158   3%                            - seed7-re-search-backward
        340,736   2%                             - run-with-timer
        340,736   2%                              - run-at-time
        166,144   1%                               - timer-activate
        166,144   1%                                - timer--activate
        166,144   1%                                   timer--time-less-p
        107,008   0%                                 timer-relative-time
         67,584   0%                               - timer-set-time
         67,584   0%                                  timer--time-setter
        114,422   0%                               re-search-backward
        273,872   1%                            - seed7-re-search-backward-closest
        273,872   1%                             - seed7-re-search-backward
        161,584   1%                                re-search-backward
        112,288   0%                              - run-with-timer
        112,288   0%                               - run-at-time
         54,752   0%                                - timer-activate
         54,752   0%                                 - timer--activate
         54,752   0%                                    timer--time-less-p
         35,264   0%                                  timer-relative-time
         22,272   0%                                - timer-set-time
         22,272   0%                                   timer--time-setter
        235,297   1%                            - seed7-top-block-name
        131,392   0%                             - seed7--to-top
         88,800   0%                              - seed7-re-search-backward
         46,208   0%                                 re-search-backward
         42,592   0%                               - run-with-timer
         42,592   0%                                - run-at-time
         20,768   0%                                 - timer-activate
         20,768   0%                                  - timer--activate
         20,768   0%                                     timer--time-less-p
         13,376   0%                                   timer-relative-time
          8,448   0%                                 - timer-set-time
          8,448   0%                                    timer--time-setter
         42,592   0%                              - run-with-timer
         42,592   0%                               - run-at-time
         20,768   0%                                - timer-activate
         20,768   0%                                 - timer--activate
         20,768   0%                                    timer--time-less-p
         13,376   0%                                  timer-relative-time
          8,448   0%                                - timer-set-time
          8,448   0%                                   timer--time-setter
        103,905   0%                             - seed7--block-name
        103,905   0%                                seed7-re-search-forward
          8,184   0%                              match-string
        872,367   6%                           - seed7-line-starts-with-any
        872,367   6%                              seed7-line-starts-with
        439,264   3%                             looking-back
        125,952   0%                           - seed7-move-to-line
        125,952   0%                              seed7-to-previous-non-empty-line
         68,264   0%                           - seed7--safe-current-line-defun-start-indent
         68,264   0%                            - seed7-to-block-backward
         43,712   0%                             - seed7-re-search-backward
         22,416   0%                                re-search-backward
         21,296   0%                              - run-with-timer
         21,296   0%                               - run-at-time
         10,384   0%                                - timer-activate
         10,384   0%                                 - timer--activate
         10,384   0%                                    timer--time-less-p
          6,688   0%                                  timer-relative-time
          4,224   0%                                - timer-set-time
          4,224   0%                                   timer--time-setter
         24,552   0%                             - seed7--current-line-nth-word
         24,552   0%                              - thing-at-point
         24,552   0%                               - bounds-of-thing-at-point
         24,552   0%                                - #<byte-code-function 899>
         24,552   0%                                 - forward-thing
         24,552   0%                                    format
         63,448   0%                           - seed7--current-line-nth-word
         63,448   0%                            - thing-at-point
         55,264   0%                             - bounds-of-thing-at-point
         24,552   0%                              - #<byte-code-function 556>
         24,552   0%                               - forward-thing
         24,552   0%                                  format
         22,528   0%                                re-search-forward
          8,184   0%                              - #<byte-code-function 502>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
      2,090,890  14%                          - seed7-line-inside-a-block-cached
      2,090,890  14%                           - seed7-line-inside-a-block
      1,180,134   8%                            - seed7--safe-enclosing-block-bounds
      1,180,134   8%                             - seed7--block-end-pos-for
      1,023,462   7%                              - seed7-to-block-forward
        539,479   3%                               - seed7-end-of-defun
        449,549   3%                                - seed7-top-block-name
        432,328   2%                                 - seed7--to-top
        397,480   2%                                  - seed7-re-search-backward
        392,040   2%                                   - run-with-timer
        392,040   2%                                    - run-at-time
        191,160   1%                                     - timer-activate
        191,160   1%                                      - timer--activate
        191,160   1%                                         timer--time-less-p
        123,120   0%                                       timer-relative-time
         77,760   0%                                     - timer-set-time
         77,760   0%                                        timer--time-setter
          5,440   0%                                     re-search-backward
         34,848   0%                                  - run-with-timer
         34,848   0%                                   - run-at-time
         16,992   0%                                    - timer-activate
         16,992   0%                                     - timer--activate
         16,992   0%                                        timer--time-less-p
         10,944   0%                                      timer-relative-time
          6,912   0%                                    - timer-set-time
          6,912   0%                                       timer--time-setter
         17,221   0%                                 - seed7--block-name
         17,221   0%                                    seed7-re-search-forward
         47,898   0%                                - seed7-re-search-forward
         37,530   0%                                 - internal--syntax-propertize
         37,530   0%                                  - syntax-propertize
         37,530   0%                                     seed7-mode-syntax-propertize
         34,848   0%                                - seed7-re-search-backward
         34,848   0%                                 - run-with-timer
         34,848   0%                                  - run-at-time
         16,992   0%                                   - timer-activate
         16,992   0%                                    - timer--activate
         16,992   0%                                       timer--time-less-p
         10,944   0%                                     timer-relative-time
          6,912   0%                                   - timer-set-time
          6,912   0%                                      timer--time-setter
        255,727   1%                                 seed7-re-search-forward
        126,968   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        101,288   0%                               - seed7--current-line-nth-word
        101,288   0%                                - thing-at-point
         84,920   0%                                 - bounds-of-thing-at-point
         65,472   0%                                  - #<byte-code-function C46>
         65,472   0%                                   - forward-thing
         65,472   0%                                      format
         11,264   0%                                    re-search-forward
          8,184   0%                                  - #<byte-code-function 2F4>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
         57,088   0%                              - seed7--line-ends-a-statement-p
         40,704   0%                                 looking-at
         16,384   0%                               - forward-sexp
         16,384   0%                                  seed7--forward-sexp-function
        383,206   2%                            - seed7-re-search-backward
        211,992   1%                             - run-with-timer
        211,992   1%                              - run-at-time
        103,368   0%                               - timer-activate
        103,368   0%                                - timer--activate
        103,368   0%                                   timer--time-less-p
         66,576   0%                                 timer-relative-time
         42,048   0%                               - timer-set-time
         42,048   0%                                  timer--time-setter
        171,214   1%                               re-search-backward
        324,702   2%                            - seed7-calc-indent
        100,024   0%                             - seed7-line-at-endof-array-definition-block
         42,592   0%                              - backward-sexp
         42,592   0%                               - forward-sexp
         42,592   0%                                - seed7--forward-sexp-function
         21,296   0%                                 - seed7--at-array-definition-end-line-p
         21,296   0%                                  - seed7-line-code-ends-with
         21,296   0%                                   - seed7-re-search-backward
         21,296   0%                                    - run-with-timer
         21,296   0%                                     - run-at-time
         10,384   0%                                      - timer-activate
         10,384   0%                                       - timer--activate
         10,384   0%                                          timer--time-less-p
          6,688   0%                                        timer-relative-time
          4,224   0%                                      - timer-set-time
          4,224   0%                                         timer--time-setter
         21,296   0%                                 - seed7--at-set-definition-end-line-p
         21,296   0%                                  - seed7-line-code-ends-with
         21,296   0%                                   - seed7-re-search-backward
         21,296   0%                                    - run-with-timer
         21,296   0%                                     - run-at-time
         10,384   0%                                      - timer-activate
         10,384   0%                                       - timer--activate
         10,384   0%                                          timer--time-less-p
          6,688   0%                                        timer-relative-time
          4,224   0%                                      - timer-set-time
          4,224   0%                                         timer--time-setter
         35,520   0%                              - seed7-line-code-ends-with
         35,520   0%                               - seed7-re-search-backward
         23,232   0%                                - run-with-timer
         23,232   0%                                 - run-at-time
         11,328   0%                                  - timer-activate
         11,328   0%                                   - timer--activate
         11,328   0%                                      timer--time-less-p
          7,296   0%                                    timer-relative-time
          4,608   0%                                  - timer-set-time
          4,608   0%                                     timer--time-setter
         12,288   0%                                  re-search-backward
         11,264   0%                                looking-at
         10,648   0%                              - seed7-re-search-backward
         10,648   0%                               - run-with-timer
         10,648   0%                                - run-at-time
          5,192   0%                                 - timer-activate
          5,192   0%                                  - timer--activate
          5,192   0%                                     timer--time-less-p
          3,344   0%                                   timer-relative-time
          2,112   0%                                 - timer-set-time
          2,112   0%                                    timer--time-setter
         43,704   0%                             - seed7-line-inside-a-block-cached
         43,704   0%                              - seed7-line-inside-a-block
         25,280   0%                               - seed7-re-search-backward
         23,232   0%                                - run-with-timer
         23,232   0%                                 - run-at-time
         11,328   0%                                  - timer-activate
         11,328   0%                                   - timer--activate
         11,328   0%                                      timer--time-less-p
          7,296   0%                                    timer-relative-time
          4,608   0%                                  - timer-set-time
          4,608   0%                                     timer--time-setter
          2,048   0%                                  re-search-backward
         10,232   0%                                 replace-regexp-in-string
          8,192   0%                               - seed7--safe-enclosing-block-bounds
          8,192   0%                                - seed7--block-end-pos-for
          2,048   0%                                 - seed7-re-search-forward-closest
          2,048   0%                                    seed7-re-search-forward
         35,224   0%                             - seed7-line-after-short-func-end
         21,912   0%                              - seed7-to-block-backward
         21,912   0%                               - seed7-re-search-backward
