     61,329,942  99% - ...
     61,329,942  99%  - #<primitive-function call-interactively>
     61,329,942  99%   - funcall-interactively
     61,329,942  99%    - smex
     61,329,942  99%     - smex-read-and-run
     61,329,942  99%      - execute-extended-command
     61,329,942  99%       - command-execute
     61,329,942  99%        - call-interactively
     61,329,942  99%         - apply
     61,329,942  99%          - call-interactively@ido-cr+-record-current-command
     61,329,942  99%           - #<primitive-function call-interactively>
     61,329,942  99%            - funcall-interactively
     61,329,942  99%             - pel-profile-all
     61,329,942  99%              - pel-profile-dir
     61,329,942  99%               - pel-profile-indent
     61,329,942  99%                - pel-profile-indentation-test-of
     59,760,410  97%                 - call-interactively
     59,760,410  97%                  - apply
     59,760,410  97%                   - call-interactively@ido-cr+-record-current-command
     59,760,410  97%                    - #<primitive-function call-interactively>
     59,760,410  97%                     - funcall-interactively
     59,760,394  97%                      - seed7-complete-statement-or-indent
     59,760,394  97%                       - seed7-indent-region
     59,760,394  97%                        - seed7--indent-one-line
     59,760,394  97%                         - seed7-calc-indent
     23,081,415  37%                          - seed7-line-inside-a-block-cached
     23,081,415  37%                           - seed7-line-inside-a-block
     16,422,377  26%                            - seed7--safe-enclosing-block-bounds
     16,422,377  26%                             - seed7--block-end-pos-for
     15,986,297  26%                              - seed7-to-block-forward
     14,067,226  22%                               - seed7-end-of-defun
     12,892,415  20%                                - seed7-top-block-name
     12,604,954  20%                                 - seed7--to-top
     12,182,906  19%                                  - seed7-re-search-backward
     11,817,312  19%                                   - run-with-timer
     11,817,312  19%                                    - run-at-time
      5,762,176   9%                                     - timer-activate
      5,762,176   9%                                      - timer--activate
      5,762,176   9%                                         timer--time-less-p
      3,711,200   6%                                       timer-relative-time
      2,343,936   3%                                     - timer-set-time
      2,343,936   3%                                        timer--time-setter
        260,578   0%                                   - seed7-inside-comment-p
        260,578   0%                                    - syntax-ppss
        260,578   0%                                     - syntax-propertize
        260,578   0%                                        seed7-mode-syntax-propertize
        105,016   0%                                     re-search-backward
        422,048   0%                                  - run-with-timer
        422,048   0%                                   - run-at-time
        205,792   0%                                    - timer-activate
        205,792   0%                                     - timer--activate
        205,792   0%                                        timer--time-less-p
        132,544   0%                                      timer-relative-time
         83,712   0%                                    - timer-set-time
         83,712   0%                                       timer--time-setter
        287,461   0%                                 - seed7--block-name
        279,277   0%                                  - seed7-re-search-forward
         32,424   0%                                   - seed7-inside-comment-p
         32,424   0%                                    - syntax-ppss
         32,424   0%                                     - syntax-propertize
         32,424   0%                                        seed7-mode-syntax-propertize
          8,184   0%                                    match-string
        428,975   0%                                - seed7-re-search-forward
         30,422   0%                                 - seed7-inside-comment-p
         30,422   0%                                  - syntax-ppss
         30,422   0%                                   - syntax-propertize
         30,422   0%                                      seed7-mode-syntax-propertize
        422,048   0%                                - seed7-re-search-backward
        422,048   0%                                 - run-with-timer
        422,048   0%                                  - run-at-time
        205,792   0%                                   - timer-activate
        205,792   0%                                    - timer--activate
        205,792   0%                                       timer--time-less-p
        132,544   0%                                     timer-relative-time
         83,712   0%                                   - timer-set-time
         83,712   0%                                      timer--time-setter
         32,736   0%                                  match-string
          8,184   0%                                  match-string-no-properties
      1,066,029   1%                               - seed7-re-search-forward
        155,762   0%                                - seed7-inside-comment-p
        155,762   0%                                 - syntax-ppss
        155,762   0%                                  - syntax-propertize
        155,762   0%                                     seed7-mode-syntax-propertize
        524,272   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        295,696   0%                               - seed7--current-line-nth-word
        295,696   0%                                - thing-at-point
        262,960   0%                                 - bounds-of-thing-at-point
        130,944   0%                                  - #<byte-code-function 459>
        130,944   0%                                   - forward-thing
        130,944   0%                                      format
         81,840   0%                                  - #<byte-code-function 0D3>
         81,840   0%                                   - forward-thing
         81,840   0%                                      format
         50,176   0%                                    re-search-forward
         32,736   0%                                 seed7--end-regexp-for
            338   0%                               - seed7-inside-comment-p
            338   0%                                - syntax-ppss
            338   0%                                   syntax-table
        360,304   0%                              - seed7--line-ends-a-statement-p
        255,856   0%                                 looking-at
        104,448   0%                               - forward-sexp
        104,448   0%                                  seed7--forward-sexp-function
      3,932,867   6%                            - seed7-calc-indent
      1,844,411   3%                             - seed7-line-inside-a-block-cached
      1,844,411   3%                              - seed7-line-inside-a-block
      1,726,995   2%                               - seed7--safe-enclosing-block-bounds
      1,726,995   2%                                - seed7--block-end-pos-for
      1,686,035   2%                                 - seed7-to-block-forward
      1,623,791   2%                                  - seed7-end-of-defun
      1,491,572   2%                                   - seed7-top-block-name
      1,468,128   2%                                    - seed7--to-top
      1,417,792   2%                                     - seed7-re-search-backward
      1,409,408   2%                                      - run-with-timer
      1,409,408   2%                                       - run-at-time
        687,232   1%                                        - timer-activate
        687,232   1%                                         - timer--activate
        687,232   1%                                            timer--time-less-p
        442,624   0%                                          timer-relative-time
        279,552   0%                                        - timer-set-time
        279,552   0%                                           timer--time-setter
          8,384   0%                                        re-search-backward
         50,336   0%                                     - run-with-timer
         50,336   0%                                      - run-at-time
         24,544   0%                                       - timer-activate
         24,544   0%                                        - timer--activate
         24,544   0%                                           timer--time-less-p
         15,808   0%                                         timer-relative-time
          9,984   0%                                       - timer-set-time
          9,984   0%                                          timer--time-setter
         23,444   0%                                    - seed7--block-name
         15,260   0%                                       seed7-re-search-forward
         50,336   0%                                   - seed7-re-search-backward
         50,336   0%                                    - run-with-timer
         50,336   0%                                     - run-at-time
         24,544   0%                                      - timer-activate
         24,544   0%                                       - timer--activate
         24,544   0%                                          timer--time-less-p
         15,808   0%                                        timer-relative-time
          9,984   0%                                      - timer-set-time
          9,984   0%                                         timer--time-setter
         43,211   0%                                     seed7-re-search-forward
         43,820   0%                                    seed7-re-search-forward
          9,216   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          9,208   0%                                  - seed7--current-line-nth-word
          9,208   0%                                   - thing-at-point
          9,208   0%                                    - bounds-of-thing-at-point
          8,184   0%                                     - #<byte-code-function 61D>
          8,184   0%                                      - forward-thing
          8,184   0%                                         format
          1,024   0%                                       re-search-forward
         30,720   0%                                 - seed7--line-ends-a-statement-p
         16,384   0%                                    looking-at
         14,336   0%                                  - forward-sexp
         14,336   0%                                     seed7--forward-sexp-function
        107,048   0%                               - seed7-re-search-backward
         87,120   0%                                - run-with-timer
         87,120   0%                                 - run-at-time
         42,480   0%                                  - timer-activate
         42,480   0%                                   - timer--activate
         42,480   0%                                      timer--time-less-p
         27,360   0%                                    timer-relative-time
         17,280   0%                                  - timer-set-time
         17,280   0%                                     timer--time-setter
         19,928   0%                                  re-search-backward
         10,368   0%                                 replace-regexp-in-string
      1,649,456   2%                             - seed7-line-inside-parens-pair-column
      1,649,456   2%                              - seed7-line-inside-parens-pair
      1,641,264   2%                               - seed7-re-search-backward
      1,632,048   2%                                - run-with-timer
      1,632,048   2%                                 - run-at-time
        795,792   1%                                  - timer-activate
        795,792   1%                                   - timer--activate
        795,792   1%                                      timer--time-less-p
        512,544   0%                                    timer-relative-time
        323,712   0%                                  - timer-set-time
        323,712   0%                                     timer--time-setter
          9,216   0%                                  re-search-backward
          8,192   0%                               - forward-sexp
          8,192   0%                                  seed7--forward-sexp-function
        189,920   0%                             - seed7-line-is-defun-end
         95,660   0%                              - seed7-beg-of-defun
         73,716   0%                               - seed7-re-search-backward
         67,760   0%                                - run-with-timer
         67,760   0%                                 - run-at-time
         33,040   0%                                  - timer-activate
         33,040   0%                                   - timer--activate
         33,040   0%                                      timer--time-less-p
         21,280   0%                                    timer-relative-time
         13,440   0%                                  - timer-set-time
         13,440   0%                                     timer--time-setter
          5,956   0%                                  re-search-backward
          9,656   0%                               - seed7-re-search-backward-closest
          9,656   0%                                - seed7-re-search-backward
          5,784   0%                                   re-search-backward
          3,872   0%                                 - run-with-timer
          3,872   0%                                  - run-at-time
          1,888   0%                                   - timer-activate
          1,888   0%                                    - timer--activate
          1,888   0%                                       timer--time-less-p
          1,216   0%                                     timer-relative-time
            768   0%                                   - timer-set-time
            768   0%                                      timer--time-setter
         41,976   0%                                looking-back
         32,836   0%                              - seed7-line-starts-with-any
         32,836   0%                                 seed7-line-starts-with
         11,264   0%                              - seed7-move-to-line
         11,264   0%                                 seed7-to-previous-non-empty-line
          8,184   0%                              - seed7--current-line-nth-word
          8,184   0%                               - thing-at-point
          8,184   0%                                - bounds-of-thing-at-point
          8,184   0%                                 - #<byte-code-function 0D5>
          8,184   0%                                  - forward-thing
          8,184   0%                                     format
         64,384   0%                             - seed7-line-at-endof-array-definition-block
         27,544   0%                              - backward-sexp
         27,544   0%                               - forward-sexp
         27,544   0%                                - seed7--forward-sexp-function
          9,680   0%                                 - seed7--at-array-definition-end-line-p
          9,680   0%                                  - seed7-line-code-ends-with
          9,680   0%                                   - seed7-re-search-backward
          9,680   0%                                    - run-with-timer
          9,680   0%                                     - run-at-time
          4,720   0%                                      - timer-activate
          4,720   0%                                       - timer--activate
          4,720   0%                                          timer--time-less-p
          3,040   0%                                        timer-relative-time
          1,920   0%                                      - timer-set-time
          1,920   0%                                         timer--time-setter
          9,680   0%                                 - seed7--at-set-definition-end-line-p
          9,680   0%                                  - seed7-line-code-ends-with
          9,680   0%                                   - seed7-re-search-backward
          9,680   0%                                    - run-with-timer
          9,680   0%                                     - run-at-time
          4,720   0%                                      - timer-activate
          4,720   0%                                       - timer--activate
          4,720   0%                                          timer--time-less-p
          3,040   0%                                        timer-relative-time
          1,920   0%                                      - timer-set-time
          1,920   0%                                         timer--time-setter
         23,808   0%                              - seed7-line-code-ends-with
         23,808   0%                               - seed7-re-search-backward
         15,488   0%                                - run-with-timer
         15,488   0%                                 - run-at-time
          7,552   0%                                  - timer-activate
          7,552   0%                                   - timer--activate
          7,552   0%                                      timer--time-less-p
          4,864   0%                                    timer-relative-time
          3,072   0%                                  - timer-set-time
          3,072   0%                                     timer--time-setter
          8,320   0%                                  re-search-backward
          5,120   0%                                looking-at
          4,840   0%                              - seed7-re-search-backward
          4,840   0%                               - run-with-timer
          4,840   0%                                - run-at-time
          2,360   0%                                 - timer-activate
          2,360   0%                                  - timer--activate
          2,360   0%                                     timer--time-less-p
          1,520   0%                                   timer-relative-time
            960   0%                                 - timer-set-time
            960   0%                                    timer--time-setter
          3,072   0%                              - seed7-move-to-line
          3,072   0%                                 seed7-to-previous-non-empty-line
         24,280   0%                             - seed7-line-inside-array-definition-block
         22,232   0%                              - seed7-re-search-backward
         11,584   0%                                 re-search-backward
         10,648   0%                               - run-with-timer
         10,648   0%                                - run-at-time
          5,192   0%                                 - timer-activate
          5,192   0%                                  - timer--activate
          5,192   0%                                     timer--time-less-p
          3,344   0%                                   timer-relative-time
          2,112   0%                                 - timer-set-time
          2,112   0%                                    timer--time-setter
