      4,510,302  99% - ...
      4,510,302  99%  - #<primitive-function call-interactively>
      4,510,302  99%   - funcall-interactively
      4,510,302  99%    - smex
      4,510,302  99%     - smex-read-and-run
      4,510,302  99%      - execute-extended-command
      4,510,302  99%       - command-execute
      4,510,302  99%        - call-interactively
      4,510,302  99%         - apply
      4,510,302  99%          - call-interactively@ido-cr+-record-current-command
      4,510,302  99%           - #<primitive-function call-interactively>
      4,510,302  99%            - funcall-interactively
      4,510,302  99%             - pel-profile-all
      4,510,302  99%              - pel-profile-dir
      4,510,302  99%               - pel-profile-indent
      4,510,302  99%                - pel-profile-indentation-test-of
      2,946,402  65%                 - call-interactively
      2,946,402  65%                  - apply
      2,946,402  65%                   - call-interactively@ido-cr+-record-current-command
      2,946,402  65%                    - #<primitive-function call-interactively>
      2,946,402  65%                     - funcall-interactively
      2,946,386  65%                      - seed7-complete-statement-or-indent
      2,946,386  65%                       - seed7-indent-region
      2,946,386  65%                        - seed7--indent-one-line
      2,946,386  65%                         - seed7-calc-indent
      1,020,763  22%                          - seed7-comment-column
        813,323  18%                           - seed7-calc-indent
        331,187   7%                            - seed7-line-is-defun-end
        106,872   2%                               looking-back
         88,115   1%                             - seed7-beg-of-defun
         27,839   0%                              - seed7-top-block-name
         15,999   0%                               - seed7--block-name
         15,999   0%                                  seed7-re-search-forward
         11,840   0%                               - seed7--to-top
          7,968   0%                                - seed7-re-search-backward
          4,096   0%                                   re-search-backward
          3,872   0%                                 - run-with-timer
          3,872   0%                                  - run-at-time
          1,888   0%                                   - timer-activate
          1,888   0%                                    - timer--activate
          1,888   0%                                       timer--time-less-p
          1,216   0%                                     timer-relative-time
            768   0%                                   - timer-set-time
            768   0%                                      timer--time-setter
          3,872   0%                                - run-with-timer
          3,872   0%                                 - run-at-time
          1,888   0%                                  - timer-activate
          1,888   0%                                   - timer--activate
          1,888   0%                                      timer--time-less-p
          1,216   0%                                    timer-relative-time
            768   0%                                  - timer-set-time
            768   0%                                     timer--time-setter
         17,232   0%                              - seed7-re-search-backward-closest
         17,232   0%                               - seed7-re-search-backward
          9,488   0%                                  re-search-backward
          7,744   0%                                - run-with-timer
          7,744   0%                                 - run-at-time
          3,776   0%                                  - timer-activate
          3,776   0%                                   - timer--activate
          3,776   0%                                      timer--time-less-p
          2,432   0%                                    timer-relative-time
          1,536   0%                                  - timer-set-time
          1,536   0%                                     timer--time-setter
         15,404   0%                              - seed7-re-search-backward
          7,744   0%                               - run-with-timer
          7,744   0%                                - run-at-time
          3,776   0%                                 - timer-activate
          3,776   0%                                  - timer--activate
          3,776   0%                                     timer--time-less-p
          2,432   0%                                   timer-relative-time
          1,536   0%                                 - timer-set-time
          1,536   0%                                    timer--time-setter
          7,660   0%                                 re-search-backward
         62,488   1%                             - seed7-end-of-defun
         23,232   0%                              - seed7-top-block-name
         23,232   0%                               - seed7--to-top
         11,616   0%                                - run-with-timer
         11,616   0%                                 - run-at-time
          5,664   0%                                  - timer-activate
          5,664   0%                                   - timer--activate
          5,664   0%                                      timer--time-less-p
          3,648   0%                                    timer-relative-time
          2,304   0%                                  - timer-set-time
          2,304   0%                                     timer--time-setter
         11,616   0%                                - seed7-re-search-backward
         11,616   0%                                 - run-with-timer
         11,616   0%                                  - run-at-time
          5,664   0%                                   - timer-activate
          5,664   0%                                    - timer--activate
          5,664   0%                                       timer--time-less-p
          3,648   0%                                     timer-relative-time
          2,304   0%                                   - timer-set-time
          2,304   0%                                      timer--time-setter
         11,616   0%                              - seed7-re-search-backward
         11,616   0%                               - run-with-timer
         11,616   0%                                - run-at-time
          5,664   0%                                 - timer-activate
          5,664   0%                                  - timer--activate
          5,664   0%                                     timer--time-less-p
          3,648   0%                                   timer-relative-time
          2,304   0%                                 - timer-set-time
          2,304   0%                                    timer--time-setter
          8,192   0%                                seed7-re-search-forward
          8,184   0%                                match-string
         57,344   1%                             - seed7-line-starts-with-any
         57,344   1%                                seed7-line-starts-with
         16,368   0%                             - seed7--current-line-nth-word
         16,368   0%                              - thing-at-point
         16,368   0%                               - bounds-of-thing-at-point
         16,368   0%                                - #<byte-code-function F75>
         16,368   0%                                 - forward-thing
         16,368   0%                                    format
        104,936   2%                            - seed7-line-inside-parens-pair-column
        104,936   2%                             - seed7-line-inside-parens-pair
        102,888   2%                              - seed7-re-search-backward
         97,768   2%                               - run-with-timer
         97,768   2%                                - run-at-time
         47,672   1%                                 - timer-activate
         47,672   1%                                  - timer--activate
         47,672   1%                                     timer--time-less-p
         30,704   0%                                   timer-relative-time
         19,392   0%                                 - timer-set-time
         19,392   0%                                    timer--time-setter
          5,120   0%                                 re-search-backward
          2,048   0%                              - forward-sexp
          2,048   0%                                 seed7--forward-sexp-function
         70,368   1%                            - seed7-line-inside-a-block-cached
         70,368   1%                             - seed7-line-inside-a-block
         38,624   0%                              - seed7-re-search-backward
         30,976   0%                               - run-with-timer
         30,976   0%                                - run-at-time
         15,104   0%                                 - timer-activate
         15,104   0%                                  - timer--activate
         15,104   0%                                     timer--time-less-p
          9,728   0%                                   timer-relative-time
          6,144   0%                                 - timer-set-time
          6,144   0%                                    timer--time-setter
          7,648   0%                                 re-search-backward
         25,600   0%                              - seed7--safe-enclosing-block-bounds
         25,600   0%                               - seed7--block-end-pos-for
         15,360   0%                                - seed7--line-ends-a-statement-p
          9,216   0%                                   looking-at
          6,144   0%                                 - forward-sexp
          6,144   0%                                    seed7--forward-sexp-function
          2,048   0%                                - seed7-re-search-forward-closest
          2,048   0%                                   seed7-re-search-forward
          6,144   0%                                replace-regexp-in-string
