  1,631,454,889  99% - ...
  1,631,454,889  99%  - #<primitive-function call-interactively>
  1,631,454,889  99%   - funcall-interactively
  1,631,454,889  99%    - smex
  1,631,454,889  99%     - smex-read-and-run
  1,631,454,889  99%      - execute-extended-command
  1,631,454,889  99%       - command-execute
  1,631,454,889  99%        - call-interactively
  1,631,454,889  99%         - apply
  1,631,454,889  99%          - call-interactively@ido-cr+-record-current-command
  1,631,454,889  99%           - #<primitive-function call-interactively>
  1,631,454,889  99%            - funcall-interactively
  1,631,454,889  99%             - pel-profile-all
  1,631,454,889  99%              - pel-profile-dir
  1,631,454,889  99%               - pel-profile-indent
  1,631,454,889  99%                - pel-profile-indentation-test-of
  1,629,874,093  99%                 - call-interactively
  1,629,874,093  99%                  - apply
  1,629,874,093  99%                   - call-interactively@ido-cr+-record-current-command
  1,629,874,093  99%                    - #<primitive-function call-interactively>
  1,629,874,093  99%                     - funcall-interactively
  1,629,874,077  99%                      - seed7-complete-statement-or-indent
  1,629,874,077  99%                       - seed7-indent-region
  1,629,874,077  99%                        - seed7--indent-one-line
  1,629,874,077  99%                         - seed7-calc-indent
    815,790,884  49%                          - seed7-line-inside-parens-pair-column
    815,790,884  49%                           - seed7-line-inside-parens-pair
    809,489,268  49%                            - seed7-re-search-backward
    801,327,125  49%                             - run-with-timer
    801,327,125  49%                              - run-at-time
    390,803,669  23%                               - timer-activate
    390,803,669  23%                                - timer--activate
    390,803,669  23%                                 - timer--time-less-p
        202,407   0%                                    timer--time
    251,633,864  15%                                 timer-relative-time
    158,887,348   9%                               - timer-set-time
    158,885,568   9%                                  timer--time-setter
          2,244   0%                                 timer-set-function
      7,880,490   0%                               re-search-backward
        142,830   0%                             - seed7-inside-string-p
        110,038   0%                              - syntax-ppss
         98,376   0%                                 parse-partial-sexp
          2,884   0%                                 #<byte-code-function 017>
          1,180   0%                                 syntax-table
        138,018   0%                             - seed7-inside-comment-p
        138,018   0%                              - syntax-ppss
        131,168   0%                                 parse-partial-sexp
          4,170   0%                                 #<byte-code-function 997>
          1,250   0%                                 syntax-table
            805   0%                               make-closure
      6,236,032   0%                            - forward-sexp
      6,236,032   0%                               seed7--forward-sexp-function
    332,730,356  20%                          - seed7-line-inside-a-block-cached
    332,730,356  20%                           - seed7-line-inside-a-block
    188,110,853  11%                            - seed7--safe-enclosing-block-bounds
    188,110,702  11%                             - seed7--block-end-pos-for
    187,563,568  11%                              - seed7-to-block-forward
    112,447,685   6%                               - seed7-end-of-defun
    111,404,517   6%                                - seed7-top-block-name
    111,252,285   6%                                 - seed7--to-top
    110,721,821   6%                                  - seed7-re-search-backward
    110,675,834   6%                                   - run-with-timer
    110,675,834   6%                                    - run-at-time
     53,966,115   3%                                     - timer-activate
     53,966,115   3%                                      - timer--activate
