    107,265,203  99% - ...
    107,265,203  99%  - #<primitive-function call-interactively>
    107,265,203  99%   - funcall-interactively
    107,265,203  99%    - smex
    107,265,203  99%     - smex-read-and-run
    107,265,203  99%      - execute-extended-command
    107,265,203  99%       - command-execute
    107,265,203  99%        - call-interactively
    107,265,203  99%         - apply
    107,265,203  99%          - call-interactively@ido-cr+-record-current-command
    107,265,203  99%           - #<primitive-function call-interactively>
    107,265,203  99%            - funcall-interactively
    107,265,203  99%             - pel-profile-all
    107,265,203  99%              - pel-profile-dir
    107,265,203  99%               - pel-profile-indent
    107,265,203  99%                - pel-profile-indentation-test-of
    105,695,671  98%                 - call-interactively
    105,695,671  98%                  - apply
    105,695,671  98%                   - call-interactively@ido-cr+-record-current-command
    105,695,671  98%                    - #<primitive-function call-interactively>
    105,695,671  98%                     - funcall-interactively
    105,695,655  98%                      - seed7-complete-statement-or-indent
    105,695,655  98%                       - seed7-indent-region
    105,695,655  98%                        - seed7--indent-one-line
    105,679,079  98%                         - seed7-calc-indent
     63,517,910  59%                          - seed7-line-inside-parens-pair-column
     63,517,910  59%                           - seed7-line-inside-parens-pair
     62,889,774  58%                            - seed7-re-search-backward
     62,188,549  57%                             - run-with-timer
     62,188,549  57%                              - run-at-time
     34,786,901  32%                               - timer-activate
     34,786,901  32%                                - timer--activate
     34,786,901  32%                                   timer--time-less-p
     16,705,632  15%                                 timer-relative-time
     10,563,408   9%                               - timer-set-time
     10,563,408   9%                                  timer--time-setter
        132,608   0%                                 timer-create
        384,768   0%                               re-search-backward
        167,723   0%                             - seed7-inside-string-p
         26,827   0%                              - syntax-ppss
         24,864   0%                                 make-closure
          1,312   0%                                 syntax-table
            651   0%                                 #<byte-code-function D73>
        123,111   0%                             - seed7-inside-comment-p
         27,799   0%                              - syntax-ppss
         24,864   0%                                 make-closure
          2,380   0%                                 #<byte-code-function 360>
         25,623   0%                               make-closure
        623,992   0%                            - forward-sexp
        623,992   0%                               seed7--forward-sexp-function
