       50402  93% - ...
       50402  93%  - pel-profile-indent
       50402  93%   - pel-profile-indentation-test-of
       50402  93%    - call-interactively
       50402  93%     - apply
       50402  93%      - call-interactively@ido-cr+-record-current-command
       50402  93%       - #<primitive-function call-interactively>
       50402  93%        - funcall-interactively
       50390  93%         - pel-profile-all
       50390  93%          - pel-profile-dir
       50390  93%           - pel-profile-indent
       50390  93%            - pel-profile-indentation-test-of
       50390  93%             - call-interactively
       50390  93%              - apply
       50390  93%               - call-interactively@ido-cr+-record-current-command
       50390  93%                - #<primitive-function call-interactively>
       50390  93%                 - funcall-interactively
       50390  93%                  - seed7-complete-statement-or-indent
       50390  93%                   - seed7-indent-region
       50390  93%                    - seed7--indent-one-line
       50385  93%                     - seed7-calc-indent
       29953  55%                      - seed7--indent-search-boundary
       29945  55%                       - seed7--indent-search-boundary-uncached
       29700  55%                        - syntax-ppss
       29612  55%                           parse-partial-sexp
          16   0%                         - #<byte-code-function F6B>
           2   0%                            set-syntax-table
          12   0%                           make-closure
           7   0%                           syntax-ppss--update-stats
           5   0%                           syntax-propertize
           4   0%                           syntax-ppss-toplevel-pos
           3   0%                           set-syntax-table
           3   0%                           syntax-table
           2   0%                           syntax-ppss--data
          36   0%                          seed7-to-indent
       13261  24%                      - seed7-line-inside-parens-pair-column
       13260  24%                       - seed7-line-inside-parens-pair
       12999  24%                        - seed7-re-search-backward
        9271  17%                         - seed7-inside-comment-p
        9263  17%                          - syntax-ppss
        9234  17%                             parse-partial-sexp
           4   0%                             make-closure
           3   0%                             syntax-ppss-toplevel-pos
           2   0%                             #<byte-code-function B05>
           2   0%                             syntax-ppss--data
           1   0%                             syntax-table
           1   0%                             syntax-propertize
        3451   6%                         - run-with-timer
        3447   6%                          - run-at-time
        2596   4%                           - timer-activate
        2595   4%                            - timer--activate
        2586   4%                             - timer--time-less-p
          23   0%                                timer--time
           1   0%                               timerp
         587   1%                           - timer-set-time
         585   1%                            - timer--time-setter
           1   0%                               timerp
         254   0%                             timer-relative-time
           5   0%                           - timer-set-function
           1   0%                              timerp
           4   0%                             timer-create
         195   0%                         - seed7-inside-string-p
         180   0%                          - syntax-ppss
         158   0%                             parse-partial-sexp
           4   0%                             syntax-propertize
           2   0%                             make-closure
           2   0%                             syntax-ppss--data
           2   0%                             #<byte-code-function 17C>
           1   0%                             set-syntax-table
           6   0%                          - #<byte-code-function 56A>
           3   0%                             set-match-data
          51   0%                           re-search-backward
           6   0%                           make-closure
           3   0%                         - #<byte-code-function 774>
           3   0%                          - cancel-timer
           1   0%                             timerp
          60   0%                        - forward-sexp
          60   0%                         - seed7--forward-sexp-function
           2   0%                            seed7--at-line-comment-start-p
          44   0%                        - seed7-line-inside-syntax-parens-pair
          43   0%                         - syntax-ppss
          42   0%                            parse-partial-sexp
           1   0%                           seed7-move-to-line
           2   0%                          seed7--paren-pair-string
        4187   7%                      - seed7-line-inside-a-block-cached
        4187   7%                       - seed7-line-inside-a-block
        2375   4%                        - seed7--safe-enclosing-block-bounds
        2375   4%                         - seed7--block-end-pos-for
        2375   4%                          - seed7-to-block-forward
        2056   3%                           - seed7-end-of-defun
        1931   3%                            - seed7-top-block-name
        1920   3%                             - seed7--to-top
        1911   3%                              - seed7-re-search-backward
        1231   2%                               - seed7-inside-comment-p
        1231   2%                                - syntax-ppss
        1209   2%                                   parse-partial-sexp
          16   0%                                 - syntax-propertize
          16   0%                                    seed7-mode-syntax-propertize
           2   0%                                   syntax-ppss--update-stats
           1   0%                                   syntax-ppss--data
         606   1%                               - run-with-timer
         606   1%                                - run-at-time
         466   0%                                 - timer-activate
         466   0%                                  - timer--activate
         464   0%                                     timer--time-less-p
         119   0%                                 - timer-set-time
         119   0%                                    timer--time-setter
          21   0%                                   timer-relative-time
          63   0%                                 re-search-backward
           9   0%                               - seed7-inside-string-p
           7   0%                                - syntax-ppss
           2   0%                                   parse-partial-sexp
           1   0%                                   syntax-table
           1   0%                                   #<byte-code-function 7CB>
           1   0%                                  #<byte-code-function 708>
           3   0%                                seed7-to-indent
           2   0%                              - run-with-timer
           2   0%                               - run-at-time
           2   0%                                - timer-activate
           2   0%                                 - timer--activate
           2   0%                                    timer--time-less-p
          11   0%                             - seed7--block-name
          11   0%                              - seed7-re-search-forward
          10   0%                               - seed7-inside-comment-p
          10   0%                                - syntax-ppss
          10   0%                                   parse-partial-sexp
         116   0%                            - seed7-re-search-forward
           3   0%                             - seed7-inside-comment-p
           3   0%                              - syntax-ppss
           3   0%                                 parse-partial-sexp
           9   0%                            - seed7-re-search-backward
           5   0%                             - seed7-inside-comment-p
           5   0%                              - syntax-ppss
           5   0%                                 parse-partial-sexp
           4   0%                             - run-with-timer
           4   0%                              - run-at-time
           2   0%                               - timer-activate
           2   0%                                - timer--activate
