  1,291,047,898  99% - ...
  1,291,047,898  99%  - #<primitive-function call-interactively>
  1,291,047,898  99%   - funcall-interactively
  1,291,047,898  99%    - smex
  1,291,047,898  99%     - smex-read-and-run
  1,291,047,898  99%      - execute-extended-command
  1,291,047,898  99%       - command-execute
  1,291,047,898  99%        - call-interactively
  1,291,047,898  99%         - apply
  1,291,047,898  99%          - call-interactively@ido-cr+-record-current-command
  1,291,047,898  99%           - #<primitive-function call-interactively>
  1,291,047,898  99%            - funcall-interactively
  1,291,047,898  99%             - pel-profile-all
  1,291,047,898  99%              - pel-profile-dir
  1,291,047,898  99%               - pel-profile-indent
  1,291,047,898  99%                - pel-profile-indentation-test-of
  1,289,467,102  99%                 - call-interactively
  1,289,467,102  99%                  - apply
  1,289,467,102  99%                   - call-interactively@ido-cr+-record-current-command
  1,289,467,102  99%                    - #<primitive-function call-interactively>
  1,289,467,102  99%                     - funcall-interactively
  1,289,467,086  99%                      - seed7-complete-statement-or-indent
  1,289,467,086  99%                       - seed7-indent-region
  1,289,467,086  99%                        - seed7--indent-one-line
  1,289,466,761  99%                         - seed7-calc-indent
    946,559,662  73%                          - seed7-line-inside-parens-pair-column
    946,559,662  73%                           - seed7-line-inside-parens-pair
    942,067,733  72%                            - seed7-re-search-backward
    934,120,645  72%                             - run-with-timer
    934,120,645  72%                              - run-at-time
    523,374,109  40%                               - timer-activate
    523,374,109  40%                                - timer--activate
    523,374,109  40%                                 - timer--time-less-p
            749   0%                                    timer--time
    251,747,488  19%                                 timer-relative-time
    158,999,048  12%                               - timer-set-time
    158,998,944  12%                                  timer--time-setter
      7,943,792   0%                               re-search-backward
          2,703   0%                             - seed7-inside-comment-p
          2,703   0%                              - syntax-ppss
          2,493   0%                                 #<byte-code-function BEA>
            169   0%                                 syntax-table
            585   0%                             - seed7-inside-string-p
            585   0%                              - syntax-ppss
             11   0%                                 #<byte-code-function 7CD>
              8   0%                               make-closure
      4,450,969   0%                            - forward-sexp
      4,450,392   0%                               seed7--forward-sexp-function
         40,960   0%                            - seed7-line-inside-syntax-parens-pair
         40,960   0%                             - forward-sexp
         40,960   0%                                seed7--forward-sexp-function
     88,453,262   6%                          - seed7-line-inside-a-block-cached
     88,453,262   6%                           - seed7-line-inside-a-block
     55,483,708   4%                            - seed7--safe-enclosing-block-bounds
     55,483,708   4%                             - seed7--block-end-pos-for
     55,300,412   4%                              - seed7-to-block-forward
     28,791,663   2%                               - seed7-re-search-forward
     16,699,867   1%                                - seed7-inside-comment-p
     16,699,619   1%                                 - syntax-ppss
     16,699,619   1%                                  - syntax-propertize
     16,699,619   1%                                     seed7-mode-syntax-propertize
     12,984,808   1%                               - seed7-end-of-defun
     12,717,256   0%                                - seed7-top-block-name
     12,705,008   0%                                 - seed7--to-top
     12,488,432   0%                                  - seed7-re-search-backward
     12,488,432   0%                                   - run-with-timer
     12,488,432   0%                                    - run-at-time
      7,679,232   0%                                     - timer-activate
      7,679,232   0%                                      - timer--activate
      7,679,232   0%                                         timer--time-less-p
      2,947,568   0%                                       timer-relative-time
      1,861,632   0%                                     - timer-set-time
      1,861,632   0%                                        timer--time-setter
        216,576   0%                                  - run-with-timer
        216,576   0%                                   - run-at-time
        121,344   0%                                    - timer-activate
        121,344   0%                                     - timer--activate
        121,344   0%                                        timer--time-less-p
         58,368   0%                                      timer-relative-time
         36,864   0%                                    - timer-set-time
         36,864   0%                                       timer--time-setter
         12,248   0%                                 - seed7--block-name
          4,064   0%                                    match-string
        216,576   0%                                - seed7-re-search-backward
        216,576   0%                                 - run-with-timer
        216,576   0%                                  - run-at-time
        121,344   0%                                   - timer-activate
        121,344   0%                                    - timer--activate
        121,344   0%                                       timer--time-less-p
         58,368   0%                                     timer-relative-time
         36,864   0%                                   - timer-set-time
         36,864   0%                                      timer--time-setter
         41,768   0%                                  match-string
      7,965,656   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
      4,795,040   0%                               - seed7--current-line-nth-word
      4,795,040   0%                                - thing-at-point
      3,370,832   0%                                 - bounds-of-thing-at-point
      2,447,016   0%                                  - #<byte-code-function D39>
      2,447,016   0%                                   - forward-thing
      2,447,016   0%                                      format
        875,688   0%                                  - #<byte-code-function 9F8>
        875,688   0%                                   - forward-thing
        875,688   0%                                      format
         48,128   0%                                    re-search-forward
        763,245   0%                                 seed7--end-regexp-for
         88,960   0%                              - seed7--line-ends-a-statement-p
         88,960   0%                                 looking-at
         25,600   0%                              - seed7-to-next-line-starts-with
         25,600   0%                                 seed7-re-search-forward
          2,048   0%                              - seed7-re-search-forward-closest
          2,048   0%                                 seed7-re-search-forward
     22,738,238   1%                            - seed7-re-search-backward
     13,407,768   1%                             - run-with-timer
     13,407,768   1%                              - run-at-time
      7,512,808   0%                               - timer-activate
      7,512,808   0%                                - timer--activate
      7,512,808   0%                                 - timer--time-less-p
          1,488   0%                                    timer--time
      3,613,040   0%                                 timer-relative-time
      2,281,920   0%                               - timer-set-time
      2,281,920   0%                                  timer--time-setter
      9,329,545   0%                               re-search-backward
            925   0%                             - seed7-inside-string-p
            925   0%                                syntax-ppss
      8,722,340   0%                            - replace-regexp-in-string
        196,420   0%                               concat
        263,760   0%                              match-string
        178,200   0%                            - seed7-calc-indent
         48,600   0%                             - seed7-line-is-defun-end
         21,004   0%                              - seed7-line-starts-with-any
         21,004   0%                                 seed7-line-starts-with
         14,328   0%                                looking-back
         12,244   0%                              - seed7-beg-of-defun
          4,304   0%                               - seed7-re-search-backward-closest
          4,304   0%                                - seed7-re-search-backward
          2,256   0%                                 - run-with-timer
          2,256   0%                                  - run-at-time
          1,264   0%                                   - timer-activate
          1,264   0%                                    - timer--activate
          1,264   0%                                       timer--time-less-p
            608   0%                                     timer-relative-time
            384   0%                                   - timer-set-time
            384   0%                                      timer--time-setter
          2,048   0%                                   re-search-backward
          3,124   0%                               - seed7-re-search-backward
          1,996   0%                                  re-search-backward
          1,128   0%                                - run-with-timer
          1,128   0%                                 - run-at-time
            632   0%                                  - timer-activate
            632   0%                                   - timer--activate
