        4010  92% - ...
        4010  92%  - apply
        4010  92%   - call-interactively@ido-cr+-record-current-command
        4010  92%    - #<primitive-function call-interactively>
        4010  92%     - funcall-interactively
        3991  92%      - pel-profile-all
        3991  92%       - pel-profile-dir
        3991  92%        - pel-profile-indent
        3991  92%         - pel-profile-indentation-test-of
        3991  92%          - call-interactively
        3991  92%           - apply
        3991  92%            - call-interactively@ido-cr+-record-current-command
        3991  92%             - #<primitive-function call-interactively>
        3991  92%              - funcall-interactively
        3991  92%               - seed7-complete-statement-or-indent
        3991  92%                - seed7-indent-region
        3991  92%                 - seed7--indent-one-line
        3991  92%                  - seed7-calc-indent
        2091  48%                   - seed7--indent-search-boundary
        2091  48%                    - seed7--indent-search-boundary-uncached
        2079  48%                     - syntax-ppss
        2070  47%                        parse-partial-sexp
           2   0%                        set-syntax-table
           2   0%                        syntax-ppss--update-stats
           1   0%                        syntax-ppss--data
        1391  32%                   - seed7-line-inside-parens-pair-column
        1391  32%                    - seed7-line-inside-parens-pair
        1366  31%                     - seed7-re-search-backward
        1020  23%                      - run-with-timer
        1020  23%                       - run-at-time
         803  18%                        - timer-activate
         803  18%                         - timer--activate
         801  18%                          - timer--time-less-p
           1   0%                             timer--time
           1   0%                            timerp
         197   4%                        - timer-set-time
         197   4%                           timer--time-setter
          20   0%                          timer-relative-time
         320   7%                      - seed7-inside-comment-p
         320   7%                       - syntax-ppss
         316   7%                          parse-partial-sexp
           1   0%                          syntax-table
           1   0%                          syntax-ppss--update-stats
           1   0%                          set-syntax-table
          24   0%                      - seed7-inside-string-p
          24   0%                       - syntax-ppss
          22   0%                          parse-partial-sexp
           1   0%                          syntax-propertize
           1   0%                          make-closure
           2   0%                        re-search-backward
           7   0%                     - seed7-line-inside-syntax-parens-pair
           7   0%                      - syntax-ppss
           7   0%                         parse-partial-sexp
           4   0%                     - forward-sexp
           4   0%                        seed7--forward-sexp-function
         156   3%                   - seed7-line-inside-a-block-cached
         156   3%                    - seed7-line-inside-a-block
          76   1%                     - seed7--safe-enclosing-block-bounds
          76   1%                      - seed7--block-end-pos-for
          76   1%                       - seed7-to-block-forward
          52   1%                        - seed7-end-of-defun
