      2,461,120  99% - ...
      2,461,120  99%  - #<primitive-function call-interactively>
      2,461,120  99%   - funcall-interactively
      2,461,120  99%    - smex
      2,461,120  99%     - smex-read-and-run
      2,461,120  99%      - execute-extended-command
      2,461,120  99%       - command-execute
      2,461,120  99%        - call-interactively
      2,461,120  99%         - apply
      2,461,120  99%          - call-interactively@ido-cr+-record-current-command
      2,461,120  99%           - #<primitive-function call-interactively>
      2,461,120  99%            - funcall-interactively
      2,461,120  99%             - pel-profile-all
      2,461,120  99%              - pel-profile-dir
      2,461,120  99%               - pel-profile-indent
      2,461,120  99%                - pel-profile-indentation-test-of
      1,560,380  63%                   profiler-stop
        900,740  36%                 - call-interactively
        900,740  36%                  - apply
        900,740  36%                   - call-interactively@ido-cr+-record-current-command
        900,740  36%                    - #<primitive-function call-interactively>
        900,740  36%                     - funcall-interactively
        900,724  36%                      - seed7-complete-statement-or-indent
        900,724  36%                       - seed7-indent-region
        900,724  36%                        - seed7--indent-one-line
        900,724  36%                         - seed7-calc-indent
        178,540   7%                          - seed7-line-inside-a-block-cached
        178,540   7%                           - seed7-line-inside-a-block
         98,108   3%                            - seed7--safe-enclosing-block-bounds
         98,108   3%                             - seed7--block-end-pos-for
         91,964   3%                              - seed7-to-block-forward
         53,624   2%                               - seed7-end-of-defun
         35,496   1%                                - seed7-top-block-name
         29,296   1%                                 - seed7--to-top
         20,272   0%                                  - seed7-re-search-backward
         18,032   0%                                   - run-with-timer
         18,032   0%                                    - run-at-time
         11,088   0%                                     - timer-activate
         11,088   0%                                      - timer--activate
         11,088   0%                                         timer--time-less-p
          4,256   0%                                       timer-relative-time
          2,688   0%                                     - timer-set-time
          2,688   0%                                        timer--time-setter
          2,240   0%                                     re-search-backward
          9,024   0%                                  - run-with-timer
          9,024   0%                                   - run-at-time
          5,056   0%                                    - timer-activate
          5,056   0%                                     - timer--activate
          5,056   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
          6,200   0%                                 - seed7--block-name
          6,200   0%                                    seed7-re-search-forward
          9,024   0%                                - seed7-re-search-backward
          9,024   0%                                 - run-with-timer
          9,024   0%                                  - run-at-time
          5,056   0%                                   - timer-activate
          5,056   0%                                    - timer--activate
          5,056   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
          4,096   0%                                  seed7-re-search-forward
         26,052   1%                                 seed7-re-search-forward
         11,264   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          1,024   0%                               - seed7--current-line-nth-word
          1,024   0%                                - thing-at-point
          1,024   0%                                 - bounds-of-thing-at-point
          1,024   0%                                    re-search-forward
          6,144   0%                              - seed7--line-ends-a-statement-p
          6,144   0%                                 looking-at
         30,920   1%                            - seed7-re-search-backward
         19,176   0%                             - run-with-timer
         19,176   0%                              - run-at-time
         10,744   0%                               - timer-activate
         10,744   0%                                - timer--activate
         10,744   0%                                   timer--time-less-p
          5,168   0%                                 timer-relative-time
          3,264   0%                               - timer-set-time
          3,264   0%                                  timer--time-setter
         11,744   0%                               re-search-backward
         29,936   1%                            - seed7-calc-indent
          4,096   0%                             - seed7-line-is-defun-end
