         525  85% - ...
         525  85%  - pel-profile-indentation-test-of
         525  85%   - call-interactively
         525  85%    - apply
         525  85%     - call-interactively@ido-cr+-record-current-command
         525  85%      - #<primitive-function call-interactively>
         525  85%       - funcall-interactively
         509  82%        - pel-profile-all
         509  82%         - pel-profile-dir
         509  82%          - pel-profile-indent
         509  82%           - pel-profile-indentation-test-of
         509  82%            - call-interactively
         509  82%             - apply
         509  82%              - call-interactively@ido-cr+-record-current-command
         509  82%               - #<primitive-function call-interactively>
         509  82%                - funcall-interactively
         509  82%                 - seed7-complete-statement-or-indent
         509  82%                  - seed7-indent-region
         508  82%                   - seed7--indent-one-line
         508  82%                    - seed7-calc-indent
         185  30%                     - seed7--indent-search-boundary
         185  30%                      - seed7--indent-search-boundary-uncached
         183  29%                       - syntax-ppss
         180  29%                          parse-partial-sexp
           1   0%                          syntax-ppss--data
           1   0%                          #<byte-code-function D63>
         154  25%                     - seed7-line-is-defun-end
         130  21%                      - seed7-end-of-defun
         105  17%                       - seed7-top-block-name
         105  17%                        - seed7--to-top
         104  16%                         - seed7-re-search-backward
          74  12%                          - seed7-inside-comment-p
          74  12%                           - syntax-ppss
          74  12%                              parse-partial-sexp
          24   3%                          - run-with-timer
          24   3%                           - run-at-time
          17   2%                            - timer-activate
          17   2%                             - timer--activate
          15   2%                              - timer--time-less-p
           1   0%                                 timer--time
           1   0%                                timerp
           5   0%                            - timer-set-time
           5   0%                               timer--time-setter
           1   0%                              timer-relative-time
           1   0%                              timer-create
           3   0%                            re-search-backward
           2   0%                          - seed7-inside-string-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
          22   3%                       - seed7-re-search-forward
           8   1%                        - seed7-inside-string-p
           8   1%                         - syntax-ppss
           8   1%                            parse-partial-sexp
           6   0%                        - seed7-inside-comment-p
           6   0%                         - syntax-ppss
           5   0%                            parse-partial-sexp
           2   0%                       - seed7-re-search-backward
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           1   0%                         match-string
          16   2%                      - seed7-beg-of-defun
          10   1%                       - seed7-re-search-backward
           7   1%                        - seed7-inside-comment-p
           7   1%                         - syntax-ppss
           7   1%                            parse-partial-sexp
           2   0%                        - run-with-timer
           2   0%                         - run-at-time
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           1   0%                          re-search-backward
           5   0%                       - seed7-re-search-backward-closest
           5   0%                        - seed7-re-search-backward
           4   0%                           re-search-backward
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-set-time
           1   0%                              timer--time-setter
           1   0%                       - seed7-top-block-name
           1   0%                        - seed7--to-top
           1   0%                         - seed7-re-search-backward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           4   0%                      - seed7-move-to-line
           4   0%                       - seed7-to-previous-non-empty-line
           4   0%                        - seed7-inside-comment-p
           4   0%                         - syntax-ppss
           4   0%                            parse-partial-sexp
           2   0%                      - seed7--safe-current-line-defun-start-indent
           2   0%                       - seed7-to-block-backward
           1   0%                        - seed7-inside-line-indent-before-comment-p
           1   0%                         - seed7-inside-comment-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                        - seed7-re-search-backward
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-activate
           1   0%                            - timer--activate
           1   0%                               timer--time-less-p
           2   0%                      - seed7--current-line-nth-word
           2   0%                       - thing-at-point
           2   0%                        - bounds-of-thing-at-point
           1   0%                         - #<byte-code-function 40A>
           1   0%                          - forward-thing
           1   0%                             forward-word
           1   0%                         - #<byte-code-function 20A>
           1   0%                            forward-thing
          97  15%                     - seed7-line-inside-a-block-cached
