         610  90% - ...
         610  90%  - pel-profile-indentation-test-of
         610  90%   - call-interactively
         610  90%    - apply
         610  90%     - call-interactively@ido-cr+-record-current-command
         610  90%      - #<primitive-function call-interactively>
         610  90%       - funcall-interactively
         590  87%        - pel-profile-all
         590  87%         - pel-profile-dir
         590  87%          - pel-profile-indent
         590  87%           - pel-profile-indentation-test-of
         590  87%            - call-interactively
         590  87%             - apply
         590  87%              - call-interactively@ido-cr+-record-current-command
         590  87%               - #<primitive-function call-interactively>
         590  87%                - funcall-interactively
         590  87%                 - seed7-complete-statement-or-indent
         590  87%                  - seed7-indent-region
         590  87%                   - seed7--indent-one-line
         590  87%                    - seed7-calc-indent
         391  58%                     - seed7--indent-search-boundary
         390  57%                      - seed7--indent-search-boundary-uncached
         385  57%                       - syntax-ppss
         384  57%                          parse-partial-sexp
           1   0%                          make-closure
           1   0%                         seed7-to-indent
          52   7%                     - seed7-line-inside-a-block-cached
          52   7%                      - seed7-line-inside-a-block
          30   4%                       - seed7--safe-enclosing-block-bounds
          30   4%                        - seed7--block-end-pos-for
          30   4%                         - seed7-to-block-forward
          25   3%                          - seed7-end-of-defun
          22   3%                           - seed7-top-block-name
          21   3%                            - seed7--to-top
          21   3%                             - seed7-re-search-backward
          15   2%                              - seed7-inside-comment-p
          15   2%                               - syntax-ppss
          15   2%                                  parse-partial-sexp
           5   0%                              - run-with-timer
           5   0%                               - run-at-time
           5   0%                                - timer-activate
           5   0%                                 - timer--activate
           5   0%                                    timer--time-less-p
           1   0%                                re-search-backward
           1   0%                            - seed7--block-name
           1   0%                             - seed7-re-search-forward
           1   0%                              - seed7-inside-string-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
           3   0%                           - seed7-re-search-forward
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                              - syntax-propertize
           1   0%                                 seed7-mode-syntax-propertize
           3   0%                          - seed7-re-search-forward
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                          - seed7--current-line-nth-word
           1   0%                           - thing-at-point
           1   0%                            - bounds-of-thing-at-point
           1   0%                             - #<byte-code-function B2D>
           1   0%                              - forward-thing
           1   0%                                 forward-word
           1   0%                          - seed7-inside-comment-p
           1   0%                             syntax-ppss
          16   2%                       - seed7-re-search-backward
          10   1%                        - seed7-inside-comment-p
          10   1%                         - syntax-ppss
          10   1%                            parse-partial-sexp
           6   0%                        - run-with-timer
           6   0%                         - run-at-time
           4   0%                          - timer-activate
           4   0%                           - timer--activate
           4   0%                              timer--time-less-p
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           1   0%                            timer-relative-time
           6   0%                       - seed7-calc-indent
           3   0%                        - seed7--indent-search-boundary
           3   0%                         - seed7--indent-search-boundary-uncached
           3   0%                          - syntax-ppss
           3   0%                             parse-partial-sexp
           2   0%                        - seed7-line-inside-a-block-cached
           2   0%                         - seed7-line-inside-a-block
           2   0%                          - seed7-re-search-backward
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           1   0%                        - seed7-line-at-endof-set-definition-block
           1   0%                         - seed7-line-code-ends-with
           1   0%                          - seed7-re-search-backward
           1   0%                           - run-with-timer
           1   0%                            - run-at-time
           1   0%                               timer-activate
          47   6%                     - seed7-line-is-defun-end
          33   4%                      - seed7-end-of-defun
          28   4%                       - seed7-top-block-name
          27   4%                        - seed7--to-top
          27   4%                         - seed7-re-search-backward
          21   3%                          - seed7-inside-comment-p
          20   2%                           - syntax-ppss
          20   2%                              parse-partial-sexp
           4   0%                          - run-with-timer
           4   0%                           - run-at-time
           3   0%                            - timer-set-time
           3   0%                               timer--time-setter
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           2   0%                            re-search-backward
           1   0%                        - seed7--block-name
           1   0%                           seed7-re-search-forward
           4   0%                       - seed7-re-search-forward
           2   0%                        - seed7-inside-comment-p
           2   0%                         - syntax-ppss
           2   0%                            parse-partial-sexp
           1   0%                       - seed7-re-search-backward
           1   0%                        - run-with-timer
           1   0%                         - run-at-time
           1   0%                          - timer-activate
           1   0%                           - timer--activate
           1   0%                              timer--time-less-p
           8   1%                      - seed7-beg-of-defun
           6   0%                       - seed7-re-search-backward
           6   0%                        - seed7-inside-comment-p
           6   0%                         - syntax-ppss
           6   0%                            parse-partial-sexp
           1   0%                       - seed7-re-search-backward-closest
           1   0%                        - seed7-re-search-backward
           1   0%                           re-search-backward
           1   0%                       - seed7-top-block-name
           1   0%                          seed7--to-top
           5   0%                      - seed7-move-to-line
