          59  85% - ...
          59  85%  - pel-profile-dir
          59  85%   - pel-profile-indent
          59  85%    - pel-profile-indentation-test-of
          59  85%     - call-interactively
          59  85%      - apply
          59  85%       - call-interactively@ido-cr+-record-current-command
          59  85%        - #<primitive-function call-interactively>
          59  85%         - funcall-interactively
          59  85%          - seed7-complete-statement-or-indent
          59  85%           - seed7-indent-region
          59  85%            - seed7--indent-one-line
          59  85%             - seed7-calc-indent
          17  24%              - seed7-comment-column
          17  24%               - seed7-calc-indent
           6   8%                - seed7-line-is-defun-end
           3   4%                 - seed7-end-of-defun
           3   4%                  - seed7-top-block-name
           3   4%                   - seed7--to-top
           3   4%                    - seed7-re-search-backward
           3   4%                     - run-with-timer
           3   4%                      - run-at-time
           2   2%                       - timer-activate
           2   2%                        - timer--activate
           2   2%                           timer--time-less-p
           1   1%                       - timer-set-time
           1   1%                          timer--time-setter
           2   2%                 - seed7-move-to-line
           2   2%                  - seed7-to-previous-non-empty-line
           2   2%                   - seed7-inside-comment-p
           2   2%                    - syntax-ppss
           2   2%                       parse-partial-sexp
           1   1%                 - seed7-beg-of-defun
           1   1%                  - seed7-re-search-backward-closest
           1   1%                   - seed7-re-search-backward
           1   1%                    - run-with-timer
           1   1%                     - run-at-time
           1   1%                      - timer-activate
           1   1%                       - timer--activate
           1   1%                          timer--time-less-p
           4   5%                - seed7-line-inside-parens-pair-column
           4   5%                 - seed7-line-inside-parens-pair
           4   5%                  - seed7-re-search-backward
           4   5%                   - run-with-timer
           4   5%                    - run-at-time
           3   4%                     - timer-activate
           3   4%                      - timer--activate
           3   4%                         timer--time-less-p
           1   1%                     - timer-set-time
           1   1%                        timer--time-setter
           2   2%                - seed7-line-inside-a-block-cached
           2   2%                 - seed7-line-inside-a-block
           1   1%                  - seed7-re-search-backward
           1   1%                   - run-with-timer
           1   1%                    - run-at-time
           1   1%                     - timer-activate
           1   1%                      - timer--activate
           1   1%                         timer--time-less-p
           1   1%                  - seed7--safe-enclosing-block-bounds
           1   1%                   - seed7--block-end-pos-for
           1   1%                    - seed7--line-ends-a-statement-p
           1   1%                       looking-at
           2   2%                - seed7--indent-search-boundary
           2   2%                 - seed7--indent-search-boundary-uncached
           2   2%                  - syntax-ppss
           2   2%                     parse-partial-sexp
           1   1%                - seed7-line-inside-set-definition-block
           1   1%                 - seed7-re-search-backward
           1   1%                  - run-with-timer
           1   1%                   - run-at-time
           1   1%                    - timer-activate
           1   1%                     - timer--activate
