        3627  93% - ...
        3627  93%  - funcall-interactively
        3627  93%   - pel-profile-all
        3627  93%    - pel-profile-dir
        3627  93%     - pel-profile-indent
        3627  93%      - pel-profile-indentation-test-of
        3627  93%       - call-interactively
        3627  93%        - apply
        3627  93%         - call-interactively@ido-cr+-record-current-command
        3627  93%          - #<primitive-function call-interactively>
        3627  93%           - funcall-interactively
        2627  67%            - pel-profile-all
        2627  67%             - pel-profile-dir
        2627  67%              - pel-profile-indent
        2627  67%               - pel-profile-indentation-test-of
        2627  67%                - call-interactively
        2627  67%                 - apply
        2627  67%                  - call-interactively@ido-cr+-record-current-command
        2627  67%                   - #<primitive-function call-interactively>
        2627  67%                    - funcall-interactively
        2627  67%                     - seed7-complete-statement-or-indent
        2627  67%                      - seed7-indent-region
        2627  67%                       - seed7--indent-one-line
        2627  67%                        - seed7-calc-indent
        1995  51%                         - seed7--indent-search-boundary
        1995  51%                          - seed7--indent-search-boundary-uncached
        1967  50%                           - syntax-ppss
        1961  50%                              parse-partial-sexp
           1   0%                              #<byte-code-function FF6>
           1   0%                              syntax-ppss--update-stats
           1   0%                             seed7-to-indent
         414  10%                         - seed7-line-inside-a-block-cached
         414  10%                          - seed7-line-inside-a-block
         326   8%                           - seed7--safe-enclosing-block-bounds
         326   8%                            - seed7--block-end-pos-for
         326   8%                             - seed7-to-block-forward
         317   8%                              - seed7-end-of-defun
         312   8%                               - seed7-top-block-name
         311   8%                                - seed7--to-top
         308   7%                                 - seed7-re-search-backward
         183   4%                                  - run-with-timer
         183   4%                                   - run-at-time
         139   3%                                    - timer-activate
         139   3%                                     - timer--activate
         139   3%                                      - timer--time-less-p
           1   0%                                         timer--time
          41   1%                                    - timer-set-time
          41   1%                                       timer--time-setter
           3   0%                                      timer-relative-time
         118   3%                                  - seed7-inside-comment-p
         118   3%                                   - syntax-ppss
         117   3%                                      parse-partial-sexp
           1   0%                                      syntax-propertize
           7   0%                                    re-search-backward
           3   0%                                 - run-with-timer
           3   0%                                  - run-at-time
           3   0%                                   - timer-activate
           3   0%                                    - timer--activate
           3   0%                                       timer--time-less-p
           1   0%                                - seed7--block-name
           1   0%                                 - seed7-re-search-forward
           1   0%                                  - seed7-inside-comment-p
           1   0%                                   - syntax-ppss
           1   0%                                      parse-partial-sexp
           3   0%                                 seed7-re-search-forward
           2   0%                               - seed7-re-search-backward
           1   0%                                - run-with-timer
           1   0%                                 - run-at-time
           1   0%                                  - timer-activate
           1   0%                                   - timer--activate
           1   0%                                      timer--time-less-p
           1   0%                                - seed7-inside-comment-p
           1   0%                                 - syntax-ppss
           1   0%                                    parse-partial-sexp
           7   0%                              - seed7-re-search-forward
           2   0%                               - seed7-inside-comment-p
           2   0%                                - syntax-ppss
           2   0%                                   parse-partial-sexp
           1   0%                               - seed7-inside-string-p
           1   0%                                - syntax-ppss
           1   0%                                   parse-partial-sexp
           1   0%                                seed7--current-line-nth-word
           1   0%                              - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
           1   0%                               - seed7-inside-comment-p
           1   0%                                - syntax-ppss
           1   0%                                   parse-partial-sexp
          52   1%                           - seed7-re-search-backward
          25   0%                            - run-with-timer
          25   0%                             - run-at-time
          20   0%                              - timer-activate
          20   0%                               - timer--activate
          20   0%                                  timer--time-less-p
           4   0%                              - timer-set-time
           4   0%                                 timer--time-setter
           1   0%                                timer-relative-time
          25   0%                            - seed7-inside-comment-p
          24   0%                             - syntax-ppss
          24   0%                                parse-partial-sexp
           2   0%                              re-search-backward
          34   0%                           - seed7-calc-indent
          21   0%                            - seed7-line-is-defun-end
          20   0%                             - seed7-end-of-defun
          16   0%                              - seed7-top-block-name
          16   0%                               - seed7--to-top
          16   0%                                - seed7-re-search-backward
          10   0%                                 - run-with-timer
          10   0%                                  - run-at-time
           8   0%                                   - timer-activate
           8   0%                                    - timer--activate
           8   0%                                       timer--time-less-p
           2   0%                                   - timer-set-time
           2   0%                                      timer--time-setter
           6   0%                                 - seed7-inside-comment-p
           6   0%                                  - syntax-ppss
           6   0%                                     parse-partial-sexp
           4   0%                              - seed7-re-search-forward
           2   0%                               - seed7-inside-comment-p
           2   0%                                - syntax-ppss
           2   0%                                   parse-partial-sexp
           1   0%                               - seed7-inside-string-p
           1   0%                                - syntax-ppss
           1   0%                                   parse-partial-sexp
           1   0%                             - seed7-beg-of-defun
           1   0%                              - seed7-top-block-name
           1   0%                               - seed7--to-top
           1   0%                                - seed7-re-search-backward
           1   0%                                 - run-with-timer
           1   0%                                  - run-at-time
           1   0%                                   - timer-activate
           1   0%                                    - timer--activate
           1   0%                                       timer--time-less-p
          11   0%                            - seed7-line-inside-parens-pair-column
          11   0%                             - seed7-line-inside-parens-pair
          11   0%                              - seed7-re-search-backward
           8   0%                               - run-with-timer
           8   0%                                - run-at-time
           7   0%                                 - timer-activate
           7   0%                                  - timer--activate
           7   0%                                     timer--time-less-p
           1   0%                                 - timer-set-time
           1   0%                                    timer--time-setter
           3   0%                               - seed7-inside-comment-p
           3   0%                                - syntax-ppss
           3   0%                                   parse-partial-sexp
           1   0%                            - seed7-line-at-endof-set-definition-block
           1   0%                             - seed7-line-code-ends-with
           1   0%                              - seed7-re-search-backward
           1   0%                               - run-with-timer
           1   0%                                - run-at-time
           1   0%                                 - timer-activate
           1   0%                                  - timer--activate
           1   0%                                     timer--time-less-p
           1   0%                            - seed7--indent-search-boundary
           1   0%                             - seed7--indent-search-boundary-uncached
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           1   0%                             match-string
         216   5%                         - seed7-line-inside-parens-pair-column
         216   5%                          - seed7-line-inside-parens-pair
         210   5%                           - seed7-re-search-backward
         166   4%                            - run-with-timer
         166   4%                             - run-at-time
         134   3%                              - timer-activate
         134   3%                               - timer--activate
         134   3%                                  timer--time-less-p
          28   0%                              - timer-set-time
          28   0%                                 timer--time-setter
           4   0%                                timer-relative-time
          37   0%                            - seed7-inside-comment-p
          37   0%                             - syntax-ppss
          36   0%                                parse-partial-sexp
           1   0%                                make-closure
           6   0%                            - seed7-inside-string-p
           6   0%                             - syntax-ppss
           6   0%                                parse-partial-sexp
           1   0%                              re-search-backward
           2   0%                           - seed7-line-inside-syntax-parens-pair
           2   0%                            - syntax-ppss
           2   0%                               parse-partial-sexp
           2   0%                         - seed7-line-is-defun-end
           1   0%                            line-beginning-position
           1   0%                            line-end-position
        1000  25%            - seed7-complete-statement-or-indent
        1000  25%             - seed7-indent-region
        1000  25%              - seed7--indent-one-line
        1000  25%               - seed7-calc-indent
         826  21%                - seed7-line-is-defun-end
         712  18%                 - seed7-end-of-defun
         603  15%                  - seed7-top-block-name
         602  15%                   - seed7--to-top
         592  15%                    - seed7-re-search-backward
         335   8%                     - run-with-timer
         335   8%                      - run-at-time
         269   6%                       - timer-activate
         269   6%                        - timer--activate
         269   6%                           timer--time-less-p
          65   1%                       - timer-set-time
          65   1%                          timer--time-setter
           1   0%                         timer-relative-time
         250   6%                     - seed7-inside-comment-p
         249   6%                      - syntax-ppss
         247   6%                         parse-partial-sexp
           1   0%                         syntax-ppss--update-stats
           1   0%                         make-closure
           5   0%                       re-search-backward
           1   0%                     - #<byte-code-function 9DE>
           1   0%                        cancel-timer
          10   0%                    - run-with-timer
          10   0%                     - run-at-time
           7   0%                      - timer-activate
           7   0%                       - timer--activate
           7   0%                          timer--time-less-p
           3   0%                      - timer-set-time
           3   0%                         timer--time-setter
           1   0%                   - seed7--block-name
           1   0%                    - seed7-re-search-forward
           1   0%                     - seed7-inside-string-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
          98   2%                  - seed7-re-search-forward
          46   1%                   - seed7-inside-comment-p
          44   1%                    - syntax-ppss
          40   1%                       parse-partial-sexp
           4   0%                     - syntax-propertize
           4   0%                        seed7-mode-syntax-propertize
          29   0%                   - seed7-inside-string-p
          29   0%                    - syntax-ppss
          28   0%                       parse-partial-sexp
           1   0%                       syntax-propertize
          11   0%                  - seed7-re-search-backward
           6   0%                   - run-with-timer
           6   0%                    - run-at-time
           3   0%                     - timer-activate
           3   0%                      - timer--activate
           3   0%                         timer--time-less-p
           3   0%                     - timer-set-time
           3   0%                        timer--time-setter
           5   0%                   - seed7-inside-comment-p
           5   0%                    - syntax-ppss
           5   0%                       parse-partial-sexp
         103   2%                 - seed7-beg-of-defun
          87   2%                  - seed7-re-search-backward
          49   1%                   - run-with-timer
          49   1%                    - run-at-time
          42   1%                     - timer-activate
          42   1%                      - timer--activate
          41   1%                         timer--time-less-p
           7   0%                     - timer-set-time
           7   0%                        timer--time-setter
          33   0%                   - seed7-inside-comment-p
          33   0%                    - syntax-ppss
          33   0%                       parse-partial-sexp
           5   0%                     re-search-backward
          10   0%                  - seed7-re-search-backward-closest
          10   0%                   - seed7-re-search-backward
           8   0%                      re-search-backward
           2   0%                    - run-with-timer
           2   0%                     - run-at-time
           2   0%                      - timer-activate
           2   0%                       - timer--activate
           2   0%                          timer--time-less-p
           6   0%                  - seed7-top-block-name
           6   0%                   - seed7--to-top
           5   0%                    - seed7-re-search-backward
           2   0%                     - run-with-timer
           2   0%                      - run-at-time
           1   0%                       - timer-activate
           1   0%                        - timer--activate
           1   0%                           timer--time-less-p
           1   0%                       - timer-set-time
           1   0%                          timer--time-setter
           2   0%                     - seed7-inside-comment-p
           2   0%                      - syntax-ppss
           2   0%                         parse-partial-sexp
           1   0%                    - run-with-timer
           1   0%                     - run-at-time
           1   0%                      - timer-activate
           1   0%                       - timer--activate
           1   0%                          timer--time-less-p
           5   0%                 - seed7-move-to-line
           5   0%                  - seed7-to-previous-non-empty-line
           4   0%                   - seed7-inside-comment-p
           4   0%                    - syntax-ppss
           4   0%                       parse-partial-sexp
           4   0%                 - seed7--safe-current-line-defun-start-indent
           4   0%                  - seed7-to-block-backward
           3   0%                   - seed7-re-search-backward
           2   0%                    - seed7-inside-comment-p
           2   0%                     - syntax-ppss
           2   0%                        parse-partial-sexp
           1   0%                    - run-with-timer
           1   0%                     - run-at-time
           1   0%                      - timer-activate
           1   0%                       - timer--activate
           1   0%                          timer--time-less-p
           1   0%                     seed7--current-line-nth-word
           1   0%                 - seed7-line-starts-with-any
           1   0%                    seed7-line-starts-with
           1   0%                   looking-back
          48   1%                - seed7-line-inside-array-definition-block
          47   1%                 - seed7-re-search-backward
          17   0%                  - seed7-inside-comment-p
          17   0%                   - syntax-ppss
          17   0%                      parse-partial-sexp
          16   0%                  - run-with-timer
          16   0%                   - run-at-time
          12   0%                    - timer-activate
          12   0%                     - timer--activate
          12   0%                        timer--time-less-p
           2   0%                    - timer-set-time
           2   0%                       timer--time-setter
           2   0%                      timer-relative-time
          14   0%                    re-search-backward
           1   0%                 - forward-sexp
           1   0%                    seed7--forward-sexp-function
          27   0%                - seed7-line-inside-set-definition-block
          27   0%                 - seed7-re-search-backward
          15   0%                    re-search-backward
          12   0%                  - run-with-timer
          12   0%                   - run-at-time
          10   0%                    - timer-activate
          10   0%                     - timer--activate
          10   0%                        timer--time-less-p
           2   0%                    - timer-set-time
           2   0%                       timer--time-setter
          21   0%                - seed7-line-inside-assign-statement-continuation
          21   0%                 - seed7-assign-op-pos
          21   0%                  - seed7-re-search-backward
          15   0%                   - run-with-timer
          15   0%                    - run-at-time
          11   0%                     - timer-activate
          11   0%                      - timer--activate
          11   0%                         timer--time-less-p
           3   0%                     - timer-set-time
           3   0%                        timer--time-setter
           1   0%                       timer-relative-time
           6   0%                   - seed7-inside-comment-p
           6   0%                    - syntax-ppss
           6   0%                       parse-partial-sexp
          19   0%                - seed7-line-inside-logic-check-expression
          19   0%                 - seed7-to-previous-line-starts-with
          19   0%                  - seed7-re-search-backward
          19   0%                   - run-with-timer
          19   0%                    - run-at-time
          16   0%                     - timer-activate
          16   0%                      - timer--activate
          16   0%                         timer--time-less-p
           2   0%                     - timer-set-time
           2   0%                        timer--time-setter
           1   0%                       timer-relative-time
          14   0%                - seed7-line-inside-func-return-statement
          14   0%                 - seed7-re-search-backward
          13   0%                  - run-with-timer
          13   0%                   - run-at-time
          12   0%                    - timer-activate
          12   0%                     - timer--activate
          12   0%                        timer--time-less-p
           1   0%                    - timer-set-time
           1   0%                       timer--time-setter
           1   0%                    re-search-backward
          13   0%                - seed7-line-inside-argument-list-section
          13   0%                 - seed7-re-search-backward
          11   0%                  - run-with-timer
          11   0%                   - run-at-time
           8   0%                    - timer-activate
           8   0%                     - timer--activate
           8   0%                        timer--time-less-p
           3   0%                    - timer-set-time
           3   0%                       timer--time-setter
           1   0%                  - seed7-inside-comment-p
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           1   0%                    re-search-backward
           8   0%                - seed7--current-line-nth-word
           8   0%                 - thing-at-point
           8   0%                  - bounds-of-thing-at-point
           8   0%                   - #<byte-code-function 48B>
           8   0%                    - forward-thing
           8   0%                     - forward-word
           8   0%                      - internal--syntax-propertize
           8   0%                       - syntax-propertize
           8   0%                          seed7-mode-syntax-propertize
           7   0%                - seed7-comment-column
           6   0%                 - seed7-calc-indent
           3   0%                  - seed7-line-is-defun-end
           3   0%                   - seed7-move-to-line
           3   0%                    - seed7-to-previous-non-empty-line
           3   0%                     - seed7-inside-comment-p
           3   0%                      - syntax-ppss
           3   0%                         parse-partial-sexp
           1   0%                  - seed7-current-line-start-inside-comment-p
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           1   0%                  - seed7-line-inside-parens-pair-column
           1   0%                   - seed7-line-inside-parens-pair
           1   0%                    - seed7-re-search-backward
           1   0%                     - run-with-timer
           1   0%                      - run-at-time
           1   0%                       - timer-set-time
           1   0%                          timer--time-setter
           1   0%                  - seed7-line-inside-logic-check-expression
