         336  80% - ...
         336  80%  - pel-profile-dir
         336  80%   - pel-profile-indent
         336  80%    - pel-profile-indentation-test-of
         336  80%     - call-interactively
         336  80%      - apply
         336  80%       - call-interactively@ido-cr+-record-current-command
         336  80%        - #<primitive-function call-interactively>
         336  80%         - funcall-interactively
         208  50%          - pel-profile-all
         208  50%           - pel-profile-dir
         208  50%            - pel-profile-indent
         208  50%             - pel-profile-indentation-test-of
         208  50%              - call-interactively
         208  50%               - apply
         208  50%                - call-interactively@ido-cr+-record-current-command
         208  50%                 - #<primitive-function call-interactively>
         208  50%                  - funcall-interactively
         208  50%                   - seed7-complete-statement-or-indent
         208  50%                    - seed7-indent-region
         208  50%                     - seed7--indent-one-line
         208  50%                      - seed7-calc-indent
          87  20%                       - seed7-line-is-defun-end
          72  17%                        - seed7-end-of-defun
          56  13%                         - seed7-top-block-name
          54  12%                          - seed7--to-top
          52  12%                           - seed7-re-search-backward
          34   8%                            - seed7-inside-comment-p
          34   8%                             - syntax-ppss
          34   8%                                parse-partial-sexp
          15   3%                            - run-with-timer
          15   3%                             - run-at-time
          11   2%                              - timer-activate
          11   2%                               - timer--activate
          11   2%                                  timer--time-less-p
           4   0%                              - timer-set-time
           4   0%                                 timer--time-setter
           2   0%                            - seed7-inside-string-p
           2   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           2   0%                           - run-with-timer
           2   0%                            - run-at-time
           1   0%                             - timer-activate
           1   0%                              - timer--activate
           1   0%                                 timer--time-less-p
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           2   0%                          - seed7--block-name
           2   0%                           - seed7-re-search-forward
           1   0%                            - seed7-inside-string-p
           1   0%                             - #<byte-code-function DC2>
           1   0%                                set-match-data
          13   3%                         - seed7-re-search-forward
           6   1%                          - seed7-inside-comment-p
           6   1%                           - syntax-ppss
           5   1%                              parse-partial-sexp
           1   0%                            - syntax-propertize
           1   0%                               seed7-mode-syntax-propertize
           4   0%                          - seed7-inside-string-p
           4   0%                           - syntax-ppss
           4   0%                              parse-partial-sexp
           3   0%                         - seed7-re-search-backward
           2   0%                          - run-with-timer
           2   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                            - timer-set-time
