      6,523,091  99% - ...
      6,523,091  99%  - #<primitive-function call-interactively>
      6,523,091  99%   - funcall-interactively
      6,523,091  99%    - smex
      6,523,091  99%     - smex-read-and-run
      6,523,091  99%      - execute-extended-command
      6,523,091  99%       - command-execute
      6,523,091  99%        - call-interactively
      6,523,091  99%         - apply
      6,523,091  99%          - call-interactively@ido-cr+-record-current-command
      6,523,091  99%           - #<primitive-function call-interactively>
      6,523,091  99%            - funcall-interactively
      6,523,091  99%             - pel-profile-all
      6,523,091  99%              - pel-profile-dir
      6,523,091  99%               - pel-profile-indent
      6,523,091  99%                - pel-profile-indentation-test-of
      4,959,191  75%                 - call-interactively
      4,959,191  75%                  - apply
      4,959,191  75%                   - call-interactively@ido-cr+-record-current-command
      4,959,191  75%                    - #<primitive-function call-interactively>
      4,959,191  75%                     - funcall-interactively
      4,959,175  75%                      - seed7-complete-statement-or-indent
      4,959,175  75%                       - seed7-indent-region
      4,959,175  75%                        - seed7--indent-one-line
      4,959,175  75%                         - seed7-calc-indent
        938,439  14%                          - seed7-line-is-defun-end
        277,440   4%                             looking-back
        238,092   3%                           - seed7-line-starts-with-any
        238,092   3%                              seed7-line-starts-with
        207,087   3%                           - seed7-beg-of-defun
         60,568   0%                            - seed7-re-search-backward
         34,848   0%                             - run-with-timer
         34,848   0%                              - run-at-time
         16,992   0%                               - timer-activate
         16,992   0%                                - timer--activate
         16,992   0%                                   timer--time-less-p
         10,944   0%                                 timer-relative-time
          6,912   0%                               - timer-set-time
          6,912   0%                                  timer--time-setter
         25,720   0%                               re-search-backward
         57,872   0%                            - seed7-re-search-backward-closest
         57,872   0%                             - seed7-re-search-backward
         34,640   0%                                re-search-backward
         23,232   0%                              - run-with-timer
         23,232   0%                               - run-at-time
         11,328   0%                                - timer-activate
         11,328   0%                                 - timer--activate
         11,328   0%                                    timer--time-less-p
          7,296   0%                                  timer-relative-time
          4,608   0%                                - timer-set-time
          4,608   0%                                   timer--time-setter
         26,704   0%                            - seed7-top-block-name
         14,864   0%                             - seed7--block-name
         14,864   0%                                seed7-re-search-forward
         11,840   0%                             - seed7--to-top
          7,968   0%                              - seed7-re-search-backward
          4,096   0%                                 re-search-backward
          3,872   0%                               - run-with-timer
