         541  90% - ...
         541  90%  - pel-profile-indentation-test-of
         541  90%   - call-interactively
         541  90%    - apply
         541  90%     - call-interactively@ido-cr+-record-current-command
         541  90%      - #<primitive-function call-interactively>
         541  90%       - funcall-interactively
         526  88%        - pel-profile-all
         526  88%         - pel-profile-dir
         526  88%          - pel-profile-indent
         526  88%           - pel-profile-indentation-test-of
         526  88%            - call-interactively
         526  88%             - apply
         526  88%              - call-interactively@ido-cr+-record-current-command
         526  88%               - #<primitive-function call-interactively>
         526  88%                - funcall-interactively
         526  88%                 - seed7-complete-statement-or-indent
         526  88%                  - seed7-indent-region
         525  88%                   - seed7--indent-one-line
         524  87%                    - seed7-calc-indent
         394  66%                     - seed7-line-inside-parens-pair-column
         394  66%                      - seed7-line-inside-parens-pair
         387  64%                       - seed7-re-search-backward
         251  42%                        - run-with-timer
         251  42%                         - run-at-time
         194  32%                          - timer-activate
         194  32%                           - timer--activate
         194  32%                            - timer--time-less-p
           2   0%                               timer--time
          50   8%                          - timer-set-time
          50   8%                             timer--time-setter
           7   1%                            timer-relative-time
         134  22%                        - seed7-inside-comment-p
         134  22%                         - syntax-ppss
         134  22%                            parse-partial-sexp
           2   0%                        - #<byte-code-function 388>
           1   0%                           cancel-timer
           2   0%                       - forward-sexp
           2   0%                          seed7--forward-sexp-function
           1   0%                       - seed7-line-inside-syntax-parens-pair
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
          63  10%                     - seed7--indent-search-boundary
          63  10%                      - seed7--indent-search-boundary-uncached
          62  10%                       - syntax-ppss
          62  10%                          parse-partial-sexp
          36   6%                     - seed7-line-inside-a-block-cached
          36   6%                      - seed7-line-inside-a-block
          25   4%                       - seed7-re-search-backward
          15   2%                        - run-with-timer
          15   2%                         - run-at-time
          14   2%                          - timer-activate
          14   2%                           - timer--activate
          14   2%                              timer--time-less-p
           1   0%                          - timer-set-time
           1   0%                             timer--time-setter
           7   1%                        - seed7-inside-comment-p
           7   1%                         - syntax-ppss
           7   1%                            parse-partial-sexp
           2   0%                          re-search-backward
           1   0%                        - seed7-inside-string-p
           1   0%                         - syntax-ppss
           1   0%                            syntax-table
           9   1%                       - seed7--safe-enclosing-block-bounds
           9   1%                        - seed7--block-end-pos-for
           9   1%                         - seed7-to-block-forward
           6   1%                          - seed7-re-search-forward
           5   0%                           - seed7-inside-comment-p
           5   0%                            - syntax-ppss
           3   0%                             - syntax-propertize
           2   0%                                seed7-mode-syntax-propertize
           2   0%                               parse-partial-sexp
           1   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
           3   0%                          - seed7-end-of-defun
           2   0%                           - seed7-top-block-name
           2   0%                            - seed7--to-top
           2   0%                             - seed7-re-search-backward
           1   0%                              - seed7-inside-comment-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
           1   0%                              - run-with-timer
           1   0%                               - run-at-time
           1   0%                                - timer-activate
           1   0%                                 - timer--activate
           1   0%                                    timer--time-less-p
           1   0%                             seed7-re-search-forward
           1   0%                       - replace-regexp-in-string
           1   0%                          concat
           9   1%                     - seed7-line-inside-assign-statement-continuation
           8   1%                      - seed7-assign-op-pos
           8   1%                       - seed7-re-search-backward
           4   0%                        - run-with-timer
           4   0%                         - run-at-time
           2   0%                          - timer-set-time
           2   0%                             timer--time-setter
           2   0%                          - timer-activate
           2   0%                           - timer--activate
           2   0%                              timer--time-less-p
           4   0%                        - seed7-inside-comment-p
           4   0%                         - syntax-ppss
           4   0%                            parse-partial-sexp
           1   0%                      - seed7-statement-end-pos
           1   0%                       - seed7-forward-char-pos
           1   0%                        - seed7-re-search-forward
           1   0%                         - seed7-inside-string-p
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           6   1%                     - seed7-line-inside-array-definition-block
           6   1%                      - seed7-re-search-backward
           5   0%                       - run-with-timer
           5   0%                        - run-at-time
           5   0%                         - timer-activate
           5   0%                          - timer--activate
           5   0%                             timer--time-less-p
           1   0%                         re-search-backward
           5   0%                     - seed7-comment-column
           3   0%                      - seed7-calc-indent
           1   0%                       - seed7-line-inside-set-definition-block
           1   0%                        - seed7-re-search-backward
           1   0%                         - run-with-timer
           1   0%                          - run-at-time
           1   0%                           - timer-activate
