          43  71% - ...
          43  71%  - pel-profile-dir
          43  71%   - pel-profile-indent
          43  71%    - pel-profile-indentation-test-of
          43  71%     - call-interactively
          43  71%      - apply
          43  71%       - call-interactively@ido-cr+-record-current-command
          43  71%        - #<primitive-function call-interactively>
          43  71%         - funcall-interactively
          25  41%          - pel-profile-all
          25  41%           - pel-profile-dir
          25  41%            - pel-profile-indent
          25  41%             - pel-profile-indentation-test-of
          25  41%              - call-interactively
          25  41%               - apply
          25  41%                - call-interactively@ido-cr+-record-current-command
          25  41%                 - #<primitive-function call-interactively>
          25  41%                  - funcall-interactively
          25  41%                   - seed7-complete-statement-or-indent
          25  41%                    - seed7-indent-region
          25  41%                     - seed7--indent-one-line
          25  41%                      - seed7-calc-indent
          17  28%                       - seed7-comment-column
          12  20%                        - seed7-calc-indent
           4   6%                         - seed7-line-after-short-func-end
           4   6%                          - seed7-move-to-line
           4   6%                           - seed7-to-previous-non-empty-line
           4   6%                            - seed7-inside-comment-p
           4   6%                             - syntax-ppss
           4   6%                                parse-partial-sexp
           2   3%                         - seed7-line-inside-parens-pair-column
           2   3%                          - seed7-line-inside-parens-pair
           2   3%                           - seed7-re-search-backward
           2   3%                            - seed7-inside-comment-p
           2   3%                             - syntax-ppss
           2   3%                                parse-partial-sexp
           2   3%                         - seed7-line-after-func-return-logic-operator-column
           2   3%                          - seed7-move-to-line
           2   3%                           - seed7-to-previous-non-empty-line
           2   3%                            - seed7-inside-comment-p
           2   3%                             - syntax-ppss
           2   3%                                parse-partial-sexp
           1   1%                         - seed7-line-is-defun-end
           1   1%                          - seed7-move-to-line
           1   1%                           - seed7-to-previous-non-empty-line
           1   1%                            - seed7-inside-comment-p
           1   1%                             - syntax-ppss
           1   1%                                parse-partial-sexp
           1   1%                         - seed7-line-starts-with-open-paren-after-logic-operator
           1   1%                          - seed7-move-to-line
           1   1%                           - seed7-to-previous-non-empty-line
           1   1%                            - seed7-inside-comment-p
           1   1%                             - syntax-ppss
           1   1%                                syntax-ppss--data
           1   1%                         - seed7-line-at-endof-set-definition-block
           1   1%                          - seed7-move-to-line
           1   1%                           - seed7-to-previous-non-empty-line
           1   1%                            - seed7-inside-comment-p
           1   1%                             - syntax-ppss
           1   1%                                parse-partial-sexp
           1   1%                         - seed7-line-inside-array-definition-block
           1   1%                            seed7-move-to-line
           5   8%                        - seed7-line-code-ends-with
           4   6%                         - seed7-move-to-line
           4   6%                          - seed7-to-previous-non-empty-line
           3   5%                           - seed7-inside-comment-p
           3   5%                            - syntax-ppss
           3   5%                               parse-partial-sexp
           1   1%                         - seed7-re-search-backward
           1   1%                          - seed7-inside-comment-p
           1   1%                           - syntax-ppss
           1   1%                              parse-partial-sexp
           5   8%                       - seed7--indent-search-boundary
           5   8%                        - seed7--indent-search-boundary-uncached
           5   8%                         - syntax-ppss
           5   8%                            parse-partial-sexp
           3   5%                       - seed7-line-is-defun-end
           1   1%                        - seed7-line-starts-with-any
           1   1%                           seed7-line-starts-with
           1   1%                          line-beginning-position
           1   1%                        - seed7--safe-current-line-defun-start-indent
           1   1%                         - seed7-to-block-backward
           1   1%                          - seed7-re-search-backward
           1   1%                           - seed7-inside-comment-p
           1   1%                            - syntax-ppss
           1   1%                               parse-partial-sexp
          18  30%          - seed7-complete-statement-or-indent
          18  30%           - seed7-indent-region
          18  30%            - seed7--indent-one-line
          18  30%             - seed7-calc-indent
           8  13%              - seed7-line-inside-a-block-cached
           8  13%               - seed7-line-inside-a-block
           5   8%                - seed7--safe-enclosing-block-bounds
           5   8%                 - seed7--block-end-pos-for
           5   8%                  - seed7-to-block-forward
           5   8%                   - seed7-end-of-defun
           3   5%                    - seed7-top-block-name
           3   5%                     - seed7--to-top
           3   5%                      - seed7-re-search-backward
           2   3%                       - run-with-timer
           2   3%                        - run-at-time
           2   3%                         - timer-activate
           2   3%                          - timer--activate
           2   3%                             timer--time-less-p
           1   1%                       - seed7-inside-comment-p
           1   1%                        - syntax-ppss
           1   1%                           parse-partial-sexp
           2   3%                    - seed7-re-search-backward
           1   1%                     - run-with-timer
           1   1%                      - run-at-time
           1   1%                       - timer-activate
           1   1%                        - timer--activate
           1   1%                           timer--time-less-p
           1   1%                     - seed7-inside-comment-p
           1   1%                      - syntax-ppss
           1   1%                         parse-partial-sexp
           2   3%                - seed7-re-search-backward
           2   3%                 - seed7-inside-comment-p
           2   3%                  - syntax-ppss
           2   3%                     parse-partial-sexp
           1   1%                - seed7-calc-indent
           1   1%                 - seed7-line-is-defun-end
           1   1%                  - seed7-move-to-line
           1   1%                   - seed7-to-previous-non-empty-line
           1   1%                    - seed7-inside-comment-p
           1   1%                     - syntax-ppss
           1   1%                        parse-partial-sexp
           6  10%              - seed7--current-line-nth-word
           6  10%               - thing-at-point
           6  10%                - bounds-of-thing-at-point
           5   8%                 - #<byte-code-function FB3>
           5   8%                  - forward-thing
           5   8%                   - forward-word
           5   8%                    - internal--syntax-propertize
           5   8%                     - syntax-propertize
           5   8%                        seed7-mode-syntax-propertize
           1   1%                 - #<byte-code-function 7D2>
           1   1%                  - forward-thing
           1   1%                     forward-word
           1   1%              - seed7-line-starts-with
           1   1%               - seed7-move-to-line
           1   1%                - seed7-to-previous-non-empty-line
           1   1%                 - seed7-inside-comment-p
           1   1%                  - syntax-ppss
           1   1%                     parse-partial-sexp
           1   1%              - seed7-line-inside-parens-pair-column
           1   1%               - seed7-line-inside-parens-pair
           1   1%                - seed7-re-search-backward
           1   1%                 - seed7-inside-comment-p
           1   1%                  - syntax-ppss
           1   1%                     parse-partial-sexp
           1   1%              - seed7-line-inside-assign-statement-continuation
           1   1%               - seed7-statement-end-pos
           1   1%                - seed7-forward-char-pos
           1   1%                 - seed7-re-search-forward
           1   1%                  - seed7-inside-comment-p
           1   1%                   - syntax-ppss
           1   1%                      parse-partial-sexp
           1   1%              - seed7--indent-search-boundary
           1   1%               - seed7--indent-search-boundary-uncached
           1   1%                - syntax-ppss
           1   1%                   syntax-propertize
          17  28%   Automatic GC
