     24,589,881  99% - ...
     24,589,881  99%  - #<primitive-function call-interactively>
     24,589,881  99%   - funcall-interactively
     24,589,881  99%    - smex
     24,589,881  99%     - smex-read-and-run
     24,589,881  99%      - execute-extended-command
     24,589,881  99%       - command-execute
     24,589,881  99%        - call-interactively
     24,589,881  99%         - apply
     24,589,881  99%          - call-interactively@ido-cr+-record-current-command
     24,589,881  99%           - #<primitive-function call-interactively>
     24,589,881  99%            - funcall-interactively
     24,589,881  99%             - pel-profile-all
     24,589,881  99%              - pel-profile-dir
     24,589,881  99%               - pel-profile-indent
     24,589,881  99%                - pel-profile-indentation-test-of
     23,020,349  93%                 - call-interactively
     23,020,349  93%                  - apply
     23,020,349  93%                   - call-interactively@ido-cr+-record-current-command
     23,020,349  93%                    - #<primitive-function call-interactively>
     23,020,349  93%                     - funcall-interactively
     23,020,333  93%                      - seed7-complete-statement-or-indent
     23,020,333  93%                       - seed7-indent-region
     23,020,333  93%                        - seed7--indent-one-line
     23,020,333  93%                         - seed7-calc-indent
      5,588,341  22%                          - seed7-line-is-defun-end
      1,757,316   7%                           - seed7-end-of-defun
      1,471,360   5%                            - seed7-top-block-name
      1,471,360   5%                             - seed7--to-top
      1,386,176   5%                              - seed7-re-search-backward
      1,386,176   5%                               - run-with-timer
      1,386,176   5%                                - run-at-time
        675,904   2%                                 - timer-activate
        675,904   2%                                  - timer--activate
        675,904   2%                                     timer--time-less-p
        435,328   1%                                   timer-relative-time
        274,944   1%                                 - timer-set-time
        274,944   1%                                    timer--time-setter
         85,184   0%                              - run-with-timer
         85,184   0%                               - run-at-time
         41,536   0%                                - timer-activate
         41,536   0%                                 - timer--activate
         41,536   0%                                    timer--time-less-p
         26,752   0%                                  timer-relative-time
         16,896   0%                                - timer-set-time
         16,896   0%                                   timer--time-setter
        108,804   0%                            - seed7-re-search-forward
         38,924   0%                             - seed7-inside-comment-p
         38,924   0%                              - syntax-ppss
         38,924   0%                               - syntax-propertize
         38,924   0%                                  seed7-mode-syntax-propertize
         12,280   0%                             - internal--syntax-propertize
         12,280   0%                              - syntax-propertize
         12,280   0%                                 seed7-mode-syntax-propertize
         85,184   0%                            - seed7-re-search-backward
         85,184   0%                             - run-with-timer
         85,184   0%                              - run-at-time
         41,536   0%                               - timer-activate
         41,536   0%                                - timer--activate
         41,536   0%                                   timer--time-less-p
         26,752   0%                                 timer-relative-time
         16,896   0%                               - timer-set-time
         16,896   0%                                  timer--time-setter
         16,368   0%                              match-string-no-properties
      1,257,754   5%                           - seed7-beg-of-defun
        500,570   2%                            - seed7-re-search-backward
        377,520   1%                             - run-with-timer
        377,520   1%                              - run-at-time
        184,080   0%                               - timer-activate
        184,080   0%                                - timer--activate
        184,080   0%                                   timer--time-less-p
        118,560   0%                                 timer-relative-time
         74,880   0%                               - timer-set-time
         74,880   0%                                  timer--time-setter
        123,050   0%                               re-search-backward
        265,758   1%                            - seed7-re-search-backward-closest
        265,758   1%                             - seed7-re-search-backward
        153,470   0%                                re-search-backward
        112,288   0%                              - run-with-timer
        112,288   0%                               - run-at-time
         54,752   0%                                - timer-activate
         54,752   0%                                 - timer--activate
         54,752   0%                                    timer--time-less-p
         35,264   0%                                  timer-relative-time
         22,272   0%                                - timer-set-time
         22,272   0%                                   timer--time-setter
        141,216   0%                            - seed7-top-block-name
         84,160   0%                             - seed7--to-top
         57,056   0%                              - seed7-re-search-backward
         29,952   0%                                 re-search-backward
         27,104   0%                               - run-with-timer
         27,104   0%                                - run-at-time
         13,216   0%                                 - timer-activate
         13,216   0%                                  - timer--activate
         13,216   0%                                     timer--time-less-p
          8,512   0%                                   timer-relative-time
          5,376   0%                                 - timer-set-time
          5,376   0%                                    timer--time-setter
         27,104   0%                              - run-with-timer
         27,104   0%                               - run-at-time
         13,216   0%                                - timer-activate
         13,216   0%                                 - timer--activate
         13,216   0%                                    timer--time-less-p
          8,512   0%                                  timer-relative-time
          5,376   0%                                - timer-set-time
          5,376   0%                                   timer--time-setter
         57,056   0%                             - seed7--block-name
         57,056   0%                                seed7-re-search-forward
         24,552   0%                              match-string
         16,368   0%                              match-string-no-properties
          8,184   0%                            - user-error
          8,184   0%                               format-message
      1,057,647   4%                           - seed7-line-starts-with-any
      1,057,647   4%                              seed7-line-starts-with
      1,029,408   4%                             looking-back
        325,624   1%                           - seed7-move-to-line
        325,624   1%                              seed7-to-previous-non-empty-line
         89,016   0%                           - seed7--current-line-nth-word
         89,016   0%                            - thing-at-point
         89,016   0%                             - bounds-of-thing-at-point
         57,288   0%                              - #<byte-code-function A46>
         57,288   0%                               - forward-thing
         57,288   0%                                  format
         16,368   0%                              - #<byte-code-function BAA>
         16,368   0%                               - forward-thing
         16,368   0%                                  format
         15,360   0%                                re-search-forward
         71,576   0%                           - seed7--safe-current-line-defun-start-indent
         71,576   0%                            - seed7-to-block-backward
         47,024   0%                             - seed7-re-search-backward
         36,784   0%                              - run-with-timer
         36,784   0%                               - run-at-time
         17,936   0%                                - timer-activate
         17,936   0%                                 - timer--activate
         17,936   0%                                    timer--time-less-p
         11,552   0%                                  timer-relative-time
          7,296   0%                                - timer-set-time
          7,296   0%                                   timer--time-setter
         10,240   0%                                re-search-backward
         24,552   0%                             - seed7--current-line-nth-word
         24,552   0%                              - thing-at-point
         16,368   0%                               - bounds-of-thing-at-point
         16,368   0%                                - #<byte-code-function 42B>
         16,368   0%                                 - forward-thing
         16,368   0%                                    format
      4,999,276  20%                          - seed7-line-inside-a-block-cached
      4,999,276  20%                           - seed7-line-inside-a-block
      2,554,001  10%                            - seed7--safe-enclosing-block-bounds
      2,554,001  10%                             - seed7--block-end-pos-for
      2,390,993   9%                              - seed7-to-block-forward
      1,410,874   5%                               - seed7-end-of-defun
      1,240,185   5%                                - seed7-top-block-name
      1,220,737   4%                                 - seed7--to-top
      1,135,553   4%                                  - seed7-re-search-backward
      1,107,392   4%                                   - run-with-timer
      1,107,392   4%                                    - run-at-time
        539,968   2%                                     - timer-activate
        539,968   2%                                      - timer--activate
        539,968   2%                                         timer--time-less-p
        347,776   1%                                       timer-relative-time
        219,648   0%                                     - timer-set-time
        219,648   0%                                        timer--time-setter
         16,897   0%                                   - seed7-inside-comment-p
         16,897   0%                                    - syntax-ppss
         16,897   0%                                     - syntax-propertize
         16,897   0%                                        seed7-mode-syntax-propertize
         11,264   0%                                     re-search-backward
         85,184   0%                                  - run-with-timer
         85,184   0%                                   - run-at-time
         41,536   0%                                    - timer-activate
         41,536   0%                                     - timer--activate
         41,536   0%                                        timer--time-less-p
         26,752   0%                                      timer-relative-time
         16,896   0%                                    - timer-set-time
         16,896   0%                                       timer--time-setter
         19,448   0%                                 - seed7--block-name
         19,448   0%                                    seed7-re-search-forward
         85,184   0%                                - seed7-re-search-backward
         85,184   0%                                 - run-with-timer
         85,184   0%                                  - run-at-time
         41,536   0%                                   - timer-activate
         41,536   0%                                    - timer--activate
         41,536   0%                                       timer--time-less-p
         26,752   0%                                     timer-relative-time
         16,896   0%                                   - timer-set-time
         16,896   0%                                      timer--time-setter
         51,713   0%                                - seed7-re-search-forward
         25,089   0%                                 - internal--syntax-propertize
         25,089   0%                                  - syntax-propertize
         25,089   0%                                     seed7-mode-syntax-propertize
          2,048   0%                                 - seed7-inside-comment-p
          2,048   0%                                  - syntax-ppss
          2,048   0%                                   - syntax-propertize
          2,048   0%                                      seed7-mode-syntax-propertize
        490,775   1%                                 seed7-re-search-forward
        333,824   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
        147,336   0%                               - seed7--current-line-nth-word
        147,336   0%                                - thing-at-point
        106,416   0%                                 - bounds-of-thing-at-point
         49,104   0%                                  - #<byte-code-function 6BD>
         49,104   0%                                   - forward-thing
         49,104   0%                                      format
         32,736   0%                                  - #<byte-code-function 0EB>
         32,736   0%                                   - forward-thing
         32,736   0%                                      format
         24,576   0%                                    re-search-forward
          8,184   0%                               - seed7--end-regexp-for
          8,184   0%                                  seed7--type-regexp
        111,808   0%                              - seed7--line-ends-a-statement-p
        101,568   0%                                 looking-at
         10,240   0%                               - forward-sexp
         10,240   0%                                  seed7--forward-sexp-function
          1,024   0%                              - seed7-re-search-forward-closest
          1,024   0%                                 seed7-re-search-forward
      1,055,930   4%                            - seed7-calc-indent
        550,440   2%                             - seed7-line-inside-parens-pair-column
        550,440   2%                              - seed7-line-inside-parens-pair
        544,296   2%                               - seed7-re-search-backward
        539,176   2%                                - run-with-timer
        539,176   2%                                 - run-at-time
        262,904   1%                                  - timer-activate
        262,904   1%                                   - timer--activate
        262,904   1%                                      timer--time-less-p
        169,328   0%                                    timer-relative-time
        106,944   0%                                  - timer-set-time
        106,944   0%                                     timer--time-setter
          5,120   0%                                  re-search-backward
          6,144   0%                               - forward-sexp
          6,144   0%                                  seed7--forward-sexp-function
        198,498   0%                             - seed7-line-is-defun-end
         67,554   0%                              - seed7-beg-of-defun
         35,084   0%                               - seed7-re-search-backward
         21,296   0%                                - run-with-timer
         21,296   0%                                 - run-at-time
         10,384   0%                                  - timer-activate
         10,384   0%                                   - timer--activate
         10,384   0%                                      timer--time-less-p
          6,688   0%                                    timer-relative-time
          4,224   0%                                  - timer-set-time
          4,224   0%                                     timer--time-setter
         13,788   0%                                  re-search-backward
         12,406   0%                               - seed7-re-search-backward-closest
         12,406   0%                                - seed7-re-search-backward
          6,598   0%                                   re-search-backward
          5,808   0%                                 - run-with-timer
          5,808   0%                                  - run-at-time
          2,832   0%                                   - timer-activate
          2,832   0%                                    - timer--activate
          2,832   0%                                       timer--time-less-p
          1,824   0%                                     timer-relative-time
          1,152   0%                                   - timer-set-time
          1,152   0%                                      timer--time-setter
          3,984   0%                               - seed7-top-block-name
          2,960   0%                                - seed7--to-top
          1,992   0%                                 - seed7-re-search-backward
          1,024   0%                                    re-search-backward
            968   0%                                  - run-with-timer
            968   0%                                   - run-at-time
            472   0%                                    - timer-activate
            472   0%                                     - timer--activate
            472   0%                                        timer--time-less-p
            304   0%                                      timer-relative-time
            192   0%                                    - timer-set-time
            192   0%                                       timer--time-setter
            968   0%                                 - run-with-timer
            968   0%                                  - run-at-time
            472   0%                                   - timer-activate
            472   0%                                    - timer--activate
            472   0%                                       timer--time-less-p
            304   0%                                     timer-relative-time
            192   0%                                   - timer-set-time
            192   0%                                      timer--time-setter
          1,024   0%                                - seed7--block-name
          1,024   0%                                   seed7-re-search-forward
         61,320   0%                              - seed7-end-of-defun
         52,272   0%                               - seed7-top-block-name
         52,272   0%                                - seed7--to-top
         49,368   0%                                 - seed7-re-search-backward
         49,368   0%                                  - run-with-timer
         49,368   0%                                   - run-at-time
         24,072   0%                                    - timer-activate
         24,072   0%                                     - timer--activate
         24,072   0%                                        timer--time-less-p
         15,504   0%                                      timer-relative-time
          9,792   0%                                    - timer-set-time
          9,792   0%                                       timer--time-setter
          2,904   0%                                 - run-with-timer
          2,904   0%                                  - run-at-time
          1,416   0%                                   - timer-activate
          1,416   0%                                    - timer--activate
          1,416   0%                                       timer--time-less-p
            912   0%                                     timer-relative-time
            576   0%                                   - timer-set-time
            576   0%                                      timer--time-setter
          4,096   0%                               - seed7-re-search-forward
          2,048   0%                                - seed7-inside-comment-p
          2,048   0%                                 - syntax-ppss
          2,048   0%                                  - syntax-propertize
          2,048   0%                                     seed7-mode-syntax-propertize
          2,904   0%                               - seed7-re-search-backward
          2,904   0%                                - run-with-timer
          2,904   0%                                 - run-at-time
          1,416   0%                                  - timer-activate
          1,416   0%                                   - timer--activate
          1,416   0%                                      timer--time-less-p
            912   0%                                    timer-relative-time
            576   0%                                  - timer-set-time
            576   0%                                     timer--time-setter
         33,792   0%                              - seed7-line-starts-with-any
         33,792   0%                                 seed7-line-starts-with
         21,504   0%                                looking-back
          8,184   0%                              - seed7--current-line-nth-word
          8,184   0%                               - thing-at-point
          8,184   0%                                - bounds-of-thing-at-point
          8,184   0%                                 - #<byte-code-function F8B>
          8,184   0%                                  - forward-thing
          8,184   0%                                     format
          6,144   0%                              - seed7-move-to-line
          6,144   0%                                 seed7-to-previous-non-empty-line
        137,000   0%                             - seed7-line-inside-a-block-cached
        137,000   0%                              - seed7-line-inside-a-block
         97,112   0%                               - seed7--safe-enclosing-block-bounds
         97,112   0%                                - seed7--block-end-pos-for
         75,480   0%                                 - seed7-to-block-forward
         67,288   0%                                  - seed7-end-of-defun
         54,208   0%                                   - seed7-top-block-name
         54,208   0%                                    - seed7--to-top
         50,336   0%                                     - seed7-re-search-backward
         50,336   0%                                      - run-with-timer
         50,336   0%                                       - run-at-time
         24,544   0%                                        - timer-activate
         24,544   0%                                         - timer--activate
         24,544   0%                                            timer--time-less-p
         15,808   0%                                          timer-relative-time
          9,984   0%                                        - timer-set-time
          9,984   0%                                           timer--time-setter
          3,872   0%                                     - run-with-timer
          3,872   0%                                      - run-at-time
          1,888   0%                                       - timer-activate
          1,888   0%                                        - timer--activate
          1,888   0%                                           timer--time-less-p
          1,216   0%                                         timer-relative-time
            768   0%                                       - timer-set-time
            768   0%                                          timer--time-setter
          8,184   0%                                     match-string
          3,872   0%                                   - seed7-re-search-backward
          3,872   0%                                    - run-with-timer
          3,872   0%                                     - run-at-time
          1,888   0%                                      - timer-activate
          1,888   0%                                       - timer--activate
          1,888   0%                                          timer--time-less-p
          1,216   0%                                        timer-relative-time
            768   0%                                      - timer-set-time
            768   0%                                         timer--time-setter
          4,096   0%                                    seed7-re-search-forward
          3,072   0%                                    seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          1,024   0%                                  - seed7--current-line-nth-word
