          69  86% - ...
          69  86%  - pel-profile-indentation-test-of
          69  86%   - call-interactively
          69  86%    - apply
          69  86%     - call-interactively@ido-cr+-record-current-command
          69  86%      - #<primitive-function call-interactively>
          69  86%       - funcall-interactively
          40  50%        - pel-profile-all
          40  50%         - pel-profile-dir
          40  50%          - pel-profile-indent
          40  50%           - pel-profile-indentation-test-of
          40  50%            - call-interactively
          40  50%             - apply
          40  50%              - call-interactively@ido-cr+-record-current-command
          40  50%               - #<primitive-function call-interactively>
          40  50%                - funcall-interactively
          40  50%                 - seed7-complete-statement-or-indent
          40  50%                  - seed7-indent-region
          40  50%                   - seed7--indent-one-line
          40  50%                    - seed7-calc-indent
          22  27%                     - seed7-line-inside-parens-pair-column
          22  27%                      - seed7-line-inside-parens-pair
          22  27%                       - seed7-re-search-backward
          20  25%                        - run-with-timer
          20  25%                         - run-at-time
          17  21%                          - timer-activate
          17  21%                           - timer--activate
          17  21%                              timer--time-less-p
           3   3%                          - timer-set-time
           3   3%                             timer--time-setter
           2   2%                        - seed7-inside-comment-p
           2   2%                         - syntax-ppss
           2   2%                            parse-partial-sexp
          10  12%                     - seed7--indent-search-boundary
          10  12%                      - seed7--indent-search-boundary-uncached
          10  12%                       - syntax-ppss
          10  12%                          parse-partial-sexp
           5   6%                     - seed7-line-inside-set-definition-block
           5   6%                      - seed7-re-search-backward
           4   5%                       - run-with-timer
           4   5%                        - run-at-time
           2   2%                         - timer-activate
           2   2%                          - timer--activate
           2   2%                             timer--time-less-p
           2   2%                         - timer-set-time
           2   2%                            timer--time-setter
           1   1%                         re-search-backward
           1   1%                     - seed7-line-inside-func-return-statement
           1   1%                      - seed7-re-search-backward
           1   1%                       - run-with-timer
           1   1%                        - run-at-time
           1   1%                         - timer-set-time
           1   1%                            timer--time-setter
           1   1%                     - seed7-line-inside-a-block-cached
           1   1%                        seed7-line-inside-a-block
           1   1%                     - seed7-line-inside-array-definition-block
           1   1%                      - seed7-re-search-backward
           1   1%                         re-search-backward
          29  36%        - seed7-complete-statement-or-indent
          29  36%         - seed7-indent-region
          29  36%          - seed7--indent-one-line
          29  36%           - seed7-calc-indent
           8  10%            - seed7-line-inside-a-block-cached
           8  10%             - seed7-line-inside-a-block
           4   5%              - seed7--safe-enclosing-block-bounds
           4   5%               - seed7--block-end-pos-for
           4   5%                - seed7-to-block-forward
           4   5%                 - seed7-end-of-defun
           3   3%                  - seed7-top-block-name
           3   3%                   - seed7--to-top
           3   3%                    - seed7-re-search-backward
           2   2%                     - run-with-timer
           2   2%                      - run-at-time
           1   1%                       - timer-set-time
           1   1%                          timer--time-setter
           1   1%                       - timer-activate
           1   1%                        - timer--activate
           1   1%                           timer--time-less-p
           1   1%                     - seed7-inside-comment-p
           1   1%                      - syntax-ppss
           1   1%                         parse-partial-sexp
           1   1%                  - seed7-re-search-backward
           1   1%                   - run-with-timer
           1   1%                    - run-at-time
           1   1%                     - timer-activate
           1   1%                      - timer--activate
           1   1%                         timer--time-less-p
           3   3%              - seed7-re-search-backward
           2   2%               - run-with-timer
           2   2%                - run-at-time
           2   2%                 - timer-activate
           2   2%                  - timer--activate
           2   2%                     timer--time-less-p
           1   1%               - seed7-inside-comment-p
           1   1%                - syntax-ppss
           1   1%                   parse-partial-sexp
           1   1%              - seed7-calc-indent
           1   1%               - seed7-line-inside-parens-pair-column
           1   1%                - seed7-line-inside-parens-pair
           1   1%                 - seed7-re-search-backward
           1   1%                  - run-with-timer
           1   1%                   - run-at-time
           1   1%                    - timer-set-time
           1   1%                       timer--time-setter
           6   7%            - seed7-comment-column
           4   5%             - seed7-calc-indent
           2   2%              - seed7-line-starts-with-open-paren-after-logic-operator
           2   2%               - seed7-move-to-line
           2   2%                - seed7-to-previous-non-empty-line
           2   2%                 - seed7-inside-comment-p
           2   2%                  - syntax-ppss
           2   2%                     parse-partial-sexp
           1   1%              - seed7-line-inside-set-definition-block
           1   1%               - seed7-re-search-backward
           1   1%                - run-with-timer
           1   1%                 - run-at-time
           1   1%                  - timer-activate
           1   1%                   - timer--activate
           1   1%                      timer--time-less-p
           1   1%              - seed7-line-inside-argument-list-section
           1   1%               - seed7-re-search-backward
           1   1%                - run-with-timer
           1   1%                 - run-at-time
           1   1%                  - timer-activate
           1   1%                   - timer--activate
           1   1%                      timer--time-less-p
           1   1%             - seed7-line-code-ends-with
           1   1%              - seed7-re-search-backward
           1   1%               - run-with-timer
           1   1%                - run-at-time
           1   1%                 - timer-activate
