          40  90% - ...
          40  90%  - pel-profile-dir
          40  90%   - pel-profile-indent
          40  90%    - pel-profile-indentation-test-of
          40  90%     - call-interactively
          40  90%      - apply
          40  90%       - call-interactively@ido-cr+-record-current-command
          40  90%        - #<primitive-function call-interactively>
          40  90%         - funcall-interactively
          40  90%          - seed7-complete-statement-or-indent
          40  90%           - seed7-indent-region
          40  90%            - seed7--indent-one-line
          40  90%             - seed7-calc-indent
          14  31%              - seed7--indent-search-boundary
          14  31%               - seed7--indent-search-boundary-uncached
          14  31%                - syntax-ppss
          14  31%                   parse-partial-sexp
           7  15%              - seed7-line-inside-a-block-cached
           7  15%               - seed7-line-inside-a-block
           4   9%                - seed7-re-search-backward
           3   6%                 - seed7-inside-comment-p
           3   6%                  - syntax-ppss
           3   6%                     parse-partial-sexp
           1   2%                 - run-with-timer
           1   2%                  - run-at-time
           1   2%                     timer-relative-time
           3   6%                - seed7--safe-enclosing-block-bounds
           3   6%                 - seed7--block-end-pos-for
           3   6%                  - seed7-to-block-forward
           3   6%                   - seed7-end-of-defun
           3   6%                    - seed7-top-block-name
           3   6%                     - seed7--to-top
           2   4%                      - seed7-re-search-backward
           1   2%                       - seed7-inside-comment-p
           1   2%                        - syntax-ppss
           1   2%                           parse-partial-sexp
           1   2%                       - run-with-timer
           1   2%                        - run-at-time
           1   2%                         - timer-activate
           1   2%                          - timer--activate
           1   2%                             timer--time-less-p
           1   2%                      - run-with-timer
           1   2%                       - run-at-time
           1   2%                        - timer-set-time
           1   2%                           timer--time-setter
           3   6%              - seed7-comment-column
           3   6%               - seed7-calc-indent
           1   2%                - seed7-line-inside-a-block-cached
           1   2%                 - seed7-line-inside-a-block
           1   2%                  - seed7-re-search-backward
           1   2%                   - run-with-timer
           1   2%                    - run-at-time
           1   2%                     - timer-set-time
           1   2%                        timer--time-setter
           1   2%                - seed7-line-after-func-return-logic-operator-column
           1   2%                 - seed7-move-to-line
           1   2%                  - seed7-to-previous-non-empty-line
           1   2%                   - seed7-inside-comment-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           1   2%                - seed7-line-after-short-func-end
           1   2%                 - seed7-move-to-line
           1   2%                  - seed7-to-previous-non-empty-line
           1   2%                   - seed7-inside-comment-p
           1   2%                    - syntax-ppss
           1   2%                       parse-partial-sexp
           3   6%              - seed7-line-is-defun-end
           1   2%               - seed7-move-to-line
           1   2%                - seed7-to-previous-non-empty-line
           1   2%                 - seed7-inside-comment-p
           1   2%                  - syntax-ppss
           1   2%                     parse-partial-sexp
           1   2%               - seed7-beg-of-defun
           1   2%                - seed7-re-search-backward
           1   2%                 - run-with-timer
           1   2%                  - run-at-time
           1   2%                   - timer-activate
           1   2%                    - timer--activate
           1   2%                       timer--time-less-p
           1   2%               - seed7--safe-current-line-defun-start-indent
           1   2%                - seed7-to-block-backward
           1   2%                 - seed7-re-search-backward
           1   2%                  - seed7-inside-comment-p
           1   2%                   - syntax-ppss
           1   2%                      parse-partial-sexp
           3   6%              - seed7-line-inside-set-definition-block
           3   6%               - seed7-re-search-backward
           3   6%                - run-with-timer
           3   6%                 - run-at-time
           3   6%                  - timer-activate
           3   6%                   - timer--activate
           3   6%                      timer--time-less-p
           3   6%              - seed7--current-line-nth-word
           3   6%               - thing-at-point
           3   6%                - bounds-of-thing-at-point
           3   6%                 - #<byte-code-function 68D>
           3   6%                  - forward-thing
           3   6%                   - forward-word
           3   6%                    - internal--syntax-propertize
           3   6%                     - syntax-propertize
           1   2%                        seed7-mode-syntax-propertize
           1   2%                        #<byte-code-function 806>
           2   4%              - seed7-line-inside-logic-check-expression
           1   2%               - seed7-re-search-forward
           1   2%                - seed7-inside-string-p
           1   2%                 - syntax-ppss
           1   2%                    parse-partial-sexp
           1   2%               - seed7--current-line-nth-word
           1   2%                - thing-at-point
           1   2%                 - bounds-of-thing-at-point
           1   2%                  - #<byte-code-function 7FC>
           1   2%                     forward-thing
           1   2%              - seed7-line-inside-argument-list-section
           1   2%               - seed7-re-search-backward
           1   2%                - run-with-timer
           1   2%                 - run-at-time
           1   2%                  - timer-set-time
           1   2%                     timer--time-setter
           1   2%              - seed7-line-inside-func-return-statement
           1   2%               - seed7-re-search-backward
           1   2%                - run-with-timer
           1   2%                 - run-at-time
           1   2%                  - timer-activate
           1   2%                   - timer--activate
           1   2%                      timer--time-less-p
           1   2%              - seed7-line-after-func-return-logic-operator-column
           1   2%               - seed7-move-to-line
           1   2%                - seed7-to-previous-non-empty-line
           1   2%                 - seed7-inside-comment-p
           1   2%                  - syntax-ppss
           1   2%                     parse-partial-sexp
           1   2%              - seed7-current-line-start-inside-comment-p
           1   2%               - seed7-inside-comment-p
           1   2%                - syntax-ppss
           1   2%                   parse-partial-sexp
           1   2%              - seed7-line-inside-parens-pair-column
           1   2%               - seed7-line-inside-parens-pair
           1   2%                - seed7-re-search-backward
           1   2%                 - run-with-timer
           1   2%                  - run-at-time
           1   2%                   - timer-activate
           1   2%                    - timer--activate
           1   2%                       timer--time-less-p
           4   9%   Automatic GC
