          61  81% - ...
          61  81%  - pel-profile-indentation-test-of
          61  81%   - call-interactively
          61  81%    - apply
          61  81%     - call-interactively@ido-cr+-record-current-command
          61  81%      - #<primitive-function call-interactively>
          61  81%       - funcall-interactively
          50  66%        - pel-profile-all
          50  66%         - pel-profile-dir
          50  66%          - pel-profile-indent
          50  66%           - pel-profile-indentation-test-of
          50  66%            - call-interactively
          50  66%             - apply
          50  66%              - call-interactively@ido-cr+-record-current-command
          50  66%               - #<primitive-function call-interactively>
          50  66%                - funcall-interactively
          50  66%                 - seed7-complete-statement-or-indent
          50  66%                  - seed7-indent-region
          50  66%                   - seed7--indent-one-line
          50  66%                    - seed7-calc-indent
          19  25%                     - seed7--indent-search-boundary
          19  25%                      - seed7--indent-search-boundary-uncached
          18  24%                       - syntax-ppss
          18  24%                          parse-partial-sexp
          11  14%                     - seed7-comment-column
           7   9%                      - seed7-calc-indent
           3   4%                       - seed7-line-at-endof-array-definition-block
           3   4%                        - seed7-move-to-line
           3   4%                         - seed7-to-previous-non-empty-line
           2   2%                          - seed7-inside-comment-p
           2   2%                           - syntax-ppss
           2   2%                              parse-partial-sexp
           2   2%                       - seed7-line-starts-with-open-paren-after-logic-operator
           2   2%                        - seed7-move-to-line
           2   2%                         - seed7-to-previous-non-empty-line
           1   1%                          - seed7-inside-comment-p
           1   1%                           - syntax-ppss
           1   1%                              parse-partial-sexp
           1   1%                       - seed7-line-inside-parens-pair-column
           1   1%                        - seed7-line-inside-parens-pair
           1   1%                         - seed7-re-search-backward
           1   1%                          - seed7-inside-comment-p
           1   1%                           - syntax-ppss
           1   1%                              parse-partial-sexp
           1   1%                       - seed7-line-inside-array-definition-block
           1   1%                        - seed7-re-search-backward
           1   1%                         - run-with-timer
           1   1%                          - run-at-time
           1   1%                             timer-relative-time
           2   2%                      - seed7-line-code-ends-with
           2   2%                       - seed7-move-to-line
           2   2%                        - seed7-to-previous-non-empty-line
           2   2%                         - seed7-inside-comment-p
           2   2%                          - syntax-ppss
           2   2%                             parse-partial-sexp
           2   2%                      - seed7-inside-comment-p
           2   2%                       - syntax-ppss
           2   2%                          parse-partial-sexp
           9  12%                     - seed7-line-inside-a-block-cached
           9  12%                      - seed7-line-inside-a-block
           4   5%                       - seed7-re-search-backward
           2   2%                        - seed7-inside-comment-p
           2   2%                         - syntax-ppss
           2   2%                            parse-partial-sexp
           1   1%                          re-search-backward
           1   1%                        - run-with-timer
           1   1%                         - run-at-time
           1   1%                          - timer-activate
           1   1%                           - timer--activate
           1   1%                              timer--time-less-p
           3   4%                       - seed7--safe-enclosing-block-bounds
           3   4%                        - seed7--block-end-pos-for
           3   4%                         - seed7-to-block-forward
           3   4%                          - seed7-end-of-defun
           2   2%                           - seed7-top-block-name
           2   2%                            - seed7--to-top
           2   2%                             - seed7-re-search-backward
           2   2%                              - run-with-timer
           2   2%                               - run-at-time
           2   2%                                - timer-set-time
           2   2%                                   timer--time-setter
           1   1%                           - seed7-re-search-backward
           1   1%                            - run-with-timer
           1   1%                             - run-at-time
           1   1%                              - timer-activate
           1   1%                               - timer--activate
           1   1%                                  timer--time-less-p
           2   2%                       - seed7-calc-indent
           2   2%                        - seed7-line-after-short-func-end
           2   2%                         - seed7-move-to-line
           2   2%                          - seed7-to-previous-non-empty-line
           2   2%                           - seed7-inside-comment-p
           2   2%                            - syntax-ppss
           2   2%                               parse-partial-sexp
           4   5%                     - seed7-line-inside-parens-pair-column
           4   5%                      - seed7-line-inside-parens-pair
           3   4%                       - seed7-re-search-backward
           3   4%                        - run-with-timer
           3   4%                         - run-at-time
           2   2%                          - timer-activate
           2   2%                           - timer--activate
           2   2%                              timer--time-less-p
           1   1%                          - timer-set-time
           1   1%                             timer--time-setter
           1   1%                       - seed7-line-inside-syntax-parens-pair
           1   1%                        - syntax-ppss
           1   1%                           parse-partial-sexp
           2   2%                     - seed7-current-line-start-inside-comment-p
           2   2%                      - seed7-inside-comment-p
           2   2%                       - syntax-ppss
           2   2%                          parse-partial-sexp
           2   2%                     - seed7-line-inside-set-definition-block
           2   2%                      - seed7-re-search-backward
           2   2%                       - run-with-timer
           2   2%                        - run-at-time
           1   1%                         - timer-activate
           1   1%                          - timer--activate
           1   1%                             timer--time-less-p
           1   1%                           timer-relative-time
           1   1%                     - seed7-line-after-func-return-logic-operator-column
           1   1%                      - seed7-move-to-line
           1   1%                       - seed7-to-previous-non-empty-line
           1   1%                        - seed7-inside-comment-p
           1   1%                         - syntax-ppss
           1   1%                            parse-partial-sexp
           1   1%                     - seed7-line-inside-argument-list-section
           1   1%                      - seed7-re-search-backward
           1   1%                         seed7-inside-string-p
           1   1%                     - seed7-line-inside-until-logic-expression
           1   1%                      - seed7-re-search-backward
           1   1%                       - run-with-timer
           1   1%                        - run-at-time
           1   1%                         - timer-set-time
           1   1%                            timer--time-setter
          11  14%        - seed7-complete-statement-or-indent
          11  14%         - seed7-indent-region
          11  14%          - seed7--indent-one-line
          11  14%           - seed7-calc-indent
           4   5%            - seed7-line-inside-func-return-statement
           4   5%             - seed7-re-search-backward
           4   5%              - run-with-timer
           4   5%               - run-at-time
           4   5%                - timer-activate
           4   5%                 - timer--activate
           4   5%                    timer--time-less-p
           2   2%            - seed7-line-inside-array-definition-block
           2   2%             - seed7-re-search-backward
           2   2%              - run-with-timer
           2   2%               - run-at-time
           2   2%                - timer-activate
           2   2%                 - timer--activate
           2   2%                    timer--time-less-p
           2   2%            - seed7-line-inside-logic-check-expression
           2   2%             - seed7-to-previous-line-starts-with
           2   2%              - seed7-re-search-backward
           2   2%               - run-with-timer
           2   2%                - run-at-time
           1   1%                 - timer-set-time
           1   1%                    timer--time-setter
           1   1%                 - timer-activate
           1   1%                  - timer--activate
           1   1%                     timer--time-less-p
           1   1%            - seed7-line-inside-assign-statement-continuation
           1   1%             - seed7-assign-op-pos
           1   1%              - seed7-re-search-backward
           1   1%               - run-with-timer
           1   1%                - run-at-time
           1   1%                 - timer-set-time
           1   1%                    timer--time-setter
           1   1%            - seed7--current-line-nth-word
           1   1%             - thing-at-point
           1   1%              - bounds-of-thing-at-point
           1   1%               - #<byte-code-function 601>
           1   1%                - forward-thing
           1   1%                 - forward-word
           1   1%                  - internal--syntax-propertize
           1   1%                   - syntax-propertize
           1   1%                      seed7-mode-syntax-propertize
           1   1%            - seed7-line-is-defun-end
           1   1%             - seed7-beg-of-defun
           1   1%              - seed7-re-search-backward
           1   1%               - seed7-inside-comment-p
           1   1%                - syntax-ppss
           1   1%                   parse-partial-sexp
          14  18%   Automatic GC
