      7,639,343  99% - ...
      7,639,343  99%  - #<primitive-function call-interactively>
      7,639,343  99%   - funcall-interactively
      7,639,343  99%    - smex
      7,639,343  99%     - smex-read-and-run
      7,639,343  99%      - execute-extended-command
      7,639,343  99%       - command-execute
      7,639,343  99%        - call-interactively
      7,639,343  99%         - apply
      7,639,343  99%          - call-interactively@ido-cr+-record-current-command
      7,639,343  99%           - #<primitive-function call-interactively>
      7,639,343  99%            - funcall-interactively
      7,639,343  99%             - pel-profile-all
      7,639,343  99%              - pel-profile-dir
      7,639,343  99%               - pel-profile-indent
      7,639,343  99%                - pel-profile-indentation-test-of
      6,075,443  79%                 - call-interactively
      6,075,443  79%                  - apply
      6,075,443  79%                   - call-interactively@ido-cr+-record-current-command
      6,075,443  79%                    - #<primitive-function call-interactively>
      6,075,443  79%                     - funcall-interactively
      6,075,427  79%                      - seed7-complete-statement-or-indent
      6,075,427  79%                       - seed7-indent-region
      6,075,427  79%                        - seed7--indent-one-line
      6,075,427  79%                         - seed7-calc-indent
      1,294,718  16%                          - seed7-line-inside-a-block-cached
      1,294,718  16%                           - seed7-line-inside-a-block
        773,793  10%                            - seed7--safe-enclosing-block-bounds
        773,793  10%                             - seed7--block-end-pos-for
        757,281   9%                              - seed7-to-block-forward
        332,223   4%                               - seed7-end-of-defun
        274,623   3%                                - seed7-top-block-name
        245,281   3%                                 - seed7--to-top
        214,305   2%                                  - seed7-re-search-backward
        193,600   2%                                   - run-with-timer
        193,600   2%                                    - run-at-time
         94,400   1%                                     - timer-activate
         94,400   1%                                      - timer--activate
         94,400   1%                                         timer--time-less-p
         60,800   0%                                       timer-relative-time
         38,400   0%                                     - timer-set-time
         38,400   0%                                        timer--time-setter
         12,321   0%                                   - seed7-inside-comment-p
         12,321   0%                                    - syntax-ppss
         12,321   0%                                     - syntax-propertize
         12,321   0%                                        seed7-mode-syntax-propertize
          8,384   0%                                     re-search-backward
         30,976   0%                                  - run-with-timer
         30,976   0%                                   - run-at-time
         15,104   0%                                    - timer-activate
         15,104   0%                                     - timer--activate
         15,104   0%                                        timer--time-less-p
          9,728   0%                                      timer-relative-time
          6,144   0%                                    - timer-set-time
          6,144   0%                                       timer--time-setter
         29,342   0%                                 - seed7--block-name
         29,342   0%                                    seed7-re-search-forward
         30,976   0%                                - seed7-re-search-backward
         30,976   0%                                 - run-with-timer
         30,976   0%                                  - run-at-time
         15,104   0%                                   - timer-activate
         15,104   0%                                    - timer--activate
         15,104   0%                                       timer--time-less-p
          9,728   0%                                     timer-relative-time
          6,144   0%                                   - timer-set-time
          6,144   0%                                      timer--time-setter
         16,384   0%                                  seed7-re-search-forward
        251,026   3%                                 seed7-re-search-forward
        124,920   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         40,928   0%                               - seed7--current-line-nth-word
         40,928   0%                                - thing-at-point
         40,928   0%                                 - bounds-of-thing-at-point
         32,736   0%                                  - #<byte-code-function E8C>
         32,736   0%                                   - forward-thing
         32,736   0%                                      format
          8,192   0%                                    re-search-forward
          8,184   0%                                 seed7--end-regexp-for
        332,885   4%                            - seed7-re-search-backward
        188,760   2%                             - run-with-timer
        188,760   2%                              - run-at-time
         92,040   1%                               - timer-activate
         92,040   1%                                - timer--activate
         92,040   1%                                   timer--time-less-p
         59,280   0%                                 timer-relative-time
         37,440   0%                               - timer-set-time
         37,440   0%                                  timer--time-setter
        144,125   1%                               re-search-backward
        141,288   1%                              replace-regexp-in-string
         18,096   0%                            - seed7-calc-indent
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          2,960   0%                             - seed7-line-inside-a-block-cached
          2,960   0%                              - seed7-line-inside-a-block
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          1,992   0%                             - seed7-line-inside-array-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-set-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-assign-statement-continuation
          1,992   0%                              - seed7-assign-op-pos
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,992   0%                             - seed7-line-inside-parens-pair-column
          1,992   0%                              - seed7-line-inside-parens-pair
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-starts-with
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
         12,288   0%                              seed7--indent-offset-for
      1,150,958  15%                          - seed7-line-is-defun-end
        388,032   5%                             looking-back
        336,232   4%                           - seed7-line-starts-with-any
        336,232   4%                              seed7-line-starts-with
        277,814   3%                           - seed7-beg-of-defun
        133,424   1%                            - seed7-re-search-backward
         94,864   1%                             - run-with-timer
         94,864   1%                              - run-at-time
         46,256   0%                               - timer-activate
         46,256   0%                                - timer--activate
         46,256   0%                                   timer--time-less-p
         29,792   0%                                 timer-relative-time
         18,816   0%                               - timer-set-time
         18,816   0%                                  timer--time-setter
         38,560   0%                               re-search-backward
         80,734   1%                            - seed7-re-search-backward-closest
         80,734   1%                             - seed7-re-search-backward
         53,630   0%                                re-search-backward
         27,104   0%                              - run-with-timer
         27,104   0%                               - run-at-time
         13,216   0%                                - timer-activate
         13,216   0%                                 - timer--activate
         13,216   0%                                    timer--time-less-p
          8,512   0%                                  timer-relative-time
          5,376   0%                                - timer-set-time
          5,376   0%                                   timer--time-setter
          8,184   0%                              seed7--no-defun-found-msg-for
        108,672   1%                           - seed7-move-to-line
        108,672   1%                              seed7-to-previous-non-empty-line
         23,840   0%                           - seed7--safe-current-line-defun-start-indent
         23,840   0%                            - seed7-to-block-backward
         23,840   0%                             - seed7-re-search-backward
         12,584   0%                              - run-with-timer
         12,584   0%                               - run-at-time
          6,136   0%                                - timer-activate
          6,136   0%                                 - timer--activate
          6,136   0%                                    timer--time-less-p
          3,952   0%                                  timer-relative-time
          2,496   0%                                - timer-set-time
          2,496   0%                                   timer--time-setter
         11,256   0%                                re-search-backward
         16,368   0%                           - seed7--current-line-nth-word
         16,368   0%                            - thing-at-point
          8,184   0%                             - bounds-of-thing-at-point
          8,184   0%                              - #<byte-code-function F81>
          8,184   0%                               - forward-thing
          8,184   0%                                  format
        490,388   6%                          - seed7--current-line-nth-word
        490,388   6%                           - thing-at-point
        482,204   6%                            - bounds-of-thing-at-point
        481,180   6%                             - #<byte-code-function F7A>
        481,180   6%                              - forward-thing
        472,996   6%                               - forward-word
        472,996   6%                                - internal--syntax-propertize
        472,996   6%                                 - syntax-propertize
        472,996   6%                                    seed7-mode-syntax-propertize
          8,184   0%                                 format
          1,024   0%                               re-search-forward
        431,312   5%                          - seed7-line-inside-parens-pair-column
        431,312   5%                           - seed7-line-inside-parens-pair
        341,200   4%                            - seed7-re-search-backward
        226,512   2%                             - run-with-timer
        226,512   2%                              - run-at-time
