      6,279,218  99% - ...
      6,279,218  99%  - #<primitive-function call-interactively>
      6,279,218  99%   - funcall-interactively
      6,279,218  99%    - smex
      6,279,218  99%     - smex-read-and-run
      6,279,218  99%      - execute-extended-command
      6,279,218  99%       - command-execute
      6,279,218  99%        - call-interactively
      6,279,218  99%         - apply
      6,279,218  99%          - call-interactively@ido-cr+-record-current-command
      6,279,218  99%           - #<primitive-function call-interactively>
      6,279,218  99%            - funcall-interactively
      6,279,218  99%             - pel-profile-all
      6,279,218  99%              - pel-profile-dir
      6,279,218  99%               - pel-profile-indent
      6,279,218  99%                - pel-profile-indentation-test-of
      4,718,134  75%                 - call-interactively
      4,718,134  75%                  - apply
      4,718,134  75%                   - call-interactively@ido-cr+-record-current-command
      4,718,134  75%                    - #<primitive-function call-interactively>
      4,718,134  75%                     - funcall-interactively
      4,718,118  75%                      - seed7-complete-statement-or-indent
      4,718,118  75%                       - seed7-indent-region
      4,718,118  75%                        - seed7--indent-one-line
      4,718,118  75%                         - seed7-calc-indent
      1,168,792  18%                          - seed7-line-inside-a-block-cached
      1,168,792  18%                           - seed7-line-inside-a-block
        760,816  12%                            - seed7--safe-enclosing-block-bounds
        760,816  12%                             - seed7--block-end-pos-for
        737,072  11%                              - seed7-to-block-forward
        515,224   8%                               - seed7-end-of-defun
        493,339   7%                                - seed7-top-block-name
        489,239   7%                                 - seed7--to-top
        453,703   7%                                  - run-with-timer
        453,703   7%                                   - run-at-time
        449,735   7%                                    - timer-activate
        449,735   7%                                     - timer--activate
        449,735   7%                                      - timer--time-less-p
        444,679   7%                                         timer--time
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
         35,536   0%                                  - seed7-re-search-backward
         33,488   0%                                   - run-with-timer
         33,488   0%                                    - run-at-time
         20,592   0%                                     - timer-activate
         20,592   0%                                      - timer--activate
         20,592   0%                                         timer--time-less-p
          7,904   0%                                       timer-relative-time
          4,992   0%                                     - timer-set-time
          4,992   0%                                        timer--time-setter
          2,048   0%                                     re-search-backward
          4,100   0%                                 - seed7--block-name
          4,100   0%                                    seed7-re-search-forward
          9,789   0%                                - seed7-re-search-forward
          5,693   0%                                 - seed7-inside-comment-p
          5,693   0%                                  - syntax-ppss
          5,693   0%                                   - syntax-propertize
          5,693   0%                                      seed7-mode-syntax-propertize
          9,024   0%                                - seed7-re-search-backward
          9,024   0%                                 - run-with-timer
          9,024   0%                                  - run-at-time
          5,056   0%                                   - timer-activate
          5,056   0%                                    - timer--activate
          5,056   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
        102,080   1%                                 seed7-re-search-forward
         73,728   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         37,856   0%                               - seed7--current-line-nth-word
         37,856   0%                                - thing-at-point
         37,856   0%                                 - bounds-of-thing-at-point
         24,552   0%                                  - #<byte-code-function 1FC>
         24,552   0%                                   - forward-thing
         24,552   0%                                      format
          8,184   0%                                  - #<byte-code-function 452>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
          5,120   0%                                    re-search-forward
          8,184   0%                                 seed7--end-regexp-for
         21,696   0%                              - seed7--line-ends-a-statement-p
         21,696   0%                                 looking-at
        275,888   4%                            - seed7-re-search-backward
        192,888   3%                             - run-with-timer
        192,888   3%                              - run-at-time
        108,072   1%                               - timer-activate
        108,072   1%                                - timer--activate
        108,072   1%                                   timer--time-less-p
         51,984   0%                                 timer-relative-time
         32,832   0%                               - timer-set-time
         32,832   0%                                  timer--time-setter
         83,000   1%                               re-search-backward
         81,912   1%                              replace-regexp-in-string
         22,544   0%                            - seed7-calc-indent
          3,280   0%                             - seed7-line-at-endof-array-definition-block
          3,280   0%                              - seed7-line-code-ends-with
          3,280   0%                               - seed7-re-search-backward
          2,256   0%                                - run-with-timer
          2,256   0%                                 - run-at-time
          1,264   0%                                  - timer-activate
          1,264   0%                                   - timer--activate
          1,264   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,256   0%                             - seed7-line-inside-a-block-cached
          2,256   0%                              - seed7-line-inside-a-block
          2,256   0%                               - seed7-re-search-backward
          2,256   0%                                - run-with-timer
          2,256   0%                                 - run-at-time
          1,264   0%                                  - timer-activate
          1,264   0%                                   - timer--activate
          1,264   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          2,256   0%                             - seed7-line-at-endof-set-definition-block
          2,256   0%                              - seed7-line-code-ends-with
          2,256   0%                               - seed7-re-search-backward
          2,256   0%                                - run-with-timer
          2,256   0%                                 - run-at-time
          1,264   0%                                  - timer-activate
          1,264   0%                                   - timer--activate
          1,264   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          2,152   0%                             - seed7-line-inside-array-definition-block
          2,152   0%                              - seed7-re-search-backward
          1,128   0%                               - run-with-timer
          1,128   0%                                - run-at-time
            632   0%                                 - timer-activate
            632   0%                                  - timer--activate
            632   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          2,152   0%                             - seed7-line-inside-set-definition-block
          2,152   0%                              - seed7-re-search-backward
          1,128   0%                               - run-with-timer
          1,128   0%                                - run-at-time
            632   0%                                 - timer-activate
            632   0%                                  - timer--activate
            632   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,024   0%                                 re-search-backward
          2,152   0%                             - seed7-line-inside-assign-statement-continuation
          2,152   0%                              - seed7-assign-op-pos
          2,152   0%                               - seed7-re-search-backward
          1,128   0%                                - run-with-timer
          1,128   0%                                 - run-at-time
            632   0%                                  - timer-activate
            632   0%                                   - timer--activate
            632   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,152   0%                             - seed7-line-inside-parens-pair-column
          2,152   0%                              - seed7-line-inside-parens-pair
          2,152   0%                               - seed7-re-search-backward
          1,128   0%                                - run-with-timer
          1,128   0%                                 - run-at-time
            632   0%                                  - timer-activate
            632   0%                                   - timer--activate
            632   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,048   0%                               seed7-line-after-short-func-end
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-starts-with
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-indent-step
         11,264   0%                              seed7--indent-offset-for
        852,636  13%                          - seed7-line-is-defun-end
        230,511   3%                             looking-back
        193,974   3%                           - seed7-beg-of-defun
         58,724   0%                            - seed7-re-search-backward-closest
         58,724   0%                             - seed7-re-search-backward
         36,164   0%                                re-search-backward
         22,560   0%                              - run-with-timer
         22,560   0%                               - run-at-time
         12,640   0%                                - timer-activate
         12,640   0%                                 - timer--activate
         12,640   0%                                    timer--time-less-p
          6,080   0%                                  timer-relative-time
          3,840   0%                                - timer-set-time
          3,840   0%                                   timer--time-setter
         39,058   0%                            - seed7-re-search-backward
         23,266   0%                               re-search-backward
         15,792   0%                             - run-with-timer
         15,792   0%                              - run-at-time
          8,848   0%                               - timer-activate
          8,848   0%                                - timer--activate
          8,848   0%                                   timer--time-less-p
          4,256   0%                                 timer-relative-time
          2,688   0%                               - timer-set-time
          2,688   0%                                  timer--time-setter
         32,251   0%                            - seed7-top-block-name
         18,299   0%                             - seed7--block-name
         18,299   0%                                seed7-re-search-forward
         13,952   0%                             - seed7--to-top
          9,440   0%                              - seed7-re-search-backward
          5,152   0%                               - run-with-timer
          5,152   0%                                - run-at-time
          3,168   0%                                 - timer-activate
          3,168   0%                                  - timer--activate
          3,168   0%                                     timer--time-less-p
          1,216   0%                                   timer-relative-time
            768   0%                                 - timer-set-time
            768   0%                                    timer--time-setter
          4,288   0%                                 re-search-backward
          4,512   0%                              - run-with-timer
          4,512   0%                               - run-at-time
