     34,737,987  99% - ...
     34,737,987  99%  - #<primitive-function call-interactively>
     34,737,987  99%   - funcall-interactively
     34,737,987  99%    - smex
     34,737,987  99%     - smex-read-and-run
     34,737,987  99%      - execute-extended-command
     34,737,987  99%       - command-execute
     34,737,987  99%        - call-interactively
     34,737,987  99%         - apply
     34,737,987  99%          - call-interactively@ido-cr+-record-current-command
     34,737,987  99%           - #<primitive-function call-interactively>
     34,737,987  99%            - funcall-interactively
     34,737,987  99%             - pel-profile-all
     34,737,987  99%              - pel-profile-dir
     34,737,987  99%               - pel-profile-indent
     34,737,987  99%                - pel-profile-indentation-test-of
     33,174,087  95%                 - call-interactively
     33,174,087  95%                  - apply
     33,174,087  95%                   - call-interactively@ido-cr+-record-current-command
     33,174,087  95%                    - #<primitive-function call-interactively>
     33,174,087  95%                     - funcall-interactively
     33,174,071  95%                      - seed7-complete-statement-or-indent
     33,174,071  95%                       - seed7-indent-region
     33,174,071  95%                        - seed7--indent-one-line
     33,174,071  95%                         - seed7-calc-indent
      9,152,731  26%                          - seed7-line-is-defun-end
      3,024,775   8%                           - seed7-beg-of-defun
      2,069,554   5%                            - seed7-re-search-backward
      1,967,232   5%                             - run-with-timer
      1,967,232   5%                              - run-at-time
      1,102,208   3%                               - timer-activate
      1,102,208   3%                                - timer--activate
      1,102,208   3%                                   timer--time-less-p
        530,176   1%                                 timer-relative-time
        334,848   0%                               - timer-set-time
        334,848   0%                                  timer--time-setter
        102,322   0%                               re-search-backward
        349,327   1%                            - seed7-re-search-backward-closest
        349,327   1%                             - seed7-re-search-backward
        204,943   0%                                re-search-backward
        144,384   0%                              - run-with-timer
        144,384   0%                               - run-at-time
         80,896   0%                                - timer-activate
         80,896   0%                                 - timer--activate
         80,896   0%                                    timer--time-less-p
         38,912   0%                                  timer-relative-time
         24,576   0%                                - timer-set-time
         24,576   0%                                   timer--time-setter
        247,710   0%                            - seed7-top-block-name
        144,992   0%                             - seed7--to-top
         97,616   0%                              - seed7-re-search-backward
         54,096   0%                               - run-with-timer
         54,096   0%                                - run-at-time
         33,264   0%                                 - timer-activate
         33,264   0%                                  - timer--activate
         33,264   0%                                     timer--time-less-p
         12,768   0%                                   timer-relative-time
          8,064   0%                                 - timer-set-time
          8,064   0%                                    timer--time-setter
         43,520   0%                                 re-search-backward
         47,376   0%                              - run-with-timer
         47,376   0%                               - run-at-time
         26,544   0%                                - timer-activate
         26,544   0%                                 - timer--activate
         26,544   0%                                    timer--time-less-p
         12,768   0%                                  timer-relative-time
          8,064   0%                                - timer-set-time
          8,064   0%                                   timer--time-setter
        102,718   0%                             - seed7--block-name
        102,718   0%                                seed7-re-search-forward
         65,472   0%                              match-string-no-properties
