         131  77% - ...
         131  77%  - pel-profile-indentation-test-of
         131  77%   - call-interactively
         131  77%    - apply
         131  77%     - call-interactively@ido-cr+-record-current-command
         131  77%      - #<primitive-function call-interactively>
         131  77%       - funcall-interactively
         109  64%        - pel-profile-all
         109  64%         - pel-profile-dir
         109  64%          - pel-profile-indent
         109  64%           - pel-profile-indentation-test-of
         109  64%            - call-interactively
         109  64%             - apply
         109  64%              - call-interactively@ido-cr+-record-current-command
         109  64%               - #<primitive-function call-interactively>
         109  64%                - funcall-interactively
         109  64%                 - seed7-complete-statement-or-indent
         109  64%                  - seed7-indent-region
         109  64%                   - seed7--indent-one-line
         108  64%                    - seed7-calc-indent
          57  33%                     - seed7--indent-search-boundary
          57  33%                      - seed7--indent-search-boundary-uncached
          57  33%                       - syntax-ppss
          56  33%                          parse-partial-sexp
          13   7%                     - seed7-comment-column
          11   6%                      - seed7-calc-indent
           3   1%                       - seed7-line-is-defun-end
           2   1%                        - seed7-move-to-line
           2   1%                         - seed7-to-previous-non-empty-line
           2   1%                          - seed7-inside-comment-p
           2   1%                           - syntax-ppss
           2   1%                              parse-partial-sexp
           1   0%                        - seed7--safe-current-line-defun-start-indent
           1   0%                         - seed7-to-block-backward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           2   1%                       - seed7-line-starts-with-open-paren-after-logic-operator
           2   1%                        - seed7-move-to-line
           2   1%                         - seed7-to-previous-non-empty-line
           2   1%                          - seed7-inside-comment-p
           2   1%                           - syntax-ppss
           2   1%                              parse-partial-sexp
           2   1%                       - seed7-line-at-endof-set-definition-block
           2   1%                        - seed7-move-to-line
           2   1%                         - seed7-to-previous-non-empty-line
           2   1%                          - seed7-inside-comment-p
           2   1%                           - syntax-ppss
           2   1%                              parse-partial-sexp
           2   1%                       - seed7-line-inside-parens-pair-column
           2   1%                        - seed7-line-inside-parens-pair
           1   0%                         - seed7-line-inside-syntax-parens-pair
           1   0%                          - syntax-ppss
           1   0%                             parse-partial-sexp
           1   0%                         - seed7-re-search-backward
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                       - seed7-line-inside-a-block-cached
           1   0%                        - seed7-line-inside-a-block
           1   0%                         - seed7-re-search-backward
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-set-time
           1   0%                               timer--time-setter
           1   0%                       - seed7-line-after-short-func-end
           1   0%                        - seed7-move-to-line
           1   0%                         - seed7-to-previous-non-empty-line
           1   0%                          - seed7-inside-comment-p
           1   0%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                      - seed7-line-code-ends-with
           1   0%                       - seed7-move-to-line
           1   0%                          seed7-to-previous-non-empty-line
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
          13   7%                     - seed7-line-is-defun-end
           6   3%                      - seed7-beg-of-defun
           3   1%                       - seed7-re-search-backward-closest
           3   1%                        - seed7-re-search-backward
           3   1%                           re-search-backward
           2   1%                       - seed7-top-block-name
           1   0%                        - seed7--to-top
           1   0%                         - seed7-re-search-backward
           1   0%                          - run-with-timer
           1   0%                           - run-at-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           1   0%                        - seed7--block-name
           1   0%                           seed7-re-search-forward
           1   0%                       - seed7-re-search-backward
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           4   2%                      - seed7-end-of-defun
           3   1%                       - seed7-top-block-name
           3   1%                        - seed7--to-top
           3   1%                         - seed7-re-search-backward
           3   1%                          - seed7-inside-comment-p
           3   1%                           - syntax-ppss
           1   0%                              parse-partial-sexp
           1   0%                            - syntax-propertize
           1   0%                               seed7-mode-syntax-propertize
           1   0%                              syntax-ppss--update-stats
           1   0%                       - seed7-re-search-backward
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           2   1%                      - seed7--safe-current-line-defun-start-indent
           2   1%                       - seed7-to-block-backward
           2   1%                        - seed7-re-search-backward
           2   1%                         - seed7-inside-comment-p
           2   1%                          - syntax-ppss
           2   1%                             parse-partial-sexp
           1   0%                      - seed7-move-to-line
