          65  68% - ...
          65  68%  - pel-profile-dir
          65  68%   - pel-profile-indent
          65  68%    - pel-profile-indentation-test-of
          65  68%     - call-interactively
          65  68%      - apply
          65  68%       - call-interactively@ido-cr+-record-current-command
          65  68%        - #<primitive-function call-interactively>
          65  68%         - funcall-interactively
          41  43%          - pel-profile-all
          41  43%           - pel-profile-dir
          41  43%            - pel-profile-indent
          41  43%             - pel-profile-indentation-test-of
          41  43%              - call-interactively
          41  43%               - apply
          41  43%                - call-interactively@ido-cr+-record-current-command
          41  43%                 - #<primitive-function call-interactively>
          41  43%                  - funcall-interactively
          41  43%                   - seed7-complete-statement-or-indent
          41  43%                    - seed7-indent-region
          41  43%                     - seed7--indent-one-line
          41  43%                      - seed7-calc-indent
          21  22%                       - seed7--indent-search-boundary
          21  22%                        - seed7--indent-search-boundary-uncached
          17  17%                         - syntax-ppss
          16  16%                            parse-partial-sexp
           1   1%                            syntax-ppss-toplevel-pos
          16  16%                       - seed7-line-inside-nested-parens-pairs-column
          16  16%                        - seed7-line-inside-nested-parens-pairs
          16  16%                         - seed7-line-inside-parens-pair
          15  15%                          - seed7-re-search-backward
          15  15%                           - run-with-timer
          15  15%                            - run-at-time
          12  12%                             - timer-activate
          12  12%                              - timer--activate
          12  12%                                 timer--time-less-p
           2   2%                             - timer-set-time
           2   2%                                timer--time-setter
           1   1%                               timer-relative-time
           2   2%                       - seed7-current-line-start-inside-comment-p
           2   2%                        - seed7-inside-comment-p
           2   2%                         - syntax-ppss
           2   2%                            parse-partial-sexp
           1   1%                       - seed7-line-inside-assign-statement-continuation
           1   1%                        - seed7-assign-op-pos
           1   1%                         - seed7-re-search-backward
           1   1%                            re-search-backward
           1   1%                       - seed7-line-inside-a-block-cached
           1   1%                        - seed7-line-inside-a-block
           1   1%                         - seed7-re-search-backward
           1   1%                            re-search-backward
          24  25%          - seed7-complete-statement-or-indent
          24  25%           - seed7-indent-region
          24  25%            - seed7--indent-one-line
          24  25%             - seed7-calc-indent
          10  10%              - seed7-line-inside-array-definition-block
          10  10%               - seed7-re-search-backward
          10  10%                - run-with-timer
          10  10%                 - run-at-time
           7   7%                  - timer-activate
           7   7%                   - timer--activate
           7   7%                      timer--time-less-p
           3   3%                  - timer-set-time
           3   3%                     timer--time-setter
           5   5%              - seed7-comment-column
           5   5%               - seed7-calc-indent
           1   1%                - seed7-line-at-endof-array-definition-block
           1   1%                 - seed7-move-to-line
           1   1%                  - seed7-to-previous-non-empty-line
           1   1%                   - seed7-inside-comment-p
           1   1%                    - syntax-ppss
           1   1%                       parse-partial-sexp
           1   1%                - seed7-line-at-endof-set-definition-block
           1   1%                 - seed7-move-to-line
           1   1%                  - seed7-to-previous-non-empty-line
           1   1%                   - seed7-inside-comment-p
           1   1%                    - syntax-ppss
           1   1%                       parse-partial-sexp
           1   1%                - seed7-line-after-func-return-logic-operator-column
           1   1%                 - seed7-move-to-line
           1   1%                  - seed7-to-previous-non-empty-line
           1   1%                   - seed7-inside-comment-p
           1   1%                    - syntax-ppss
           1   1%                       parse-partial-sexp
           1   1%                - seed7-line-after-short-func-end
           1   1%                 - seed7-move-to-line
           1   1%                  - seed7-to-previous-non-empty-line
           1   1%                   - seed7-inside-comment-p
           1   1%                    - syntax-ppss
           1   1%                       parse-partial-sexp
           1   1%                - seed7-line-inside-parens-pair-column
           1   1%                 - seed7-line-inside-parens-pair
           1   1%                  - seed7-re-search-backward
           1   1%                   - seed7-inside-comment-p
           1   1%                      syntax-ppss
           4   4%              - seed7-line-is-defun-end
           4   4%               - seed7-beg-of-defun
           3   3%                - seed7-re-search-backward
           2   2%                 - run-with-timer
           2   2%                  - run-at-time
           1   1%                   - timer-set-time
           1   1%                      timer--time-setter
           1   1%                   - timer-activate
           1   1%                    - timer--activate
           1   1%                       timer--time-less-p
           1   1%                   re-search-backward
           1   1%                - seed7-re-search-backward-closest
           1   1%                 - seed7-re-search-backward
           1   1%                    re-search-backward
           3   3%              - seed7--current-line-nth-word
           3   3%               - thing-at-point
           3   3%                - bounds-of-thing-at-point
           3   3%                 - #<byte-code-function 4AE>
           3   3%                  - forward-thing
           3   3%                   - forward-word
           2   2%                    - internal--syntax-propertize
           2   2%                     - syntax-propertize
           2   2%                        seed7-mode-syntax-propertize
           2   2%              - seed7-line-at-endof-array-definition-block
           1   1%               - backward-sexp
           1   1%                - forward-sexp
           1   1%                 - seed7--forward-sexp-function
           1   1%                  - seed7--at-array-definition-end-line-p
           1   1%                   - seed7-line-code-ends-with
           1   1%                    - seed7-re-search-backward
           1   1%                     - run-with-timer
           1   1%                      - run-at-time
           1   1%                       - timer-activate
           1   1%                        - timer--activate
           1   1%                           timer--time-less-p
           1   1%               - seed7-move-to-line
           1   1%                - seed7-to-previous-non-empty-line
           1   1%                 - seed7-inside-comment-p
           1   1%                  - syntax-ppss
           1   1%                     parse-partial-sexp
          30  31%   Automatic GC
