      3,105,261 100% - ...
      3,105,261 100%  - #<primitive-function call-interactively>
      3,105,261 100%   - funcall-interactively
      3,105,261 100%    - smex
      3,105,261 100%     - smex-read-and-run
      3,105,261 100%      - execute-extended-command
      3,105,261 100%       - command-execute
      3,105,261 100%        - call-interactively
      3,105,261 100%         - apply
      3,105,261 100%          - call-interactively@ido-cr+-record-current-command
      3,105,261 100%           - #<primitive-function call-interactively>
      3,105,261 100%            - funcall-interactively
      3,105,261 100%             - pel-profile-all
      3,105,261 100%              - pel-profile-dir
      3,105,261 100%               - pel-profile-indent
      3,105,261 100%                - pel-profile-indentation-test-of
      1,561,084  50%                   profiler-stop
      1,544,177  49%                 - call-interactively
      1,544,177  49%                  - apply
      1,544,177  49%                   - call-interactively@ido-cr+-record-current-command
      1,544,177  49%                    - #<primitive-function call-interactively>
      1,544,177  49%                     - funcall-interactively
      1,544,161  49%                      - seed7-complete-statement-or-indent
      1,544,161  49%                       - seed7-indent-region
      1,544,161  49%                        - seed7--indent-one-line
      1,544,161  49%                         - seed7-calc-indent
        282,846   9%                          - seed7-line-is-defun-end
        119,721   3%                           - seed7-line-starts-with-any
        119,721   3%                              seed7-line-starts-with
         82,125   2%                           - seed7-beg-of-defun
         34,080   1%                            - seed7-re-search-backward-closest
         34,080   1%                             - seed7-re-search-backward
         18,048   0%                              - run-with-timer
         18,048   0%                               - run-at-time
         10,112   0%                                - timer-activate
         10,112   0%                                 - timer--activate
         10,112   0%                                    timer--time-less-p
          4,864   0%                                  timer-relative-time
          3,072   0%                                - timer-set-time
          3,072   0%                                   timer--time-setter
         16,032   0%                                re-search-backward
         29,421   0%                            - seed7-re-search-backward
         20,397   0%                               re-search-backward
          9,024   0%                             - run-with-timer
          9,024   0%                              - run-at-time
          5,056   0%                               - timer-activate
          5,056   0%                                - timer--activate
          5,056   0%                                   timer--time-less-p
          2,432   0%                                 timer-relative-time
          1,536   0%                               - timer-set-time
          1,536   0%                                  timer--time-setter
         58,368   1%                             looking-back
         21,504   0%                           - seed7-move-to-line
         21,504   0%                              seed7-to-previous-non-empty-line
          1,128   0%                           - seed7--safe-current-line-defun-start-indent
          1,128   0%                            - seed7-to-block-backward
          1,128   0%                             - seed7-re-search-backward
          1,128   0%                              - run-with-timer
          1,128   0%                               - run-at-time
            632   0%                                - timer-activate
            632   0%                                 - timer--activate
            632   0%                                    timer--time-less-p
            304   0%                                  timer-relative-time
            192   0%                                - timer-set-time
            192   0%                                   timer--time-setter
        271,864   8%                          - seed7-line-inside-a-block-cached
        271,864   8%                           - seed7-line-inside-a-block
        136,492   4%                            - seed7--safe-enclosing-block-bounds
        136,492   4%                             - seed7--block-end-pos-for
        130,348   4%                              - seed7-to-block-forward
         59,768   1%                               - seed7-end-of-defun
         42,552   1%                                - seed7-top-block-name
         36,832   1%                                 - seed7--to-top
         27,808   0%                                  - seed7-re-search-backward
         25,760   0%                                   - run-with-timer
         25,760   0%                                    - run-at-time
         15,840   0%                                     - timer-activate
         15,840   0%                                      - timer--activate
         15,840   0%                                         timer--time-less-p
          6,080   0%                                       timer-relative-time
          3,840   0%                                     - timer-set-time
          3,840   0%                                        timer--time-setter
          2,048   0%                                     re-search-backward
          9,024   0%                                  - run-with-timer
          9,024   0%                                   - run-at-time
          5,056   0%                                    - timer-activate
          5,056   0%                                     - timer--activate
          5,056   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
          5,720   0%                                 - seed7--block-name
          5,720   0%                                    seed7-re-search-forward
          9,024   0%                                - seed7-re-search-backward
          9,024   0%                                 - run-with-timer
          9,024   0%                                  - run-at-time
          5,056   0%                                   - timer-activate
          5,056   0%                                    - timer--activate
          5,056   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
