     17,723,344  99% - ...
     17,723,344  99%  - #<primitive-function call-interactively>
     17,723,344  99%   - funcall-interactively
     17,723,344  99%    - smex
     17,723,344  99%     - smex-read-and-run
     17,723,344  99%      - execute-extended-command
     17,723,344  99%       - command-execute
     17,723,344  99%        - call-interactively
     17,723,344  99%         - apply
     17,723,344  99%          - call-interactively@ido-cr+-record-current-command
     17,723,344  99%           - #<primitive-function call-interactively>
     17,723,344  99%            - funcall-interactively
     17,723,344  99%             - pel-profile-all
     17,723,344  99%              - pel-profile-dir
     17,723,344  99%               - pel-profile-indent
     17,723,344  99%                - pel-profile-indentation-test-of
     16,159,444  91%                 - call-interactively
     16,159,444  91%                  - apply
     16,159,444  91%                   - call-interactively@ido-cr+-record-current-command
     16,159,444  91%                    - #<primitive-function call-interactively>
     16,159,444  91%                     - funcall-interactively
     16,159,428  91%                      - seed7-complete-statement-or-indent
     16,159,428  91%                       - seed7-indent-region
     16,159,428  91%                        - seed7--indent-one-line
     16,159,428  91%                         - seed7-calc-indent
      5,489,303  30%                          - seed7-line-is-defun-end
      2,548,009  14%                           - seed7-end-of-defun
      2,134,352  12%                            - seed7-top-block-name
      2,117,984  11%                             - seed7--to-top
      2,013,440  11%                              - seed7-re-search-backward
      2,013,440  11%                               - run-with-timer
      2,013,440  11%                                - run-at-time
        981,760   5%                                 - timer-activate
        981,760   5%                                  - timer--activate
        981,760   5%                                     timer--time-less-p
        632,320   3%                                   timer-relative-time
        399,360   2%                                 - timer-set-time
        399,360   2%                                    timer--time-setter
        104,544   0%                              - run-with-timer
        104,544   0%                               - run-at-time
         50,976   0%                                - timer-activate
         50,976   0%                                 - timer--activate
         50,976   0%                                    timer--time-less-p
         32,832   0%                                  timer-relative-time
         20,736   0%                                - timer-set-time
         20,736   0%                                   timer--time-setter
         16,368   0%                             - seed7--block-name
          8,184   0%                                match-string
        150,657   0%                            - seed7-re-search-forward
         76,673   0%                             - seed7-inside-comment-p
         76,673   0%                              - syntax-ppss
         76,673   0%                               - syntax-propertize
         76,673   0%                                  seed7-mode-syntax-propertize
        104,544   0%                            - seed7-re-search-backward
        104,544   0%                             - run-with-timer
        104,544   0%                              - run-at-time
         50,976   0%                               - timer-activate
         50,976   0%                                - timer--activate
         50,976   0%                                   timer--time-less-p
         32,832   0%                                 timer-relative-time
         20,736   0%                               - timer-set-time
         20,736   0%                                  timer--time-setter
         40,920   0%                              match-string-no-properties
          8,184   0%                              match-string
      1,203,725   6%                           - seed7-beg-of-defun
        563,035   3%                            - seed7-re-search-backward
        474,320   2%                             - run-with-timer
        474,320   2%                              - run-at-time
        231,280   1%                               - timer-activate
        231,280   1%                                - timer--activate
