         164  83% - ...
         164  83%  - funcall-interactively
         164  83%   - pel-profile-all
         164  83%    - pel-profile-dir
         164  83%     - pel-profile-indent
         164  83%      - pel-profile-indentation-test-of
         164  83%       - call-interactively
         164  83%        - apply
         164  83%         - call-interactively@ido-cr+-record-current-command
         164  83%          - #<primitive-function call-interactively>
         164  83%           - funcall-interactively
         132  67%            - pel-profile-all
         132  67%             - pel-profile-dir
         132  67%              - pel-profile-indent
         132  67%               - pel-profile-indentation-test-of
         132  67%                - call-interactively
         132  67%                 - apply
         132  67%                  - call-interactively@ido-cr+-record-current-command
         132  67%                   - #<primitive-function call-interactively>
         132  67%                    - funcall-interactively
         132  67%                     - seed7-complete-statement-or-indent
         132  67%                      - seed7-indent-region
         132  67%                       - seed7--indent-one-line
         132  67%                        - seed7-calc-indent
         132  67%                         - seed7-line-is-defun-end
          91  46%                          - seed7-end-of-defun
          83  42%                           - seed7-top-block-name
          83  42%                            - seed7--to-top
          81  41%                             - seed7-re-search-backward
          49  24%                              - run-with-timer
          49  24%                               - run-at-time
          30  15%                                - timer-activate
          30  15%                                 - timer--activate
          30  15%                                    timer--time-less-p
          17   8%                                - timer-set-time
          17   8%                                   timer--time-setter
           2   1%                                  timer-relative-time
          32  16%                              - seed7-inside-comment-p
          32  16%                               - syntax-ppss
          31  15%                                  parse-partial-sexp
           1   0%                                  syntax-ppss--data
           2   1%                             - run-with-timer
           2   1%                              - run-at-time
           1   0%                               - timer-activate
           1   0%                                - timer--activate
           1   0%                                   timer--time-less-p
           1   0%                                 timer-relative-time
           6   3%                           - seed7-re-search-forward
           2   1%                            - seed7-inside-comment-p
           2   1%                             - syntax-ppss
           2   1%                                parse-partial-sexp
           1   0%                            - seed7-inside-string-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
           2   1%                           - seed7-re-search-backward
           1   0%                            - run-with-timer
           1   0%                             - run-at-time
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
           1   0%                            - seed7-inside-comment-p
           1   0%                             - syntax-ppss
           1   0%                                parse-partial-sexp
          30  15%                          - seed7-beg-of-defun
          21  10%                           - seed7-re-search-backward
          11   5%                            - run-with-timer
          11   5%                             - run-at-time
          10   5%                              - timer-activate
          10   5%                               - timer--activate
          10   5%                                  timer--time-less-p
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
           8   4%                            - seed7-inside-comment-p
           8   4%                             - syntax-ppss
           8   4%                                parse-partial-sexp
           2   1%                              re-search-backward
           4   2%                           - seed7-top-block-name
           4   2%                            - seed7--to-top
           3   1%                             - run-with-timer
           3   1%                              - run-at-time
           3   1%                               - timer-activate
           3   1%                                - timer--activate
           3   1%                                   timer--time-less-p
           1   0%                             - seed7-re-search-backward
           1   0%                              - run-with-timer
           1   0%                               - run-at-time
           1   0%                                - timer-set-time
           1   0%                                   timer--time-setter
           3   1%                           - seed7-re-search-backward-closest
           3   1%                            - seed7-re-search-backward
           2   1%                             - run-with-timer
           2   1%                              - run-at-time
           1   0%                               - timer-activate
           1   0%                                - timer--activate
           1   0%                                   timer--time-less-p
           1   0%                                 timer-relative-time
           1   0%                             - seed7-inside-comment-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
          10   5%                          - seed7--indent-search-boundary-uncached
          10   5%                           - syntax-ppss
          10   5%                              parse-partial-sexp
           1   0%                          - seed7-move-to-line
           1   0%                             seed7-to-previous-non-empty-line
          32  16%            - seed7-complete-statement-or-indent
          32  16%             - seed7-indent-region
          32  16%              - seed7--indent-one-line
          32  16%               - seed7-calc-indent
          13   6%                - seed7--indent-search-boundary
          13   6%                 - seed7--indent-search-boundary-uncached
          12   6%                  - syntax-ppss
          12   6%                     parse-partial-sexp
          12   6%                - seed7-line-inside-a-block-cached
          12   6%                 - seed7-line-inside-a-block
          12   6%                  - seed7-calc-indent
           7   3%                   - seed7-line-is-defun-end
           6   3%                    - seed7-end-of-defun
           5   2%                     - seed7-top-block-name
           5   2%                      - seed7--to-top
           5   2%                       - seed7-re-search-backward
           4   2%                        - run-with-timer
           4   2%                         - run-at-time
           2   1%                          - timer-activate
           2   1%                           - timer--activate
           2   1%                              timer--time-less-p
           2   1%                          - timer-set-time
           2   1%                             timer--time-setter
           1   0%                        - seed7-inside-comment-p
           1   0%                         - syntax-ppss
           1   0%                            parse-partial-sexp
           1   0%                     - seed7-re-search-backward
           1   0%                      - seed7-inside-comment-p
           1   0%                       - syntax-ppss
           1   0%                          parse-partial-sexp
           1   0%                    - seed7-beg-of-defun
           1   0%                     - seed7-re-search-backward-closest
           1   0%                      - seed7-re-search-backward
           1   0%                       - run-with-timer
           1   0%                        - run-at-time
           1   0%                         - timer-activate
           1   0%                          - timer--activate
           1   0%                             timer--time-less-p
           4   2%                   - seed7-line-inside-parens-pair-column
           4   2%                    - seed7-line-inside-parens-pair
           4   2%                     - seed7-re-search-backward
           3   1%                      - seed7-inside-comment-p
           3   1%                       - syntax-ppss
           3   1%                          parse-partial-sexp
           1   0%                      - run-with-timer
           1   0%                       - run-at-time
           1   0%                        - timer-set-time
           1   0%                           timer--time-setter
           1   0%                   - seed7-line-inside-set-definition-block
           1   0%                    - seed7-re-search-backward
           1   0%                     - run-with-timer
           1   0%                      - run-at-time
           1   0%                       - timer-activate
           1   0%                        - timer--activate
           1   0%                           timer--time-less-p
           3   1%                - seed7-comment-column
           3   1%                 - seed7-calc-indent
           1   0%                  - seed7-line-starts-with-open-paren-after-logic-operator
           1   0%                   - seed7-move-to-line
           1   0%                    - seed7-to-previous-non-empty-line
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                  - seed7-line-at-endof-array-definition-block
           1   0%                   - seed7-move-to-line
           1   0%                    - seed7-to-previous-non-empty-line
           1   0%                     - seed7-inside-comment-p
           1   0%                      - syntax-ppss
           1   0%                         parse-partial-sexp
           1   0%                  - seed7-line-inside-array-definition-block
           1   0%                   - seed7-re-search-backward
           1   0%                    - run-with-timer
           1   0%                     - run-at-time
           1   0%                      - timer-activate
           1   0%                       - timer--activate
           1   0%                          timer--time-less-p
           2   1%                - seed7-line-inside-parens-pair-column
           2   1%                 - seed7-line-inside-parens-pair
           2   1%                  - seed7-re-search-backward
           2   1%                   - seed7-inside-comment-p
           2   1%                    - syntax-ppss
           2   1%                       parse-partial-sexp
           1   0%                - seed7-line-after-func-return-logic-operator-column
           1   0%                 - seed7-move-to-line
           1   0%                    seed7-to-previous-non-empty-line
           1   0%                - seed7-line-inside-set-definition-block
           1   0%                 - seed7-re-search-backward
           1   0%                    re-search-backward
          33  16%   Automatic GC
