         835  92% - ...
         835  92%  - call-interactively
         835  92%   - apply
         835  92%    - call-interactively@ido-cr+-record-current-command
         835  92%     - #<primitive-function call-interactively>
         835  92%      - funcall-interactively
         729  80%       - pel-profile-all
         729  80%        - pel-profile-dir
         729  80%         - pel-profile-indent
         729  80%          - pel-profile-indentation-test-of
         729  80%           - call-interactively
         729  80%            - apply
         729  80%             - call-interactively@ido-cr+-record-current-command
         729  80%              - #<primitive-function call-interactively>
         729  80%               - funcall-interactively
         729  80%                - seed7-complete-statement-or-indent
         729  80%                 - seed7-indent-region
         729  80%                  - seed7--indent-one-line
         729  80%                   - seed7-calc-indent
         544  60%                    - seed7--indent-search-boundary
         544  60%                     - seed7--indent-search-boundary-uncached
         543  60%                      - syntax-ppss
         539  59%                         parse-partial-sexp
           2   0%                         syntax-ppss--update-stats
           1   0%                         make-closure
          45   4%                    - seed7-line-inside-parens-pair-column
          45   4%                     - seed7-line-inside-parens-pair
          43   4%                      - seed7-re-search-backward
          42   4%                       - run-with-timer
          42   4%                        - run-at-time
          33   3%                         - timer-activate
          33   3%                          - timer--activate
          33   3%                             timer--time-less-p
           8   0%                         - timer-set-time
           8   0%                            timer--time-setter
           1   0%                           timer-relative-time
           1   0%                       - seed7-inside-string-p
           1   0%                        - syntax-ppss
           1   0%                           parse-partial-sexp
          32   3%                    - seed7-line-is-defun-end
          28   3%                     - seed7-beg-of-defun
          23   2%                      - seed7-re-search-backward
          13   1%                       - seed7-inside-comment-p
          13   1%                        - syntax-ppss
          13   1%                           parse-partial-sexp
          10   1%                       - run-with-timer
          10   1%                        - run-at-time
           9   0%                         - timer-activate
           9   0%                          - timer--activate
           9   0%                             timer--time-less-p
           1   0%                         - timer-set-time
           1   0%                            timer--time-setter
           5   0%                      - seed7-re-search-backward-closest
           5   0%                       - seed7-re-search-backward
           4   0%                        - run-with-timer
           4   0%                         - run-at-time
           2   0%                          - timer-set-time
           2   0%                             timer--time-setter
           2   0%                          - timer-activate
           2   0%                           - timer--activate
           2   0%                              timer--time-less-p
           1   0%                          re-search-backward
           2   0%                     - seed7--safe-current-line-defun-start-indent
           2   0%                      - seed7-to-block-backward
           2   0%                       - seed7-re-search-backward
           2   0%                        - run-with-timer
           2   0%                         - run-at-time
           2   0%                          - timer-activate
           2   0%                           - timer--activate
           2   0%                              timer--time-less-p
           1   0%                     - seed7--current-line-nth-word
           1   0%                      - thing-at-point
           1   0%                       - bounds-of-thing-at-point
           1   0%                        - #<byte-code-function FB0>
           1   0%                         - forward-thing
           1   0%                            forward-word
           1   0%                     - seed7-line-starts-with-any
           1   0%                        seed7-line-starts-with
          28   3%                    - seed7-line-inside-array-definition-block
          26   2%                     - seed7-re-search-backward
          12   1%                      - run-with-timer
          12   1%                       - run-at-time
           7   0%                        - timer-activate
           7   0%                         - timer--activate
           7   0%                            timer--time-less-p
           5   0%                        - timer-set-time
           5   0%                           timer--time-setter
           8   0%                        re-search-backward
           6   0%                      - seed7-inside-comment-p
           6   0%                       - syntax-ppss
           6   0%                          parse-partial-sexp
           2   0%                     - forward-sexp
           2   0%                        seed7--forward-sexp-function
          20   2%                    - seed7-line-inside-a-block-cached
          20   2%                     - seed7-line-inside-a-block
          20   2%                      - seed7-re-search-backward
          10   1%                       - run-with-timer
          10   1%                        - run-at-time
          10   1%                         - timer-activate
          10   1%                          - timer--activate
          10   1%                             timer--time-less-p
           9   0%                       - seed7-inside-comment-p
           9   0%                        - syntax-ppss
           9   0%                           parse-partial-sexp
           1   0%                         re-search-backward
          15   1%                    - seed7-line-inside-set-definition-block
          15   1%                     - seed7-re-search-backward
          12   1%                      - run-with-timer
          12   1%                       - run-at-time
           7   0%                        - timer-activate
           7   0%                         - timer--activate
           7   0%                            timer--time-less-p
           5   0%                        - timer-set-time
           5   0%                           timer--time-setter
           3   0%                        re-search-backward
          10   1%                    - seed7-line-inside-assign-statement-continuation
          10   1%                     - seed7-assign-op-pos
          10   1%                      - seed7-re-search-backward
           8   0%                       - run-with-timer
           8   0%                        - run-at-time
           8   0%                         - timer-activate
