      3,880,582  99% - ...
      3,880,582  99%  - #<primitive-function call-interactively>
      3,880,582  99%   - funcall-interactively
      3,880,582  99%    - smex
      3,880,582  99%     - smex-read-and-run
      3,880,582  99%      - execute-extended-command
      3,880,582  99%       - command-execute
      3,880,582  99%        - call-interactively
      3,880,582  99%         - apply
      3,880,582  99%          - call-interactively@ido-cr+-record-current-command
      3,880,582  99%           - #<primitive-function call-interactively>
      3,880,582  99%            - funcall-interactively
      3,880,582  99%             - pel-profile-all
      3,880,582  99%              - pel-profile-dir
      3,880,582  99%               - pel-profile-indent
      3,880,582  99%                - pel-profile-indentation-test-of
      2,319,498  59%                 - call-interactively
      2,319,498  59%                  - apply
      2,319,498  59%                   - call-interactively@ido-cr+-record-current-command
      2,319,498  59%                    - #<primitive-function call-interactively>
      2,319,498  59%                     - funcall-interactively
      2,319,482  59%                      - seed7-complete-statement-or-indent
      2,319,482  59%                       - seed7-indent-region
      2,319,482  59%                        - seed7--indent-one-line
      1,944,569  50%                         - seed7-calc-indent
        333,930   8%                          - seed7-line-inside-a-block-cached
        333,930   8%                           - seed7-line-inside-a-block
        150,482   3%                            - seed7--safe-enclosing-block-bounds
        150,482   3%                             - seed7--block-end-pos-for
        144,338   3%                              - seed7-to-block-forward
         52,532   1%                               - seed7-end-of-defun
         33,684   0%                                - seed7-top-block-name
         29,104   0%                                 - seed7--to-top
         20,080   0%                                  - seed7-re-search-backward
         18,032   0%                                   - run-with-timer
         18,032   0%                                    - run-at-time
         11,088   0%                                     - timer-activate
         11,088   0%                                      - timer--activate
         11,088   0%                                         timer--time-less-p
          4,256   0%                                       timer-relative-time
          2,688   0%                                     - timer-set-time
          2,688   0%                                        timer--time-setter
          2,048   0%                                     re-search-backward
          9,024   0%                                  - run-with-timer
          9,024   0%                                   - run-at-time
          5,056   0%                                    - timer-activate
          5,056   0%                                     - timer--activate
          5,056   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
          4,580   0%                                 - seed7--block-name
          4,580   0%                                    seed7-re-search-forward
          9,024   0%                                - seed7-re-search-backward
          9,024   0%                                 - run-with-timer
          9,024   0%                                  - run-at-time
          5,056   0%                                   - timer-activate
          5,056   0%                                    - timer--activate
          5,056   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
          4,096   0%                                  seed7-re-search-forward
         45,734   1%                                 seed7-re-search-forward
         36,864   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          9,208   0%                               - seed7--current-line-nth-word
          9,208   0%                                - thing-at-point
          9,208   0%                                 - bounds-of-thing-at-point
          8,184   0%                                  - #<byte-code-function 5AA>
          8,184   0%                                   - forward-thing
          8,184   0%                                      format
          1,024   0%                                    re-search-forward
          6,144   0%                              - seed7--line-ends-a-statement-p
          6,144   0%                                 looking-at
        107,856   2%                            - seed7-re-search-backward
         62,040   1%                             - run-with-timer
         62,040   1%                              - run-at-time
