          35  83% - ...
          35  83%  - pel-profile-all
          35  83%   - pel-profile-dir
          35  83%    - pel-profile-indent
          35  83%     - pel-profile-indentation-test-of
          35  83%      - call-interactively
          35  83%       - apply
          35  83%        - call-interactively@ido-cr+-record-current-command
          35  83%         - #<primitive-function call-interactively>
          35  83%          - funcall-interactively
          35  83%           - seed7-complete-statement-or-indent
          35  83%            - seed7-indent-region
          35  83%             - seed7--indent-one-line
          35  83%              - seed7-calc-indent
          14  33%               - seed7-comment-column
          14  33%                - seed7-calc-indent
           7  16%                 - seed7-line-inside-a-block-cached
           7  16%                  - seed7-line-inside-a-block
           5  11%                   - seed7--safe-enclosing-block-bounds
           5  11%                    - seed7--block-end-pos-for
           5  11%                     - seed7-to-block-forward
           5  11%                      - seed7-end-of-defun
           4   9%                       - seed7-top-block-name
           4   9%                        - seed7--to-top
           4   9%                         - seed7-re-search-backward
           2   4%                          - seed7-inside-comment-p
           2   4%                           - syntax-ppss
           2   4%                              parse-partial-sexp
           2   4%                          - run-with-timer
           2   4%                           - run-at-time
           1   2%                            - timer-activate
           1   2%                             - timer--activate
           1   2%                                timer--time-less-p
           1   2%                            - timer-set-time
           1   2%                               timer--time-setter
           1   2%                       - seed7-re-search-backward
           1   2%                        - run-with-timer
           1   2%                         - run-at-time
           1   2%                          - timer-activate
           1   2%                           - timer--activate
           1   2%                              timer--time-less-p
           1   2%                   - seed7-re-search-backward
           1   2%                    - run-with-timer
           1   2%                     - run-at-time
           1   2%                      - timer-set-time
           1   2%                         timer--time-setter
           1   2%                     replace-regexp-in-string
           2   4%                 - seed7-line-is-defun-end
           2   4%                  - seed7-move-to-line
           2   4%                   - seed7-to-previous-non-empty-line
           2   4%                    - seed7-inside-comment-p
           2   4%                     - syntax-ppss
           2   4%                        parse-partial-sexp
           1   2%                 - seed7-line-at-endof-array-definition-block
           1   2%                  - seed7-move-to-line
           1   2%                   - seed7-to-previous-non-empty-line
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           1   2%                 - seed7-line-inside-parens-pair-column
           1   2%                  - seed7-line-inside-parens-pair
           1   2%                   - seed7-re-search-backward
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           1   2%                 - seed7-line-after-short-func-end
           1   2%                  - seed7-move-to-line
           1   2%                   - seed7-to-previous-non-empty-line
           1   2%                    - seed7-inside-comment-p
           1   2%                     - syntax-ppss
           1   2%                        parse-partial-sexp
           1   2%                 - seed7--indent-search-boundary
           1   2%                  - seed7--indent-search-boundary-uncached
           1   2%                   - syntax-ppss
           1   2%                      parse-partial-sexp
           1   2%                 - seed7-line-inside-set-definition-block
           1   2%                  - seed7-re-search-backward
           1   2%                     re-search-backward
          10  23%               - seed7-line-inside-a-block-cached
          10  23%                - seed7-line-inside-a-block
          10  23%                 - seed7--safe-enclosing-block-bounds
          10  23%                  - seed7--block-end-pos-for
          10  23%                   - seed7-to-block-forward
          10  23%                    - seed7-end-of-defun
           9  21%                     - seed7-top-block-name
           9  21%                      - seed7--to-top
           8  19%                       - seed7-re-search-backward
           6  14%                        - run-with-timer
           6  14%                         - run-at-time
           4   9%                          - timer-activate
           4   9%                           - timer--activate
           4   9%                              timer--time-less-p
           2   4%                          - timer-set-time
           2   4%                             timer--time-setter
           2   4%                        - seed7-inside-comment-p
           2   4%                         - syntax-ppss
           2   4%                            parse-partial-sexp
           1   2%                       seed7-re-search-forward
           3   7%               - seed7-line-is-defun-end
           2   4%                - seed7-beg-of-defun
           2   4%                 - seed7-re-search-backward
           2   4%                  - run-with-timer
           2   4%                   - run-at-time
           2   4%                    - timer-set-time
           2   4%                       timer--time-setter
           1   2%                - seed7-move-to-line
           1   2%                 - seed7-to-previous-non-empty-line
           1   2%                  - seed7-inside-comment-p
           1   2%                   - syntax-ppss
           1   2%                      parse-partial-sexp
           2   4%               - seed7-line-inside-set-definition-block
           2   4%                - seed7-re-search-backward
           1   2%                   re-search-backward
           1   2%                 - run-with-timer
           1   2%                  - run-at-time
           1   2%                   - timer-activate
           1   2%                    - timer--activate
           1   2%                       timer--time-less-p
           1   2%               - seed7-line-inside-assign-statement-continuation
           1   2%                - seed7-assign-op-pos
           1   2%                 - seed7-re-search-backward
           1   2%                  - run-with-timer
           1   2%                   - run-at-time
           1   2%                    - timer-activate
           1   2%                     - timer--activate
           1   2%                        timer--time-less-p
           1   2%               - seed7-line-starts-with
           1   2%                - seed7-move-to-line
           1   2%                 - seed7-to-previous-non-empty-line
           1   2%                  - seed7-inside-comment-p
           1   2%                   - syntax-ppss
           1   2%                      parse-partial-sexp
           1   2%               - seed7-line-at-endof-array-definition-block
           1   2%                - seed7-line-code-ends-with
           1   2%                 - seed7-re-search-backward
           1   2%                  - run-with-timer
           1   2%                   - run-at-time
           1   2%                    - timer-activate
           1   2%                     - timer--activate
           1   2%                        timer--time-less-p
           1   2%               - seed7--indent-search-boundary
           1   2%                - seed7--indent-search-boundary-uncached
           1   2%                   syntax-ppss
           1   2%               - seed7-line-inside-array-definition-block
           1   2%                - seed7-re-search-backward
           1   2%                 - run-with-timer
           1   2%                  - run-at-time
           1   2%                   - timer-activate
           1   2%                    - timer--activate
           1   2%                       timer--time-less-p
           1   2%               - seed7-line-inside-until-logic-expression
           1   2%                - seed7-re-search-backward
           1   2%                 - run-with-timer
           1   2%                  - run-at-time
           1   2%                   - timer-set-time
           1   2%                      timer--time-setter
           7  16%   Automatic GC
