    160,967,626  99% - ...
    160,967,626  99%  - #<primitive-function call-interactively>
    160,967,626  99%   - funcall-interactively
    160,967,626  99%    - smex
    160,967,626  99%     - smex-read-and-run
    160,967,626  99%      - execute-extended-command
    160,967,626  99%       - command-execute
    160,967,626  99%        - call-interactively
    160,967,626  99%         - apply
    160,967,626  99%          - call-interactively@ido-cr+-record-current-command
    160,967,626  99%           - #<primitive-function call-interactively>
    160,967,626  99%            - funcall-interactively
    160,967,626  99%             - pel-profile-all
    160,967,626  99%              - pel-profile-dir
    160,967,626  99%               - pel-profile-indent
    160,967,626  99%                - pel-profile-indentation-test-of
    159,398,094  98%                 - call-interactively
    159,398,094  98%                  - apply
    159,398,094  98%                   - call-interactively@ido-cr+-record-current-command
    159,398,094  98%                    - #<primitive-function call-interactively>
    159,398,094  98%                     - funcall-interactively
    159,398,078  98%                      - seed7-complete-statement-or-indent
    159,398,078  98%                       - seed7-indent-region
    159,398,078  98%                        - seed7--indent-one-line
    159,398,078  98%                         - seed7-calc-indent
    130,196,184  80%                          - seed7-line-inside-parens-pair-column
    130,196,184  80%                           - seed7-line-inside-parens-pair
    128,580,960  79%                            - seed7-re-search-backward
    128,328,600  79%                             - run-with-timer
    128,328,600  79%                              - run-at-time
     62,573,512  38%                               - timer-activate
     62,573,512  38%                                - timer--activate
     62,573,512  38%                                   timer--time-less-p
     40,301,456  24%                                 timer-relative-time
     25,453,632  15%                               - timer-set-time
     25,453,632  15%                                  timer--time-setter
        251,760   0%                               re-search-backward
            600   0%                             - seed7-inside-comment-p
            600   0%                              - syntax-ppss
            600   0%                                 #<byte-code-function 0BF>
      1,223,168   0%                            - seed7-line-inside-syntax-parens-pair
      1,223,168   0%                             - forward-sexp
      1,223,168   0%                                seed7--forward-sexp-function
        392,056   0%                            - forward-sexp
        392,056   0%                               seed7--forward-sexp-function
      9,479,257   5%                          - seed7-line-inside-a-block-cached
      9,479,257   5%                           - seed7-line-inside-a-block
      6,391,008   3%                            - seed7--safe-enclosing-block-bounds
      6,391,008   3%                             - seed7--block-end-pos-for
      6,386,912   3%                              - seed7-to-block-forward
      5,455,953   3%                               - seed7-re-search-forward
      3,600,720   2%                                - seed7-inside-comment-p
      3,448,535   2%                                 - syntax-ppss
      3,448,535   2%                                  - syntax-propertize
      3,448,535   2%                                     seed7-mode-syntax-propertize
        816,128   0%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         58,312   0%                               - seed7--current-line-nth-word
         58,312   0%                                - thing-at-point
         50,128   0%                                 - bounds-of-thing-at-point
         49,104   0%                                  - #<byte-code-function 3E3>
         49,104   0%                                   - forward-thing
         49,104   0%                                      format
          1,024   0%                                    re-search-forward
         56,519   0%                               - seed7-end-of-defun
         28,896   0%                                - seed7-top-block-name
         23,344   0%                                 - seed7--to-top
         15,600   0%                                  - seed7-re-search-backward
         13,552   0%                                   - run-with-timer
         13,552   0%                                    - run-at-time
          6,608   0%                                     - timer-activate
          6,608   0%                                      - timer--activate
          6,608   0%                                         timer--time-less-p
          4,256   0%                                       timer-relative-time
          2,688   0%                                     - timer-set-time
          2,688   0%                                        timer--time-setter
          2,048   0%                                     re-search-backward
          7,744   0%                                  - run-with-timer
          7,744   0%                                   - run-at-time
          3,776   0%                                    - timer-activate
          3,776   0%                                     - timer--activate
          3,776   0%                                        timer--time-less-p
          2,432   0%                                      timer-relative-time
          1,536   0%                                    - timer-set-time
          1,536   0%                                       timer--time-setter
          5,552   0%                                 - seed7--block-name
          5,552   0%                                    seed7-re-search-forward
         15,351   0%                                - seed7-re-search-forward
          8,671   0%                                 - seed7-inside-comment-p
          8,671   0%                                  - syntax-ppss
          8,671   0%                                   - syntax-propertize
          8,671   0%                                      seed7-mode-syntax-propertize
          7,744   0%                                - seed7-re-search-backward
          7,744   0%                                 - run-with-timer
          7,744   0%                                  - run-at-time
          3,776   0%                                   - timer-activate
          3,776   0%                                    - timer--activate
          3,776   0%                                       timer--time-less-p
          2,432   0%                                     timer-relative-time
          1,536   0%                                   - timer-set-time
          1,536   0%                                      timer--time-setter
      1,752,329   1%                            - seed7-re-search-backward
        950,825   0%                               re-search-backward
        801,504   0%                             - run-with-timer
        801,504   0%                              - run-at-time
        390,816   0%                               - timer-activate
        390,816   0%                                - timer--activate
        390,816   0%                                   timer--time-less-p
        251,712   0%                                 timer-relative-time
        158,976   0%                               - timer-set-time
        158,976   0%                                  timer--time-setter
        824,952   0%                              replace-regexp-in-string
         27,088   0%                            - seed7-calc-indent
          4,096   0%                             - seed7-line-is-defun-end
          3,072   0%                                looking-back
          1,024   0%                              - seed7-move-to-line
          1,024   0%                                 seed7-to-previous-non-empty-line
          2,960   0%                             - seed7-line-inside-a-block-cached
          2,960   0%                              - seed7-line-inside-a-block
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,960   0%                             - seed7-line-at-endof-array-definition-block
          2,960   0%                              - seed7-line-code-ends-with
          2,960   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                                  re-search-backward
          2,048   0%                               seed7-line-after-short-func-end
          1,992   0%                             - seed7-line-inside-array-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-set-definition-block
          1,992   0%                              - seed7-re-search-backward
          1,024   0%                                 re-search-backward
            968   0%                               - run-with-timer
            968   0%                                - run-at-time
            472   0%                                 - timer-activate
            472   0%                                  - timer--activate
            472   0%                                     timer--time-less-p
            304   0%                                   timer-relative-time
            192   0%                                 - timer-set-time
            192   0%                                    timer--time-setter
          1,992   0%                             - seed7-line-inside-assign-statement-continuation
          1,992   0%                              - seed7-assign-op-pos
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,992   0%                             - seed7-line-inside-parens-pair-column
          1,992   0%                              - seed7-line-inside-parens-pair
          1,992   0%                               - seed7-re-search-backward
          1,024   0%                                  re-search-backward
            968   0%                                - run-with-timer
            968   0%                                 - run-at-time
            472   0%                                  - timer-activate
            472   0%                                   - timer--activate
            472   0%                                      timer--time-less-p
            304   0%                                    timer-relative-time
            192   0%                                  - timer-set-time
            192   0%                                     timer--time-setter
          1,936   0%                             - seed7-line-at-endof-set-definition-block
          1,936   0%                              - seed7-line-code-ends-with
          1,936   0%                               - seed7-re-search-backward
          1,936   0%                                - run-with-timer
          1,936   0%                                 - run-at-time
            944   0%                                  - timer-activate
            944   0%                                   - timer--activate
            944   0%                                      timer--time-less-p
            608   0%                                    timer-relative-time
            384   0%                                  - timer-set-time
            384   0%                                     timer--time-setter
          1,024   0%                             - seed7-line-isa-string
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-starts-with
          1,024   0%                               seed7-line-after-func-return-logic-operator-column
          1,024   0%                             - seed7-line-starts-with-open-paren-after-logic-operator
          1,024   0%                                seed7-line-starts-with
          1,024   0%                               seed7-line-indent-step
         16,368   0%                              match-string
          1,024   0%                              seed7--indent-offset-for
