      9,753,104  99% - ...
      9,753,104  99%  - #<primitive-function call-interactively>
      9,753,104  99%   - funcall-interactively
      9,753,104  99%    - smex
      9,753,104  99%     - smex-read-and-run
      9,753,104  99%      - execute-extended-command
      9,753,104  99%       - command-execute
      9,753,104  99%        - call-interactively
      9,753,104  99%         - apply
      9,753,104  99%          - call-interactively@ido-cr+-record-current-command
      9,753,104  99%           - #<primitive-function call-interactively>
      9,753,104  99%            - funcall-interactively
      9,753,104  99%             - pel-profile-all
      9,753,104  99%              - pel-profile-dir
      9,753,104  99%               - pel-profile-indent
      9,753,104  99%                - pel-profile-indentation-test-of
      8,189,204  83%                 - call-interactively
      8,189,204  83%                  - apply
      8,189,204  83%                   - call-interactively@ido-cr+-record-current-command
      8,189,204  83%                    - #<primitive-function call-interactively>
      8,189,204  83%                     - funcall-interactively
      8,189,188  83%                      - seed7-complete-statement-or-indent
      8,189,188  83%                       - seed7-indent-region
      8,189,188  83%                        - seed7--indent-one-line
      8,189,188  83%                         - seed7-calc-indent
      2,092,684  21%                          - seed7-line-inside-a-block-cached
      2,092,684  21%                           - seed7-line-inside-a-block
      1,390,944  14%                            - seed7--safe-enclosing-block-bounds
      1,390,944  14%                             - seed7--block-end-pos-for
      1,259,415  12%                              - seed7-to-block-forward
        877,940   8%                               - seed7-end-of-defun
        683,755   7%                                - seed7-top-block-name
        638,241   6%                                 - seed7--to-top
        576,289   5%                                  - seed7-re-search-backward
        549,824   5%                                   - run-with-timer
        549,824   5%                                    - run-at-time
        268,096   2%                                     - timer-activate
        268,096   2%                                      - timer--activate
        268,096   2%                                         timer--time-less-p
        172,672   1%                                       timer-relative-time
        109,056   1%                                     - timer-set-time
        109,056   1%                                        timer--time-setter
         14,336   0%                                     re-search-backward
         12,129   0%                                   - seed7-inside-comment-p
         12,129   0%                                    - syntax-ppss
         12,129   0%                                     - syntax-propertize
         12,129   0%                                        seed7-mode-syntax-propertize
         61,952   0%                                  - run-with-timer
         61,952   0%                                   - run-at-time
         30,208   0%                                    - timer-activate
         30,208   0%                                     - timer--activate
         30,208   0%                                        timer--time-less-p
         19,456   0%                                      timer-relative-time
         12,288   0%                                    - timer-set-time
         12,288   0%                                       timer--time-setter
         45,514   0%                                 - seed7--block-name
         45,514   0%                                    seed7-re-search-forward
         90,841   0%                                - seed7-re-search-forward
         34,199   0%                                 - internal--syntax-propertize
         34,199   0%                                  - syntax-propertize
         34,199   0%                                     seed7-mode-syntax-propertize
         61,952   0%                                - seed7-re-search-backward
         61,952   0%                                 - run-with-timer
         61,952   0%                                  - run-at-time
         30,208   0%                                   - timer-activate
         30,208   0%                                    - timer--activate
         30,208   0%                                       timer--time-less-p
         19,456   0%                                     timer-relative-time
         12,288   0%                                   - timer-set-time
         12,288   0%                                      timer--time-setter
          8,184   0%                                  match-string
        201,299   2%                                 seed7-re-search-forward
        136,176   1%                                 seed7-inside-line-trailing-whitespace-before-line-end-comment-p
         44,000   0%                               - seed7--current-line-nth-word
         44,000   0%                                - thing-at-point
         44,000   0%                                 - bounds-of-thing-at-point
         24,552   0%                                  - #<byte-code-function 409>
