         410  88% - ...
         410  88%  - pel-profile-all
         410  88%   - pel-profile-dir
         410  88%    - pel-profile-indent
         410  88%     - pel-profile-indentation-test-of
         410  88%      - call-interactively
         410  88%       - apply
         410  88%        - call-interactively@ido-cr+-record-current-command
         410  88%         - #<primitive-function call-interactively>
         410  88%          - funcall-interactively
         372  80%           - pel-profile-all
         372  80%            - pel-profile-dir
         372  80%             - pel-profile-indent
         372  80%              - pel-profile-indentation-test-of
         372  80%               - call-interactively
         372  80%                - apply
         372  80%                 - call-interactively@ido-cr+-record-current-command
         372  80%                  - #<primitive-function call-interactively>
         372  80%                   - funcall-interactively
         372  80%                    - seed7-complete-statement-or-indent
         372  80%                     - seed7-indent-region
         372  80%                      - seed7--indent-one-line
         372  80%                       - seed7-calc-indent
         146  31%                        - seed7-line-is-defun-end
         108  23%                         - seed7-end-of-defun
          74  15%                          - seed7-top-block-name
          73  15%                           - seed7--to-top
          72  15%                            - seed7-re-search-backward
          45   9%                             - seed7-inside-comment-p
          45   9%                              - syntax-ppss
          45   9%                                 parse-partial-sexp
          26   5%                             - run-with-timer
          26   5%                              - run-at-time
          18   3%                               - timer-activate
          18   3%                                - timer--activate
          18   3%                                   timer--time-less-p
           7   1%                               - timer-set-time
           7   1%                                  timer--time-setter
           1   0%                                 timer-relative-time
           1   0%                               re-search-backward
           1   0%                            - run-with-timer
           1   0%                             - run-at-time
           1   0%                              - timer-set-time
           1   0%                                 timer--time-setter
           1   0%                           - seed7--block-name
           1   0%                              seed7-re-search-forward
          23   4%                          - seed7-re-search-forward
          13   2%                           - seed7-inside-comment-p
          13   2%                            - syntax-ppss
          13   2%                               parse-partial-sexp
           3   0%                           - seed7-inside-string-p
           3   0%                            - syntax-ppss
           3   0%                               parse-partial-sexp
           9   1%                          - seed7-re-search-backward
           7   1%                           - seed7-inside-comment-p
           7   1%                            - syntax-ppss
           7   1%                               parse-partial-sexp
           2   0%                           - run-with-timer
           2   0%                            - run-at-time
           2   0%                             - timer-activate
           2   0%                              - timer--activate
           2   0%                                 timer--time-less-p
          36   7%                         - seed7-beg-of-defun
          28   6%                          - seed7-re-search-backward
          14   3%                           - run-with-timer
          14   3%                            - run-at-time
           7   1%                             - timer-set-time
           7   1%                                timer--time-setter
           7   1%                             - timer-activate
           7   1%                              - timer--activate
           7   1%                                 timer--time-less-p
          13   2%                           - seed7-inside-comment-p
          13   2%                            - syntax-ppss
          13   2%                               parse-partial-sexp
           1   0%                             re-search-backward
           6   1%                          - seed7-re-search-backward-closest
           6   1%                           - seed7-re-search-backward
           4   0%                              re-search-backward
           2   0%                            - run-with-timer
           2   0%                             - run-at-time
           2   0%                              - timer-activate
           2   0%                               - timer--activate
           2   0%                                  timer--time-less-p
           2   0%                          - seed7-top-block-name
           2   0%                           - seed7--to-top
           2   0%                            - seed7-re-search-backward
           2   0%                             - run-with-timer
           2   0%                              - run-at-time
           2   0%                               - timer-activate
           2   0%                                - timer--activate
           2   0%                                   timer--time-less-p
           1   0%                         - seed7-line-starts-with-any
           1   0%                            seed7-line-starts-with
           1   0%                         - seed7-move-to-line
           1   0%                          - seed7-to-previous-non-empty-line
           1   0%                           - seed7-inside-comment-p
           1   0%                            - syntax-ppss
           1   0%                               parse-partial-sexp
         118  25%                        - seed7--indent-search-boundary
         117  25%                         - seed7--indent-search-boundary-uncached
         116  24%                          - syntax-ppss
         116  24%                             parse-partial-sexp
          93  20%                        - seed7-line-inside-a-block-cached
          93  20%                         - seed7-line-inside-a-block
          80  17%                          - seed7--safe-enclosing-block-bounds
          80  17%                           - seed7--block-end-pos-for
          80  17%                            - seed7-to-block-forward
          76  16%                             - seed7-end-of-defun
          72  15%                              - seed7-top-block-name
          70  15%                               - seed7--to-top
          69  14%                                - seed7-re-search-backward
          44   9%                                 - seed7-inside-comment-p
          44   9%                                  - syntax-ppss
          44   9%                                     parse-partial-sexp
          25   5%                                 - run-with-timer
          25   5%                                  - run-at-time
          14   3%                                   - timer-activate
          14   3%                                    - timer--activate
          14   3%                                       timer--time-less-p
           6   1%                                   - timer-set-time
           6   1%                                      timer--time-setter
           4   0%                                     timer-relative-time
           1   0%                                - run-with-timer
           1   0%                                 - run-at-time
           1   0%                                  - timer-activate
           1   0%                                   - timer--activate
           1   0%                                      timer--time-less-p
           2   0%                               - seed7--block-name
           2   0%                                - seed7-re-search-forward
           2   0%                                 - seed7-inside-comment-p
           2   0%                                  - syntax-ppss
           2   0%                                     parse-partial-sexp
           2   0%                              - seed7-re-search-forward
           1   0%                               - seed7-inside-comment-p
           1   0%                                - syntax-ppss
           1   0%                                   parse-partial-sexp
           2   0%                              - seed7-re-search-backward
           1   0%                               - seed7-inside-comment-p
           1   0%                                - syntax-ppss
           1   0%                                   parse-partial-sexp
           1   0%                               - run-with-timer
           1   0%                                - run-at-time
           1   0%                                 - timer-activate
           1   0%                                  - timer--activate
           1   0%                                     timer--time-less-p
           2   0%                             - seed7-re-search-forward
           2   0%                              - seed7-inside-comment-p
           2   0%                               - syntax-ppss
           2   0%                                  parse-partial-sexp
           1   0%                             - seed7-inside-comment-p
           1   0%                              - syntax-ppss
           1   0%                                 parse-partial-sexp
           1   0%                               seed7--current-line-nth-word
          11   2%                          - seed7-re-search-backward
           6   1%                           - seed7-inside-comment-p
           6   1%                            - syntax-ppss
           6   1%                               parse-partial-sexp
           3   0%                           - run-with-timer
           3   0%                            - run-at-time
           2   0%                             - timer-activate
           2   0%                              - timer--activate
           2   0%                                 timer--time-less-p
           1   0%                             - timer-set-time
           1   0%                                timer--time-setter
           1   0%                           - seed7-inside-string-p
           1   0%                            - syntax-ppss
           1   0%                               syntax-propertize
           1   0%                          - seed7-calc-indent
           1   0%                           - seed7-line-at-endof-set-definition-block
           1   0%                            - seed7-move-to-line
           1   0%                             - seed7-to-previous-non-empty-line
           1   0%                              - seed7-inside-comment-p
           1   0%                               - syntax-ppss
           1   0%                                  parse-partial-sexp
           1   0%                            replace-regexp-in-string
           7   1%                        - seed7-line-inside-array-definition-block
           7   1%                         - seed7-re-search-backward
           4   0%                          - run-with-timer
           4   0%                           - run-at-time
           2   0%                            - timer-set-time
           2   0%                               timer--time-setter
           1   0%                              timer-relative-time
           1   0%                            - timer-activate
           1   0%                             - timer--activate
           1   0%                                timer--time-less-p
           3   0%                            re-search-backward
           6   1%                        - seed7-line-inside-argument-list-section
           6   1%                         - seed7-re-search-backward
           5   1%                          - run-with-timer
           5   1%                           - run-at-time
           3   0%                            - timer-activate
           3   0%                             - timer--activate
           3   0%                                timer--time-less-p
           2   0%                            - timer-set-time
           2   0%                               timer--time-setter
           1   0%                            re-search-backward
           2   0%                        - seed7-line-after-func-return-logic-operator-column
           1   0%                         - seed7-move-to-line
           1   0%                            seed7-to-previous-non-empty-line
          38   8%           - seed7-complete-statement-or-indent
          38   8%            - seed7-indent-region
          38   8%             - seed7--indent-one-line
          38   8%              - seed7-calc-indent
          11   2%               - seed7-line-inside-parens-pair-column
          11   2%                - seed7-line-inside-parens-pair
          11   2%                 - seed7-re-search-backward
           8   1%                  - run-with-timer
           8   1%                   - run-at-time
           7   1%                    - timer-activate
           7   1%                     - timer--activate
           7   1%                        timer--time-less-p
           1   0%                    - timer-set-time
           1   0%                       timer--time-setter
           3   0%                  - seed7-inside-comment-p
           3   0%                   - syntax-ppss
           3   0%                      parse-partial-sexp
          10   2%               - seed7-comment-column
           7   1%                - seed7-calc-indent
           2   0%                 - seed7-line-at-endof-array-definition-block
           2   0%                  - seed7-move-to-line
           2   0%                   - seed7-to-previous-non-empty-line
           2   0%                    - seed7-inside-comment-p
           2   0%                     - syntax-ppss
           2   0%                        parse-partial-sexp
           2   0%                 - seed7-line-inside-parens-pair-column
           2   0%                  - seed7-line-inside-parens-pair
           1   0%                   - seed7-line-inside-syntax-parens-pair
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           1   0%                   - seed7-re-search-backward
           1   0%                    - seed7-inside-comment-p
           1   0%                     - syntax-ppss
           1   0%                        parse-partial-sexp
           1   0%                 - seed7-line-inside-array-definition-block
           1   0%                  - seed7-re-search-backward
           1   0%                   - run-with-timer
           1   0%                    - run-at-time
           1   0%                     - timer-activate
           1   0%                      - timer--activate
           1   0%                         timer--time-less-p
           1   0%                 - seed7-line-at-endof-set-definition-block
           1   0%                  - seed7-move-to-line
           1   0%                   - seed7-to-previous-non-empty-line
           1   0%                    - seed7-inside-comment-p
           1   0%                     - syntax-ppss
           1   0%                        parse-partial-sexp
           1   0%                 - seed7--indent-search-boundary
           1   0%                  - seed7--indent-search-boundary-uncached
           1   0%                   - syntax-ppss
           1   0%                      parse-partial-sexp
           3   0%                - seed7-line-code-ends-with
           3   0%                 - seed7-move-to-line
           3   0%                  - seed7-to-previous-non-empty-line
           3   0%                   - seed7-inside-comment-p
           3   0%                    - syntax-ppss
           3   0%                       parse-partial-sexp
           4   0%               - seed7-line-inside-logic-check-expression
           4   0%                - seed7-to-previous-line-starts-with
           4   0%                 - seed7-re-search-backward
           3   0%                  - run-with-timer
           3   0%                   - run-at-time
           2   0%                    - timer-activate
           2   0%                     - timer--activate
           2   0%                        timer--time-less-p
           1   0%                      timer-relative-time
           1   0%                    re-search-backward
           4   0%               - seed7-line-inside-assign-statement-continuation
           3   0%                - seed7-assign-op-pos
           3   0%                 - seed7-re-search-backward
           3   0%                  - seed7-inside-comment-p
           3   0%                   - syntax-ppss
           3   0%                      parse-partial-sexp
           1   0%                - seed7-statement-end-pos
           1   0%                 - seed7-forward-char-pos
           1   0%                  - seed7-re-search-forward
           1   0%                   - seed7-inside-comment-p
           1   0%                    - syntax-ppss
           1   0%                       parse-partial-sexp
           3   0%               - seed7--current-line-nth-word
           3   0%                - thing-at-point
           3   0%                 - bounds-of-thing-at-point
           3   0%                  - #<byte-code-function 22B>
           3   0%                   - forward-thing
           3   0%                    - forward-word
           3   0%                     - internal--syntax-propertize
           3   0%                      - syntax-propertize
           3   0%                         seed7-mode-syntax-propertize
           2   0%               - seed7-line-inside-set-definition-block
           2   0%                - seed7-re-search-backward
           1   0%                 - run-with-timer
           1   0%                  - run-at-time
           1   0%                   - timer-set-time
           1   0%                      timer--time-setter
           1   0%                   re-search-backward
           2   0%               - seed7-current-line-start-inside-comment-p
           2   0%                - seed7-inside-comment-p
           2   0%                 - syntax-ppss
           2   0%                    parse-partial-sexp
           1   0%               - seed7-line-inside-func-return-statement
           1   0%                - seed7-re-search-backward
           1   0%                 - run-with-timer
           1   0%                  - run-at-time
           1   0%                   - timer-set-time
           1   0%                      timer--time-setter
           1   0%               - seed7-line-inside-until-logic-expression
           1   0%                - seed7-re-search-backward
           1   0%                 - run-with-timer
           1   0%                  - run-at-time
           1   0%                   - timer-activate
           1   0%                    - timer--activate
           1   0%                       timer--time-less-p
          55  11%   Automatic GC
