     22,646,450  99% - ...
     22,646,450  99%  - #<primitive-function call-interactively>
     22,646,450  99%   - funcall-interactively
     22,646,450  99%    - smex
     22,646,450  99%     - smex-read-and-run
     22,646,450  99%      - execute-extended-command
     22,646,450  99%       - command-execute
     22,646,450  99%        - call-interactively
     22,646,450  99%         - apply
     22,646,450  99%          - call-interactively@ido-cr+-record-current-command
     22,646,450  99%           - #<primitive-function call-interactively>
     22,646,450  99%            - funcall-interactively
     22,646,450  99%             - pel-profile-all
     22,646,450  99%              - pel-profile-dir
     22,646,450  99%               - pel-profile-indent
     22,646,450  99%                - pel-profile-indentation-test-of
     21,060,342  92%                 - call-interactively
     21,060,342  92%                  - apply
     21,060,342  92%                   - call-interactively@ido-cr+-record-current-command
     21,060,342  92%                    - #<primitive-function call-interactively>
     21,060,342  92%                     - funcall-interactively
     21,060,326  92%                      - seed7-complete-statement-or-indent
     21,060,326  92%                       - seed7-indent-region
     21,060,326  92%                        - seed7--indent-one-line
     21,043,750  92%                         - seed7-calc-indent
      5,789,567  25%                          - seed7-line-inside-a-block-cached
      5,772,991  25%                           - seed7-line-inside-a-block
      4,220,573  18%                            - seed7--safe-enclosing-block-bounds
      4,212,285  18%                             - seed7--block-end-pos-for
      4,022,630  17%                              - seed7-to-block-forward
      1,773,584   7%                               - seed7-end-of-defun
      1,523,780   6%                                - seed7-top-block-name
      1,477,384   6%                                 - seed7--to-top
      1,389,720   6%                                  - seed7-re-search-backward
      1,113,888   4%                                   - run-with-timer
      1,113,888   4%                                    - run-at-time
        550,944   2%                                     - timer-activate
        550,944   2%                                      - timer--activate
        550,944   2%                                         timer--time-less-p
        309,472   1%                                       timer-relative-time
        216,176   0%                                     - timer-set-time
        216,176   0%                                        timer--time-setter
         37,296   0%                                       timer-create
        132,608   0%                                   - seed7-inside-string-p
         24,864   0%                                    - syntax-ppss
         20,720   0%                                       make-closure
          4,144   0%                                     - parse-partial-sexp
          4,144   0%                                      - internal--syntax-propertize
          4,144   0%                                       - syntax-propertize
          4,144   0%                                          seed7-mode-syntax-propertize
        113,336   0%                                   - seed7-inside-comment-p
         76,040   0%                                    - syntax-ppss
         51,176   0%                                     - syntax-propertize
         51,176   0%                                        seed7-mode-syntax-propertize
         24,864   0%                                       make-closure
         16,576   0%                                     make-closure
         13,312   0%                                     re-search-backward
         83,520   0%                                  - run-with-timer
         83,520   0%                                   - run-at-time
         42,848   0%                                    - timer-activate
         42,848   0%                                     - timer--activate
         42,848   0%                                        timer--time-less-p
         24,928   0%                                      timer-relative-time
         15,744   0%                                    - timer-set-time
         15,744   0%                                       timer--time-setter
          4,144   0%                                    make-closure
         42,252   0%                                 - seed7--block-name
         38,108   0%                                  - seed7-re-search-forward
          8,288   0%                                     seed7-inside-string-p
          4,144   0%                                     seed7-inside-comment-p
        108,384   0%                                - seed7-re-search-backward
         87,664   0%                                 - run-with-timer
         87,664   0%                                  - run-at-time
         46,992   0%                                   - timer-activate
         46,992   0%                                    - timer--activate
         46,992   0%                                       timer--time-less-p
         24,928   0%                                     timer-relative-time
         15,744   0%                                   - timer-set-time
         15,744   0%                                      timer--time-setter
         16,576   0%                                 - seed7-inside-string-p
          4,144   0%                                  - syntax-ppss
          4,144   0%                                     make-closure
          4,144   0%                                   seed7-inside-comment-p
        102,628   0%                                - seed7-re-search-forward
         28,960   0%                                 - seed7-inside-comment-p
         28,960   0%                                  - syntax-ppss
         16,528   0%                                   - syntax-propertize
         16,528   0%                                      seed7-mode-syntax-propertize
         12,432   0%                                     make-closure
          8,288   0%                                   seed7-inside-string-p
          5,693   0%                                 - internal--syntax-propertize
          5,693   0%                                  - syntax-propertize
          5,693   0%                                     seed7-mode-syntax-propertize
      1,743,478   7%                               - seed7-re-search-forward
      1,412,090   6%                                - seed7-inside-string-p
      1,374,794   6%                                 - syntax-ppss
      1,374,794   6%                                    #<byte-code-function 6B3>
         16,033   0%                                - seed7-inside-comment-p
         16,033   0%                                 - syntax-ppss
         11,889   0%                                  - syntax-propertize
          7,745   0%                                     seed7-mode-syntax-propertize
          4,144   0%                                    make-closure
        232,688   1%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
          8,288   0%                                - seed7-inside-line-indent-before-comment-p
          4,144   0%                                   seed7-inside-comment-p
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
        231,648   1%                               - seed7--current-line-nth-word
        215,072   0%                                - thing-at-point
        198,704   0%                                 - bounds-of-thing-at-point
         57,288   0%                                  - #<byte-code-function 227>
         57,288   0%                                   - forward-thing
         57,288   0%                                      format
         45,584   0%                                    make-closure
         33,152   0%                                  - seq-some
         33,152   0%                                     make-closure
         24,552   0%                                  - #<byte-code-function CFB>
         24,552   0%                                   - forward-thing
         24,552   0%                                      format
         17,408   0%                                    re-search-forward
         16,368   0%                                 seed7--end-regexp-for
         12,432   0%                               - seed7-inside-comment-p
          8,288   0%                                - syntax-ppss
          8,288   0%                                   make-closure
          8,288   0%                               - seed7-inside-line-indent-before-comment-p
          4,144   0%                                - seed7-inside-comment-p
          4,144   0%                                 - syntax-ppss
          4,144   0%                                    make-closure
        150,575   0%                              - seed7--line-ends-a-statement-p
        115,711   0%                                 looking-at
         30,720   0%                               - forward-sexp
         30,720   0%                                  seed7--forward-sexp-function
          1,064   0%                              - seed7-re-search-forward-closest
          1,064   0%                               - seq-filter
          1,064   0%                                  make-symbol
        618,973   2%                            - seed7-re-search-backward
        301,440   1%                             - run-with-timer
        301,440   1%                              - run-at-time
        145,168   0%                               - timer-activate
        145,168   0%                                - timer--activate
        145,168   0%                                   timer--time-less-p
         88,160   0%                                 timer-relative-time
         55,680   0%                               - timer-set-time
         55,680   0%                                  timer--time-setter
         12,432   0%                                 timer-create
        271,949   1%                               re-search-backward
         29,008   0%                               seed7-inside-string-p
         12,432   0%                             - seed7-inside-comment-p
          8,288   0%                              - syntax-ppss
          8,288   0%                                 make-closure
          4,144   0%                               make-closure
        544,461   2%                            - seed7-calc-indent
        194,251   0%                             - seed7-line-inside-a-block-cached
        194,251   0%                              - seed7-line-inside-a-block
        152,035   0%                               - seed7--safe-enclosing-block-bounds
        152,035   0%                                - seed7--block-end-pos-for
        128,435   0%                                 - seed7-to-block-forward
        118,247   0%                                  - seed7-end-of-defun
         95,528   0%                                   - seed7-top-block-name
         93,480   0%                                    - seed7--to-top
         86,704   0%                                     - seed7-re-search-backward
         76,472   0%                                      - run-with-timer
         76,472   0%                                       - run-at-time
         37,288   0%                                        - timer-activate
         37,288   0%                                         - timer--activate
         37,288   0%                                            timer--time-less-p
         24,016   0%                                          timer-relative-time
         15,168   0%                                        - timer-set-time
         15,168   0%                                           timer--time-setter
         10,232   0%                                        re-search-backward
          6,776   0%                                     - run-with-timer
          6,776   0%                                      - run-at-time
          3,304   0%                                       - timer-activate
          3,304   0%                                        - timer--activate
          3,304   0%                                           timer--time-less-p
          2,128   0%                                         timer-relative-time
          1,344   0%                                       - timer-set-time
          1,344   0%                                          timer--time-setter
