  1,240,035,821  99% - ...
  1,240,035,821  99%  - #<primitive-function call-interactively>
  1,240,035,821  99%   - funcall-interactively
  1,240,035,821  99%    - smex
  1,240,035,821  99%     - smex-read-and-run
  1,240,035,821  99%      - execute-extended-command
  1,240,035,821  99%       - command-execute
  1,240,035,821  99%        - call-interactively
  1,240,035,821  99%         - apply
  1,240,035,821  99%          - call-interactively@ido-cr+-record-current-command
  1,240,035,821  99%           - #<primitive-function call-interactively>
  1,240,035,821  99%            - funcall-interactively
  1,240,035,821  99%             - pel-profile-all
  1,240,035,821  99%              - pel-profile-dir
  1,240,035,821  99%               - pel-profile-indent
  1,240,035,821  99%                - pel-profile-indentation-test-of
  1,238,432,497  99%                 - call-interactively
  1,238,432,497  99%                  - apply
  1,238,432,497  99%                   - call-interactively@ido-cr+-record-current-command
  1,238,432,497  99%                    - #<primitive-function call-interactively>
  1,238,432,497  99%                     - funcall-interactively
  1,238,432,481  99%                      - seed7-complete-statement-or-indent
  1,238,432,481  99%                       - seed7-indent-region
  1,238,432,481  99%                        - seed7--indent-one-line
  1,238,432,481  99%                         - seed7-calc-indent
    397,890,666  31%                          - seed7-line-inside-parens-pair-column
    397,890,666  31%                           - seed7-line-inside-parens-pair
    392,120,661  31%                            - seed7-re-search-backward
    377,628,981  30%                             - run-with-timer
    377,628,981  30%                              - run-at-time
    183,763,177  14%                               - timer-activate
    183,763,177  14%                                - timer--activate
    183,763,177  14%                                 - timer--time-less-p
          1,707   0%                                    timer--time
    118,198,375   9%                                 timer-relative-time
     74,755,464   6%                               - timer-set-time
     74,755,312   6%                                  timer--time-setter
        911,680   0%                                 timer-create
            285   0%                                 timer-set-function
     10,629,349   0%                               re-search-backward
      2,342,007   0%                             - seed7-inside-string-p
        402,615   0%                              - syntax-ppss
        401,968   0%                                 make-closure
            436   0%                                 #<byte-code-function 94B>
             40   0%                                 syntax-table
        869,619   0%                             - seed7-inside-comment-p
        542,243   0%                              - syntax-ppss
        538,720   0%                                 make-closure
          3,523   0%                                 syntax-table
        650,705   0%                               make-closure
      5,765,861   0%                            - forward-sexp
      5,765,696   0%                               seed7--forward-sexp-function
          4,144   0%                            - seed7-line-inside-syntax-parens-pair
          4,144   0%                             - syntax-ppss
          4,144   0%                                make-closure
    297,299,058  23%                          - seed7-line-inside-a-block-cached
    297,299,058  23%                           - seed7-line-inside-a-block
    142,117,753  11%                            - seed7--safe-enclosing-block-bounds
    142,004,523  11%                             - seed7--block-end-pos-for
    140,132,057  11%                              - seed7-to-block-forward
     54,087,948   4%                               - seed7-end-of-defun
     52,230,861   4%                                - seed7-top-block-name
     52,037,649   4%                                 - seed7--to-top
     51,201,713   4%                                  - seed7-re-search-backward
     51,150,480   4%                                   - run-with-timer
     51,150,480   4%                                    - run-at-time
     24,448,848   1%                                     - timer-activate
     24,448,848   1%                                      - timer--activate
     24,448,848   1%                                         timer--time-less-p
     16,365,504   1%                                       timer-relative-time
     10,336,128   0%                                     - timer-set-time
     10,336,128   0%                                        timer--time-setter
         43,008   0%                                     re-search-backward
          8,225   0%                                   - seed7-inside-comment-p
          8,225   0%                                    - syntax-ppss
          8,225   0%                                     - syntax-propertize
          8,225   0%                                        seed7-mode-syntax-propertize
        835,936   0%                                  - run-with-timer
        835,936   0%                                   - run-at-time
        393,504   0%                                    - timer-activate
        393,504   0%                                     - timer--activate
        393,504   0%                                        timer--time-less-p
        271,168   0%                                      timer-relative-time
        171,264   0%                                    - timer-set-time
        171,264   0%                                       timer--time-setter
        193,212   0%                                 - seed7--block-name
        155,452   0%                                    seed7-re-search-forward
         29,576   0%                                    match-string
        830,656   0%                                - seed7-re-search-backward
        830,656   0%                                 - run-with-timer
        830,656   0%                                  - run-at-time
        388,224   0%                                   - timer-activate
        388,224   0%                                    - timer--activate
        388,224   0%                                       timer--time-less-p
        271,168   0%                                     timer-relative-time
        171,264   0%                                   - timer-set-time
        171,264   0%                                      timer--time-setter
        697,387   0%                                - seed7-re-search-forward
        280,315   0%                                 - internal--syntax-propertize
        280,315   0%                                  - syntax-propertize
        280,315   0%                                     seed7-mode-syntax-propertize
         92,025   0%                                 - seed7-inside-comment-p
         92,025   0%                                  - syntax-ppss
         92,025   0%                                   - syntax-propertize
         92,025   0%                                      seed7-mode-syntax-propertize
         39,680   0%                                  match-string
     38,937,330   3%                               - seed7--current-line-nth-word
     38,477,028   3%                                - thing-at-point
     25,332,437   2%                                 - bounds-of-thing-at-point
     14,255,266   1%                                  - #<byte-code-function CEF>
     14,251,599   1%                                   - forward-thing
     14,248,344   1%                                      format
          3,255   0%                                      intern-soft
      7,506,070   0%                                  - #<byte-code-function 354>
      7,505,051   0%                                   - forward-thing
      7,504,728   0%                                      format
            323   0%                                      intern-soft
      2,014,362   0%                                    make-closure
        593,868   0%                                  - seq-some
        588,448   0%                                     make-closure
          1,874   0%                                     seq-do
        208,663   0%                                    re-search-forward
     31,734,169   2%                               - seed7-re-search-forward
      8,762,810   0%                                - seed7-inside-comment-p
      8,397,447   0%                                 - syntax-ppss
      8,023,660   0%                                  - syntax-propertize
      8,002,940   0%                                     seed7-mode-syntax-propertize
        372,960   0%                                    make-closure
            827   0%                                    #<byte-code-function CCA>
      1,749,192   0%                                - seed7-inside-string-p
        452,120   0%                                 - syntax-ppss
        447,552   0%                                    make-closure
          2,884   0%                                    #<byte-code-function D74>
            551   0%                                    syntax-table
         34,819   0%                                - internal--syntax-propertize
         34,819   0%                                 - syntax-propertize
         34,819   0%                                    seed7-mode-syntax-propertize
     11,272,665   0%                               - seed7-inside-line-trailing-whitespace-before-line-end-comment-p
